হিসাবে,as
সব,all
সেখানে,there
যখন,when
আপ,up
ব্যবহার,use
আপনার,your
উপায়,way
সম্পর্কে,about
অনেক,many
তারপর,then
তাদের,them
লিখুন,write
হবে,would
মত,like
সুতরাং,so
এই,these
তার,her
দীর্ঘ,long
না,make
বিষয়,thing
দেখা,see
তাকে,him
দুই,two
আছে,has
চেহারা,look
আরো,more
দিন,day
পারা,could
যাওয়া,go
আসা,come
কি,did
সংখ্যা,number
শব্দ,sound
কোন,no
সবচেয়ে,most
মানুষ,people
আমার,my
উপর,over
জানা,know
জল,water
তুলনায়,than
কল,call
প্রথম,first
যারা,who
হতে পারে,may
নিচে,down
পাশ,side
হয়েছে,been
এখন,now
এটি,find
মাথা,head
দাঁড়ানো,stand
নিজস্ব,own
পৃষ্ঠা,page
উচিত,should
দেশ,country
পাওয়া,found
উত্তর,answer
স্কুল,school
হত্তয়া,grow
গবেষণা,study
এখনও,still
শেখা,learn
উদ্ভিদ,plant
কভার,cover
খাদ্য,food
সূর্য,sun
চার,four
মধ্যে,between
রাষ্ট্র,state
রাখা,keep
চোখ,eye
না,never
শেষ,last
যাক,let
চিন্তার,thought
শহর,city
গাছ,tree
ক্রুশ,cross
খামার,farm
কঠিন,hard
শুরু,start
হতে পারে,might
গল্প,story
করাত,saw
পর্যন্ত,far
সমুদ্র,sea
আঁকা,draw
বাকি,left
দেরী,late
রান,run
না,don’t
যখন,while
প্রেস,press
বন্ধ,close
রাত,night
বাস্তব,real
জীবন,life
কয়েক,few
উত্তর,north
বই,book
বহন,carry
গ্রহণ,took
বিজ্ঞান,science
খাওয়া,eat
রুম,room
বন্ধু,friend
শুরু,began
ধারণা,idea
মাছ,fish
পর্বত,mountain
বন্ধ,stop
একবার,once
ঘাঁটি,base
শ্রবণ,hear
ঘোড়া,horse
কাটা,cut
নিশ্চিত,sure
ঘড়ি,watch
রঙ,color
মুখ,face
কাঠ,wood
প্রধান,main
খোলা,open
মনে হচ্ছে,seem
একসঙ্গে,together
পরবর্তী,next
সাদা,white
শিশু,children
শুরু,begin
পেয়েছিলাম,got
পদব্রজে ভ্রমণ,walk
উদাহরণ,example
আরাম,ease
কাগজ,paper
গ্রুপ,group
সবসময়,always
সঙ্গীত,music
যারা,those
উভয়,both
চিহ্ন,mark
প্রায়ই,often
চিঠি,letter
পর্যন্ত,until
মাইল,mile
নদী,river
গাড়ী,car
ফুট,feet
যত্ন,care
দ্বিতীয়,second
যথেষ্ট,enough
সাধারণ,plain
মেয়ে,girl
স্বাভাবিক,usual
তরুণ,young
প্রস্তুত,ready
উপরে,above
কখনও,ever
লাল,red
তালিকা,list
যদিও,though
মনে,feel
আলাপ,talk
পাখি,bird
শীঘ্রই,soon
শরীর,body
কুকুর,dog
পরিবার,family
সরাসরি,direct
জাহির করা,pose
ত্যাগ,leave
গান,song
পরিমাপ,measure
দরজা,door
পণ্য,product
কালো,black
সংক্ষিপ্ত,short
সংখ্যা,numeral
বর্গ,class
বায়ু,wind
প্রশ্ন,question
ঘটা,happen
সম্পূর্ণ,complete
জাহাজ,ship
ক্ষেত্র,area
অর্ধ,half
শিলা,rock
যাতে,order
আগুন,fire
দক্ষিণ,south
সমস্যা,problem
টুকরা,piece
বলা,told
জানতাম,knew
পাস,pass
খবর,since
শীর্ষ,top
সমগ্র,whole
রাজা,king
রাস্তায়,street
ইঞ্চি,inch
সংখ্যাবৃদ্ধি,multiply
কিছুই,nothing
মাঠ,course
থাকার,stay
চাকা,wheel
পূর্ণ,full
বল,force
নীল,blue
বস্তু,object
স্থির করা,decide
পৃষ্ঠ,surface
গভীর,deep
চাঁদ,moon
দ্বীপ,island
পা,foot
সিস্টেম,system
ব্যস্ত,busy
পরীক্ষা,test
রেকর্ড,record
নৌকা,boat
সাধারণ,common
স্বর্ণ,gold
সম্ভব,possible
সমতল,plane
উপকার,stead
শুষ্ক,dry
আশ্চর্যের,wonder
মজা,laugh
হাজার,thousand
আগে,ago
বিশেষত্বহীন,ran
চেক,check
খেলা,game
আকৃতি,shape
সমীকরণ,equate
গরম,hot
মিস্,miss
উপনীত,brought
তাপ,heat
তুষার,snow
টায়রা,tire
আনা,bring
হ্যাঁ,yes
দূরবর্তী,distant
পূরণ,fill
পূর্ব,east
আঁকা,paint
ভাষা,language
মধ্যে,among
ইউনিট,unit
ক্ষমতা,power
শহরে,town
জরিমানা,fine
নির্দিষ্ট,certain
উড়ে,fly
পড়া,fall
নেতৃত্ব,lead
কান্নাকাটি,cry
অন্ধকার,dark
মেশিন,machine
নোট,note
অপেক্ষা করুন,wait
পরিকল্পনা,plan
ব্যক্তিত্ব,figure
তারা,star
বক্স,box
বিশেষ্য,noun
ক্ষেত্র,field
বাকি,rest
সঠিক,correct
সক্ষম,able
আধা কেজি,pound
কাজ,done
সৌন্দর্য,beauty
ড্রাইভ,drive
দাঁড়িয়ে,stood
ধারণ,contain
সামনে,front
শেখান,teach
সপ্তাহে,week
চূড়ান্ত,final
দিয়েছেন,gave
সবুজ,green
উহু,oh
দ্রুত,quick
বিকাশ,develop
মহাসাগর,ocean
উষ্ণ,warm
বিনামূল্যে,free
মিনিট,minute
শক্তিশালী,strong
বিশেষ,special
মন,mind
পিছনে,behind
স্পষ্ট,clear
লেঙ্গুড়,tail
উত্পাদন,produce
আসলে,fact
স্থান,space
শোনা,heard
সেরা,best
ঘন্টা,hour
ভাল,better
সত্য,true
সময়,during
শত,hundred
পাঁচ,five
"মনে রাখবেন,",remember
পদক্ষেপ,step
প্রথম,early
রাখা,hold
পশ্চিম,west
স্থল,ground
সুদ,interest
নাগাল,reach
দ্রুত,fast
ক্রিয়া,verb
গাত্তয়া,sing
শুনতে,listen
ছয়,six
টেবিল,table
ভ্রমণ,travel
কম,less
সকাল,morning
দশ,ten
সহজ,simple
বিভিন্ন,several
স্বরবর্ণ,vowel
দিকে,toward
যুদ্ধ,war
রাখা,lay
বিরুদ্ধে,against
প্যাটার্ন,pattern
ধীর,slow
কেন্দ্র,center
প্রেম,love
ব্যক্তি,person
টাকা,money
পরিবেশন করা,serve
প্রদর্শিত,appear
রাস্তা,road
মানচিত্র,map
বৃষ্টি,rain
নিয়ম,rule
শাসন করা,govern
টান,pull
ঠান্ডা,cold
বিজ্ঞপ্তি,notice
ভয়েস,voice
শক্তি,energy
খোঁজা,hunt
সম্ভাব্য,probable
বিছানা,bed
ভাই,brother
ডিম,egg
যাত্রায়,ride
সেল,cell
বিশ্বাস,believe
সম্ভবত,perhaps
বাছাই,pick
আকস্মিক,sudden
গণনা,count
বর্গ,square
কারণ,reason
দৈর্ঘ্য,length
প্রতিনিধিত্ব,represent
শিল্প,art
বিষয়,subject
অঞ্চল,region
আকার,size
পরিবর্তিত হতে,vary
স্থায়ীভাবে বসবাস করা,settle
কথা বলতে,speak
ওজন,weight
সাধারণ,general
বরফ,ice
ব্যাপার,matter
বৃত্ত,circle
জোড়া,pair
অন্তর্ভুক্ত,include
বিভক্ত করা,divide
শব্দাংশ,syllable
অনুভূত,felt
গ্র্যান্ড,grand
বল,ball
এখনো,yet
তরঙ্গ,wave
ঝরা,drop
হৃদয়,heart
অপরাহ্ন,am
বর্তমান,present
ভারী,heavy
নাচ,dance
ইঞ্জিন,engine
অবস্থান,position
হাত,arm
ব্যাপক,wide
পাল তোলা,sail
উপাদান,material
ভগ্নাংশ,fraction
বন,forest
বসতে,sit
জাতি,race
উইন্ডো,window
দোকান,store
গ্রীষ্ম,summer
ট্রেন,train
ঘুম,sleep
প্রমাণ,prove
নির্জন,lone
পা,leg
ব্যায়াম,exercise
প্রাচীর,wall
ধরা,catch
মাউন্ট,mount
ইচ্ছুক,wish
আকাশ,sky
বোর্ড,board
আনন্দ,joy
শীতকালীন,winter
শনি,sat
লেখা,written
বন্য,wild
উপকরণ,instrument
রাখা,kept
কাচ,glass
ঘাস,grass
গাভী,cow
কাজ,job
প্রান্ত,edge
সাইন,sign
দর্শন,visit
গত,past
নরম,soft
মজা,fun
উজ্জ্বল,bright
গ্যাস,gas
আবহাওয়া,weather
মাস,month
মিলিয়ন,million
ভালুক,bear
শেষ,finish
খুশি,happy
আশা,hope
ফুল,flower
আবৃত করা,clothe
অদ্ভুত,strange
সর্বস্বান্ত,gone
বাণিজ্য,trade
সুর,melody
ট্রিপ,trip
অফিস,office
পাবেন,receive
সারি,row
মুখ,mouth
সঠিক,exact
প্রতীক,symbol
মরা,die
অন্তত,least
কষ্ট,trouble
চিত্কার,shout
ছাড়া,except
লিখেছেন,wrote
বীজ,seed
স্বন,tone
যোগদান,join
সুপারিশ,suggest
পরিষ্কার,clean
বিরতি,break
ভদ্রমহিলা,lady
গজ,yard
ওঠা,rise
খারাপ,bad
ঘা,blow
তেল,oil
রক্ত,blood
স্পর্শ,touch
বড় হয়েছি,grew
শতাংশ,cent
মিশ্রিত করা,mix
দল,team
তারের,wire
খরচ,cost
হারিয়ে,lost
বাদামী,brown
পরিধান,wear
বাগান,garden
সমান,equal
পাঠানো,sent
নির্বাচন,choose
হিংস্র,fell
মাপসই,fit
প্রবাহ,flow
ন্যায্য,fair
ব্যাংক,bank
সংগ্রহ করা,collect
সংরক্ষণ,save
নিয়ন্ত্রণ,control
দশমিক,decimal
কান,ear
অন্য,else
পুরোপুরি,quite
ভেঙে,broke
কেস,case
মধ্যম,middle
হত্যা,kill
ছেলে,son
হ্রদ,lake
মুহূর্ত,moment
স্কেল,scale
অট্ট,loud
বসন্ত,spring
পালন করা,observe
শিশু,child
সোজা,straight
ব্যঞ্জনবর্ণ,consonant
জাতি,nation
অভিধান,dictionary
দুধ,milk
গতি,speed
পদ্ধতি,method
অঙ্গ,organ
পরিশোধ,pay
বয়স,age
অধ্যায়,section
পোশাক,dress
মেঘ,cloud
বিস্ময়,surprise
শান্ত,quiet
পাথর,stone
অতি ক্ষুদ্র,tiny
আরোহনের,climb
শান্ত,cool
নকশা,design
দরিদ্র,poor
অনেক,lot
পরীক্ষা,experiment
নীচে,bottom
চাবি,key
লোহা,iron
একক,single
লাঠি,stick
ফ্ল্যাট,flat
বিশ,twenty
ত্বক,skin
হাসি,smile
ভাঁজ করা,crease
গর্ত,hole
ঝাঁপ,jump
শিশুর,baby
আট,eight
গ্রাম,village
দেখা,meet
রুট,root
কিনতে,buy
বাড়াতে,raise
সমাধান,solve
ধাতু,metal
কিনা,whether
ধাক্কা,push
সাত,seven
অনুচ্ছেদ,paragraph
তৃতীয়,third
হইবে,shall
অনুষ্ঠিত,held
চুল,hair
বর্ণনা,describe
রান্নাঘর,cook
মেঝে,floor
হয়,either
ফলে,result
বার্ন,burn
পাহাড়,hill
নিরাপদ,safe
বিড়াল,cat
শতাব্দীর,century
বিবেচনা করা,consider
টাইপ,type
আইন,law
কিছুক্ষণ,bit
উপকূল,coast
কপি,copy
ফ্রেজ,phrase
নীরব,silent
লম্বা,tall
বালি,sand
মাটি,soil
রোল,roll
তাপমাত্রা,temperature
আঙুল,finger
শিল্প,industry
মূল্য,value
যুদ্ধ,fight
মিথ্যা,lie
বীট,beat
জাগান,excite
প্রাকৃতিক,natural
দেখুন,view
জ্ঞান,sense
রাজধানী,capital
না করবে না,won’t
চেয়ার,chair
বিপদ,danger
ফল,fruit
সমৃদ্ধ,rich
পুরু,thick
সৈনিক,soldier
প্রক্রিয়া,process
কাজ,operate
অনুশীলন,practice
পৃথক,separate
কঠিন,difficult
ডাক্তার,doctor
করুন,please
রক্ষা,protect
দুপুর,noon
ফসল,crop
আধুনিক,modern
উপাদান,element
আঘাত,hit
ছাত্র,student
কোণ,corner
দল,party
সরবরাহ,supply
যার,whose
সনাক্ত,locate
রিং,ring
চরিত্র,character
পোকা,insect
ধরা,caught
সময়ের,period
নির্দেশ,indicate
রেডিও,radio
বক্তব্য রাখেন,spoke
পরমাণু,atom
মানবীয়,human
ইতিহাস,history
প্রভাব,effect
বৈদ্যুতিক,electric
আশা করা,expect
হাড়,bone
রেল,rail
কল্পনা,imagine
প্রদান,provide
একমত,agree
এইভাবে,thus
মৃদু,gentle
নারী,woman
অধিনায়ক,captain
অনুমান,guess
প্রয়োজনীয়,necessary
ধারালো,sharp
গরূৎ,wing
তৈরি,create
প্রতিবেশী,neighbor
ধোয়ার,wash
বাদুড়,bat
বরং,rather
ভিড়,crowd
ভূট্টা,corn
তুলনা,compare
কবিতা,poem
স্ট্রিং,string
ঘণ্টা,bell
নির্ভর করে,depend
মাংস,meat
বিপত্তি,rub
টিউব,tube
বিখ্যাত,famous
ডলার,dollar
প্রবাহ,stream
ভয়,fear
দৃষ্টিশক্তি,sight
পাতলা,thin
ত্রিভুজ,triangle
গ্রহ,planet
ত্বরা,hurry
প্রধান,chief
উপনিবেশ,colony
ঘড়ি,clock
খনি,mine
টাই,tie
প্রবেশ,enter
প্রধান,major
তাজা,fresh
অনুসন্ধান,search
পাঠান,send
হলুদ,yellow
বন্দুক,gun
অনুমতি,allow
মুদ্রণ,print
মৃত,dead
অকুস্থল,spot
মরুভূমি,desert
মামলা,suit
বর্তমান,current
লিফট,lift
গোলাপ,rose
পৌঁছা,arrive
মাস্টার,master
ট্র্যাক,track
পিতা বা মাতা,parent
তীরে,shore
বিভাগ,division
শীট,sheet
পদার্থ,substance
আনুকূল্য,favor
সংযোগ,connect
পোস্ট,post
ব্যয়,spend
জ্যা,chord
চর্বি,fat
আনন্দিত,glad
মূল,original
ভাগ,share
স্টেশন,station
বাবা,dad
রুটি,bread
চার্জ,charge
সঠিক,proper
বার,bar
প্রস্তাব,offer
অংশ,segment
ক্রীতদাস,slave
হাঁস,duck
তাত্ক্ষণিক,instant
বাজার,market
ডিগ্রী,degree
পূরণ,populate
কুক্কুট,chick
দুর্মূল্য,dear
শত্রু,enemy
উত্তর,reply
পানীয়,drink
ঘটতে,occur
সমর্থন,support
বক্তৃতা,speech
প্রকৃতি,nature
পরিসর,range
বাষ্প,steam
গতি,motion
পথ,path
তরল,liquid
লগ ইন,log
বোঝানো,meant
ভাগফল,quotient
দাঁত,teeth
খোলা,shell
ঘাড়,neck
অক্সিজেন,oxygen
চিনি,sugar
মৃত্যুর,death
চমত্কার,pretty
দক্ষতা,skill
নারী,women
ঋতু,season
সমাধান,solution
চুম্বক,magnet
রূপালী,silver
ধন্যবাদ,thank
শাখা,branch
ম্যাচ,match
মূল শব্দের অন্তে যুক্ত প্রত্যয় বিভক্তি প্রভৃতি,suffix
বিশেষ করে,especially
ডুমুর,fig
ভয়,afraid
বিশাল,huge
বোন,sister
ইস্পাত,steel
আলোচনা,discuss
অগ্রবর্তী,forward
অনুরূপ,similar
কৌশল,guide
অভিজ্ঞতা,experience
স্কোর,score
আপেল,apple
কেনা,bought
চালিত,led
পিচ,pitch
কোট,coat
ভর,mass
কার্ড,card
ব্যান্ড,band
দড়ি,rope
স্লিপ,slip
জয়,win
স্বপ্ন,dream
সন্ধ্যায়,evening
শর্ত,condition
ফিড,feed
টুল,tool
মোট,total
মৌলিক,basic
গন্ধ,smell
উপত্যকা,valley
না,nor
ডবল,double
আসন,seat
অবিরত,continue
ব্লক,block
চার্ট,chart
টুপি,hat
বিক্রি,sell
সাফল্য,success
কোম্পানি,company
বিয়োগ করা,subtract
ঘটনা,event
বিশেষ,particular
লেনদেন,deal
সাঁতার কাটা,swim
শব্দ,term
বিপরীত,opposite
স্ত্রী,wife
জুতো,shoe
কাঁধ,shoulder
বিস্তার,spread
ব্যবস্থা,arrange
শিবির,camp
উদ্ভাবিত,invent
তুলা,cotton
জন্ম,born
নির্ধারণ,determine
গ্যালনের চতুর্থাংশ,quart
নয়,nine
ট্রাক,truck
শব্দ,noise
স্তর,level
সুযোগ,chance
জড়ো করা,gather
দোকান,shop
প্রসারিত,stretch
নিক্ষেপ,throw
উজ্জ্বল,shine
সম্পত্তি,property
কলাম,column
অণু,molecule
নির্বাচন,select
ভুল,wrong
ধূসর,gray
পুনরাবৃত্তি,repeat
প্রয়োজন,require
বিস্তৃত,broad
প্রস্তুত,prepare
লবণ,salt
নাক,nose
বহুবচন,plural
রাগ,anger
দাবি,claim
মহাদেশ,continent
