катары,as
үстүндө,over
билүү,know
суу,water
караганда,than
чакыруу,call
алгачкы,first
ким,who
Май,may
төмөн,down
жак,side
болуп,been
азыр,now
табуу,find
баш,head
тура,stand
өз,own
бет,page
керек,should
мамлекет,country
табылган,found
жооп,answer
мектеп,school
өсүү,grow
окуу,study
дагы,still
үйрөнүү,learn
өсүмдүк,plant
жабуу,cover
тамак-аш,food
күн,sun
төрт,four
ортосунда,between
мамлекет,state
кармоо,keep
көз,eye
эч качан,never
акыркы,last
жол,let
ой,thought
шаары,city
дарак,tree
кесип,cross
чарба,farm
катуу,hard
баштоо,start
күч,might
баян,story
араа,saw
алыс,far
деңиз,sea
тартуу,draw
сол,left
кеч,late
Нускасы:,run
кыла албайт,don’t
жатканда,while
басма сөз,press
жакын,close
түн,night
чын,real
жашоо,life
бир нече,few
түндүк,north
китеп,book
ашырууга,carry
алды,took
илим,science
жеш,eat
бөлмө,room
дос,friend
баштады,began
ой,idea
балык,fish
тоо,mountain
токтотуу,stop
бир жолу,once
база,base
угуу,hear
ат,horse
кесүү,cut
ишенимдүү,sure
байкоо,watch
түс,color
бет,face
жыгач,wood
негизги,main
ачык,open
көрүнүшү,seem
бирге,together
кийинки,next
ак,white
балдар,children
баштоо,begin
турду,got
басуу,walk
мисал,example
тынчылык,ease
кагаз,paper
группа,group
дайыма,always
музыка,music
ошол,those
экөө тең,both
белги,mark
көп,often
кат,letter
чейин,until
миля,mile
дарыя,river
унаа,car
буттары,feet
камкордук,care
экинчи,second
жетишет,enough
ачык,plain
кыз,girl
демейдеги,usual
жаш,young
даяр,ready
жогору,above
дайыма,ever
кызыл,red
тизме,list
карабастан,though
сезүү,feel
сүйлөшүү,talk
чымчык,bird
жакында,soon
дене,body
ит,dog
үй-бүлө,family
түз,direct
поза,pose
калтыруу,leave
ыр,song
ченөө,measure
эшик,door
продукт,product
кара,black
кыска,short
сан атооч,numeral
тап,class
шамал,wind
суроо,question
эмне,happen
аяктоо,complete
кеме,ship
аймак,area
жарым,half
аска,rock
тартип,order
от,fire
түштүк,south
маселе,problem
үзүм,piece
айтып,told
билген,knew
өтүү,pass
бери,since
жогорку,top
бүт,whole
падыша,king
көчө,street
дюйм,inch
көп,multiply
эч нерсе,nothing
|Албетте,|,course
кал,stay
дөңгөлөк,wheel
толук,full
күч,force
көк,blue
зат,object
чечүү,decide
жер үстүндөгү,surface
терең,deep
ай,moon
арал,island
таман,foot
система,system
алек,busy
текшерүү,test
жазуу,record
кайык,boat
жалпы,common
алтын,gold
мүмкүн болгон,possible
учак,plane
ордуна,stead
кургак,dry
таң калуу,wonder
күлүү,laugh
мын,thousand
мурда,ago
чуркап,ran
текшерүү,check
оюн,game
келбет,shape
өмүрү,equate
ысык,hot
кечигүү,miss
алып келди,brought
ысык,heat
кар,snow
дөңгөлөктүн алкагы,tire
алып келүү,bring
ооба,yes
алыс,distant
толтуруу,fill
чыгыш,east
боек,paint
тил,language
арасында,among
бирдиги,unit
кубат,power
шаар,town
айып,fine
белгилүү,certain
учуу,fly
түшөт,fall
жетектөө,lead
ыйлоо,cry
караңгы,dark
машина,machine
Эскертүү,note
күтүү,wait
план,plan
көрсөткүч,figure
жылдыз,star
кутуча,box
зат атооч,noun
талаа,field
эс алуу,rest
туура,correct
алат,able
фунт,pound
аткарылган,done
сулуулук,beauty
кубалоо,drive
турду,stood
камтылган,contain
алдыңкы,front
окутуу,teach
жума,week
акыркы,final
берди,gave
жашыл,green
пияз,onion
ылдам,quick
иштеп чыгуу,develop
океан,ocean
жылуу,warm
бекер,free
мүнөт,minute
күчтүү,strong
атайын,special
акыл-эс,mind
артынан,behind
ачык,clear
куйрук,tail
чыгаруу,produce
чындык,fact
мейкиндик,space
уккан,heard
мыкты,best
саат,hour
сонун,better
чыныгы,true
убагында,during
жүз,hundred
беш,five
эстөө,remember
кадам,step
эрте,early
кармоо,hold
батыш,west
жер,ground
пайыздык,interest
жетүү,reach
орозо,fast
этиш,verb
ырдоо,sing
угуу,listen
алты,six
стол,table
саякаттоо,travel
азыраак,less
эртең менен,morning
он,ten
жөнөкөй,simple
бир топ,several
үндүү,vowel
болгон,toward
согуш,war
жатты,lay
каршы,against
узор,pattern
жай,slow
борбор,center
сүйүү,love
адам,person
акча,money
кызмат кылуу,serve
көрүнүшү,appear
жол,road
карта,map
жаан,rain
бийлик,rule
башкаруу,govern
тартуу,pull
суук,cold
билдирүү,notice
үн,voice
энергия,energy
аң уулоо,hunt
мүмкүн болгон,probable
төшөк,bed
|байке, ини|,brother
жумуртка,egg
жүрүү,ride
клетка,cell
ишенүү,believe
|балким,|,perhaps
чогултуу,pick
кокус,sudden
эсептөө,count
аянт,square
акыл,reason
узундук,length
билдирет,represent
искусство,art
тема,subject
регион,region
көлөм,size
өзгөрүү,vary
чечүү,settle
сүйлөө,speak
салмак,weight
жалпы,general
муз,ice
зат,matter
тегерек,circle
жуп,pair
кирет,include
бөлүнүү,divide
муун,syllable
сезип,felt
улуу,grand
топ,ball
дагы,yet
толкун,wave
тамчы,drop
жүрөк,heart
жатам,am
азыркы,present
оор,heavy
бий,dance
машина,engine
абал,position
кол,arm
кең,wide
парус менен жүрүү,sail
буюм,material
бөлчөк,fraction
токой,forest
отуруу,sit
тукум,race
терезе,window
дүкөн,store
жай,summer
поезд,train
уйку,sleep
далилдөө,prove
жалгыз,lone
бут,leg
көнүгүү,exercise
дубал,wall
кармоо,catch
тоосунда,mount
каалоо,wish
асман,sky
башкарма,board
кубаныч,joy
кыш,winter
Sat,sat
жазылган,written
жапайы,wild
аспап,instrument
сакталат,kept
айнек,glass
чөп,grass
уй,cow
иш,job
чет,edge
белги,sign
баруу,visit
өткөн,past
жумшак,soft
тамаша,fun
жаркырак,bright
газ,gas
аба-ырайы,weather
ай,month
миллион,million
көтөрүү,bear
бүтүрүү,finish
бактылуу,happy
үмүт,hope
гүл,flower
кийинүү,clothe
бөлөк,strange
кетти,gone
соода,trade
мелодия,melody
на,trip
кызматы,office
кабыл алуу,receive
катар,row
ооз,mouth
так,exact
белги,symbol
өлүү,die
эң кичине,least
оор,trouble
кыйкыруу,shout
тышкары,except
жазган,wrote
тукум,seed
түс,tone
кошулуу,join
сунуш,suggest
таза,clean
тыныгуу,break
айым,lady
ярд,yard
көтөрүлүү,rise
жаман,bad
ышкыруу,blow
май,oil
кан,blood
тийүү,touch
өстү,grew
пайыз,cent
аралаштыруу,mix
команда,team
зым,wire
нарк,cost
жоголгон,lost
күрөң,brown
кийүү,wear
бакча,garden
бирдей,equal
жөнөтүлдү,sent
тандап алуу,choose
төмөндөдү,fell
туура,fit
агуу,flow
туура,fair
банк,bank
жыйноо,collect
куткаруу,save
башкаруу,control
ондук,decimal
кулак,ear
дагы,else
абдан,quite
сындырды,broke
окуя,case
орто,middle
өлтүрүү,kill
уул,son
көл,lake
ирмем,moment
масштабы,scale
катуу,loud
жаз,spring
сактоо,observe
бала,child
түз,straight
үнсүз тыбыш,consonant
улут,nation
сөздүк,dictionary
сүт,milk
ылдамдык,speed
ыкма,method
орган,organ
төлөө,pay
жашы,age
бөлүк,section
көйнөк,dress
булут,cloud
күтүлбөстүк,surprise
тынч,quiet
таш,stone
кичинекей,tiny
көтөрүлүү,climb
баракелде,cool
дизайн,design
жарды,poor
көп,lot
тажрыйба,experiment
Жыйынтык,bottom
ачкыч,key
темир,iron
жалгыз,single
таяк,stick
жалпак,flat
жыйырма,twenty
тери,skin
жылмаюу,smile
көбөйткөнгө,crease
тешик,hole
секирүү,jump
бала,baby
сегиз,eight
кыштак,village
жолугуу,meet
тамыр,root
сатып алуу,buy
көтөрүү,raise
чечүү,solve
метал,metal
же,whether
түртүү,push
жети,seven
абзац,paragraph
үчүнчү,third
милдеттүү,shall
өткөрдүк,held
чач,hair
баяндоо,describe
ашпозчу аял,cook
кабат,floor
же,either
жыйынтык,result
өрттөө,burn
дөбө,hill
аман-эсен,safe
мышык,cat
кылым,century
кароо,consider
түрү,type
мыйзам,law
бит,bit
деңиз жээги,coast
копия,copy
түрмөк,phrase
үнсүз,silent
бийик,tall
кум,sand
жер,soil
айландыруу,roll
Абанын температурасы:,temperature
манжа,finger
өнөр жай,industry
Наркы,value
салгылаш,fight
калп,lie
|сабап,|,beat
козгоо,excite
жаратылыш,natural
көрүнүш,view
сезим,sense
борбор,capital
|эркин эмес,|,won’t
стул,chair
коркунуч,danger
жемиш,fruit
бай,rich
жоон,thick
аскер,soldier
тартиби,process
иштөө,operate
практика,practice
бөлүнгөн,separate
татаал,difficult
доктор,doctor
өтүнөмүн,please
коргоо,protect
түш маалы,noon
түшүм,crop
азыркы,modern
элемент,element
Даражасы:,hit
окуучу,student
бурч,corner
партия,party
жабдуу,supply
кимдин,whose
жайгаштыруу,locate
шакек,ring
белги,character
курт-кумурска,insect
кармалды,caught
мезгил,period
көрсөтүү,indicate
радио,radio
мындай деди:,spoke
атом,atom
адам,human
тарых,history
таасири,effect
электрдик,electric
күтүү,expect
сөөк,bone
тосмо,rail
элестетүү,imagine
камсыз кылуу,provide
макул,agree
|Ошентип,|,thus
жумшак,gentle
аял,woman
капитан,captain
баамдоо,guess
керектүү,necessary
курч,sharp
канат,wing
түзүү,create
коңшу,neighbor
жуунуу,wash
жар канат,bat
|эмес,|,rather
эл,crowd
дан,corn
салыштыруу,compare
ыр,poem
аркан,string
коңгуроо,bell
көз каранды,depend
эт,meat
руб,rub
түтүк,tube
атактуу,famous
доллар,dollar
агым,stream
коркунуч,fear
көрүш,sight
арык,thin
үч бурчтук,triangle
планета,planet
шашуу,hurry
башчы,chief
колония,colony
саат,clock
кен,mine
галстук,tie
кирүү,enter
майор,major
жаңы,fresh
издөө,search
жиберүү,send
сары,yellow
курал,gun
уруксат берүү,allow
басма,print
өлгөн,dead
так,spot
ээн,desert
туура келүү,suit
учурдагы,current
көтөргүч,lift
роза,rose
келүү,arrive
кожоюн,master
жол,track
ата-эне,parent
жээк,shore
бөлүм,division
барак,sheet
зат,substance
пайда,favor
байланышуу,connect
кызмат,post
сарптоо,spend
аккорд,chord
май,fat
бактылуу,glad
баштапкы,original
үлүшү,share
бекети,station
ата,dad
нан,bread
күнөө,charge
ылайык,proper
бар,bar
сунуш,offer
кесинди,segment
кул,slave
өрдөк,duck
көз ирмем,instant
базар,market
даражасы,degree
толтуруш,populate
жөжө,chick
кымбаттуу,dear
душман,enemy
жооп,reply
ичүү,drink
пайда болушу,occur
колдоо,support
сүйлөө,speech
жаратылыш,nature
кырка,range
буу,steam
кыймыл,motion
жол,path
суюктук,liquid
журналы,log
билдирген,meant
болуп саналат,quotient
тиштер,teeth
жумуртканын кабыгы,shell
моюн,neck
кычкылтек,oxygen
кант,sugar
өлүм,death
сулуу,pretty
өнөрдүүлүк,skill
аялдар,women
сезону,season
чечим,solution
магнит,magnet
күмүш,silver
рахмат,thank
бутак,branch
мелдеш,match
SUFFIX,suffix
айрыкча,especially
анжыр,fig
коркуп,afraid
абдан чоң,huge
бир тууган,sister
болот,steel
талкуулашат,discuss
алдыга,forward
окшош,similar
жетектөө,guide
тажрыйба,experience
упай,score
алма,apple
сатып алган,bought
алып келди,led
чымкый,pitch
жүн,coat
массалык маалымат,mass
карта,card
банда,band
аркан,rope
тайгалануу,slip
жеңүү,win
түш,dream
кечинде,evening
абал,condition
тамактануу,feed
курал,tool
жалпы,total
негизги,basic
жыт,smell
өрөөн,valley
|да,|,nor
эки эсе көп,double
отургуч,seat
улантуу,continue
тосуу,block
диаграмма,chart
калпак,hat
сатуу,sell
ийгилик,success
компания,company
кемитүү,subtract
окуя,event
|атап айтканда,|,particular
иш,deal
сүзүү,swim
мөөнөт,term
карама каршы,opposite
аял,wife
бут кийим,shoe
ийин,shoulder
жайылуу,spread
уюштуруу,arrange
лагерь,camp
ойлоп,invent
пахта,cotton
тубаса,born
белгилөө,determine
өлчөм,quart
тогуз,nine
жүк ташуучу,truck
ызы-чуу,noise
деңгээл,level
учур,chance
жыйноо,gather
дүкөн,shop
чоюу,stretch
ыргытуу,throw
жарык,shine
мүлк,property
колонна,column
молекуласы,molecule
тандоо,select
ката,wrong
боз,gray
кайтолоо,repeat
талап кылуу,require
кенен,broad
даярдоо,prepare
туз,salt
мурун,nose
көптөгөн,plural
ачуулануу,anger
талап,claim
континент,continent
