kamar yadda,as
mafi,most
mutane,people
my,my
a kan,over
sani,know
ruwa,water
fiye da,than
kira,call
na farko,first
wanda,who
may,may
down,down
gefe,side
kasance,been
yanzu,now
samu,find
kai,head
tsaya,stand
own,own
page,page
kammata,should
country,country
samu,found
amsar,answer
makaranta,school
girma,grow
study,study
har yanzu,still
koyi,learn
shuka,plant
cover,cover
abinci,food
rãnã,sun
hudu,four
tsakanin,between
jihar,state
ci gaba,keep
ido,eye
taba,never
na karshe,last
bari,let
tsammani,thought
city,city
itacen,tree
kuros,cross
farm,farm
wuya,hard
farko,start
cikakken mulki,might
story,story
saw,saw
far,far
tẽku,sea
zana,draw
bar,left
marigayi,late
ran,run
kar ka,don’t
yayin da,while
latsa,press
close,close
dare,night
real,real
rayuwa,life
’yan,few
north,north
littafi,book
kawo,carry
ya ɗauki,took
kimiyya,science
ku ci,eat
dakin,room
aboki,friend
ya fara,began
ra’ayin,idea
kifi,fish
dutse,mountain
daina,stop
sau ɗaya,once
tushe,base
ji,hear
doki,horse
yanke,cut
tabbata,sure
watch,watch
launi,color
face,face
wood,wood
main,main
open,open
ze,seem
tare,together
na gaba,next
white,white
yara,children
za a fara,begin
samu,got
tafiya,walk
misali,example
’yanci,ease
takarda,paper
tara,group
ko da yaushe,always
music,music
wadanda,those
duka,both
mark,mark
sau da yawa,often
wasika,letter
har sai,until
mile,mile
kogin,river
car,car
feet,feet
kula,care
na biyu,second
isa,enough
sarari,plain
girl,girl
saba,usual
matasa,young
shirye,ready
a sama,above
taba,ever
ja,red
list,list
ko da yake,though
ji,feel
talk,talk
tsuntsu,bird
da ewa ba,soon
jiki,body
kare,dog
iyali,family
kai tsaye,direct
matsayi,pose
bar,leave
song,song
auna,measure
kofa,door
samfur,product
black,black
short,short
adadi,numeral
class,class
iska,wind
tambaya,question
faru,happen
complete,complete
ship,ship
area,area
rabin,half
rock,rock
domin,order
wuta,fire
kudu,south
matsalar,problem
yanki,piece
ya shaidawa,told
sani,knew
auku,pass
tun,since
top,top
dukan,whole
Sarkin,king
street,street
inch,inch
ninka,multiply
kome ba,nothing
Hakika,course
zauna,stay
wheel,wheel
full,full
karfi,force
blue,blue
abu,object
yanke shawara,decide
surface,surface
zurfi,deep
moon,moon
tsibirin,island
kafa,foot
tsarin,system
aiki,busy
jarabawa,test
rikodin,record
jirgin ruwa,boat
na kowa,common
zinariya,gold
zai yiwu,possible
jirgin,plane
gaji sarautarsa,stead
bushe,dry
mamaki,wonder
yi dariya,laugh
dubu,thousand
ago,ago
gudu,ran
duba,check
game,game
siffar,shape
danganta,equate
zafi,hot
kuskure,miss
kawo,brought
zafi,heat
snow,snow
taya,tire
kawo,bring
i,yes
m,distant
cika,fill
east,east
fenti,paint
harshe,language
a tsakanin,among
naúrar,unit
iko,power
town,town
lafiya,fine
wasu,certain
tashi,fly
fada,fall
kai,lead
kira,cry
dark,dark
inji,machine
bayanin kula,note
jira,wait
shirin,plan
adadi,figure
star,star
akwatin,box
suna,noun
filin,field
sauran,rest
daidai,correct
iya,able
laban,pound
aka yi,done
kyakkyawa,beauty
tuƙa,drive
tsaya,stood
dauke da,contain
gaba,front
koyar,teach
mako,week
karshe,final
ya ba,gave
kore,green
oh,oh
m,quick
ci gaba,develop
teku,ocean
dumi,warm
yantacce,free
minti daya,minute
karfi,strong
na musamman,special
hankali,mind
baya,behind
clear,clear
wutsiya,tail
kera,produce
gaskiya,fact
sarari,space
ji,heard
mafi,best
hour,hour
mafi alhẽri,better
gaskiya ne,true
a lokacin,during
da ɗari,hundred
biyar,five
tuna,remember
matakin,step
da wuri,early
ka riƙe,hold
yamma,west
kasa,ground
amfani,interest
kai,reach
sauri,fast
fi’ili,verb
raira,sing
listen,listen
shida,six
tebur,table
tafiya,travel
kasa,less
da safe,morning
goma,ten
sauki,simple
da yawa,several
wasali,vowel
zuwa ga,toward
yaki,war
sa,lay
da,against
juna,pattern
jinkirin,slow
cibiyar,center
soyayya,love
mutum,person
kudi,money
bauta,serve
bayyana,appear
road,road
map,map
ruwan sama,rain
mulkin,rule
mallaki,govern
ja,pull
sanyi,cold
sanarwa,notice
murya,voice
makamashi,energy
farauta,hunt
m,probable
gado,bed
brother,brother
kwai,egg
tafiya,ride
cell,cell
"yi ĩmãni,",believe
watakila,perhaps
sama,pick
kwatsam,sudden
count,count
muraba’in,square
dalilin,reason
tsawon,length
wakilci,represent
art,art
subject,subject
yankin,region
size,size
bambanta,vary
shirya,settle
yi magana,speak
nauyi,weight
general,general
kankara,ice
al’amarin,matter
da’irar,circle
biyu,pair
sun hada da,include
raba,divide
syllable,syllable
ji,felt
babban,grand
ball,ball
yet,yet
kalaman,wave
drop,drop
zuciya,heart
am,am
ba,present
nauyi,heavy
dance,dance
engine,engine
wuri,position
hannu,arm
wide,wide
ze tashi,sail
material,material
murabba’i,fraction
gandun daji,forest
zauna,sit
race,race
taga,window
store,store
rani,summer
jirgin kasa,train
barci,sleep
tabbatar da,prove
lone,lone
kafa,leg
motsa jiki,exercise
bango,wall
kama,catch
Dutsen,mount
so,wish
sama,sky
hukumar,board
farin ciki,joy
hunturu,winter
sat,sat
rubuta,written
daji,wild
kayan aiki,instrument
sa,kept
gilashi,glass
ciyawa,grass
saniya,cow
job,job
baki,edge
ãyã,sign
ziyarar,visit
da,past
laushi,soft
abin dariya,fun
haske,bright
gas,gas
weather,weather
watan,month
da miliyan,million
kai,bear
gama,finish
murna,happy
fata,hope
fure,flower
sa,clothe
m,strange
tafi,gone
ciniki,trade
karin waƙa,melody
tafiya da dawowa,trip
office,office
sama,receive
jere,row
bakin,mouth
exact,exact
alama ce,symbol
mutu,die
kalla,least
matsala,trouble
ihu,shout
sai dai,except
ya rubuta,wrote
iri,seed
sautin,tone
shiga,join
bayar da shawarar,suggest
mai tsabta,clean
fasa,break
lady,lady
yadi,yard
tashi,rise
mummunan,bad
duka,blow
man,oil
jini,blood
taba,touch
girma,grew
dari,cent
Mix,mix
tawagar,team
waya,wire
cost,cost
rasa,lost
launin ruwan kasa,brown
sa,wear
gonar,garden
daidai,equal
aika,sent
za i,choose
fadi,fell
shige,fit
daga ƙarƙashinsu,flow
gaskiya,fair
bank,bank
tattara,collect
ajiye,save
kula da,control
gidan goma,decimal
kunnen,ear
kuma,else
quite,quite
karya,broke
case,case
tsakiya,middle
kashe,kill
dan,son
lake,lake
lokacin,moment
sikelin,scale
m,loud
spring,spring
tsayar,observe
yaro,child
madaidaiciya,straight
baƙi,consonant
jama’a,nation
dictionary,dictionary
madara,milk
gudun,speed
hanyar,method
sashin jiki,organ
biya,pay
shekaru,age
section,section
dress,dress
girgije,cloud
mamaki,surprise
shiru,quiet
dutse,stone
kankanin,tiny
hau,climb
sanyi,cool
zane,design
matalauta,poor
yawa,lot
gwaji,experiment
kasa,bottom
key,key
baƙin ƙarfe,iron
single,single
sanda,stick
lebur,flat
ashirin da,twenty
fata,skin
murmushi,smile
crease,crease
rami,hole
yi tsalle,jump
baby,baby
takwas,eight
kauye,village
sadu da,meet
tushen,root
buy,buy
ta da,raise
warware,solve
karfe,metal
ko,whether
tura,push
bakwai,seven
sakin layi,paragraph
na uku,third
za,shall
Yunƙurin,held
gashi,hair
bayyana,describe
dafa,cook
bene,floor
ko dai,either
sakamakon,result
ƙona,burn
hill,hill
lafiya,safe
cat,cat
karni,century
duba,consider
type,type
shari’a,law
bit,bit
coast,coast
kofi,copy
magana,phrase
shiru,silent
tsayi,tall
yashi,sand
ƙasa,soil
yi,roll
zazzabi,temperature
yatsa,finger
masana’antu,industry
darajar,value
yaki,fight
ƙarya,lie
ta doke,beat
ta da hankali,excite
halitta,natural
view,view
ma’ana,sense
babban birnin kasar,capital
ki,won’t
kujera,chair
hadari,danger
’ya’yan itace,fruit
arziki,rich
lokacin farin ciki,thick
soja,soldier
tsari,process
aiki,operate
yi,practice
raba,separate
wuya,difficult
likita,doctor
don Allah,please
kare,protect
karkatar rana,noon
amfanin gona,crop
na zamani,modern
kashi,element
hit,hit
dalibi,student
kusurwa,corner
party,party
wadata,supply
wanda,whose
gano wuri,locate
zobe,ring
character,character
kwaro,insect
kama,caught
lokaci,period
nuna,indicate
radio,radio
yi magana,spoke
zarra,atom
mutum,human
history,history
sakamako,effect
lantarki,electric
sa ran,expect
kashi,bone
dogo,rail
kwatanta,imagine
samar da,provide
yarda,agree
haka ne,thus
m,gentle
mace,woman
kyaftin,captain
tsammani,guess
wajibi,necessary
kaifi,sharp
reshe,wing
ƙirƙirar,create
makwabcin,neighbor
wash,wash
bat,bat
wajen,rather
taron,crowd
masara,corn
kwatanta,compare
waƙa,poem
kirtani,string
kararrawa,bell
dogara,depend
nama,meat
rub,rub
tube,tube
shahara,famous
dollar,dollar
ƙorama,stream
tsoro,fear
gani,sight
na bakin ciki,thin
alwatika,triangle
duniya,planet
hanzarta,hurry
shugaba,chief
mallaka,colony
agogo,clock
mine,mine
taye,tie
shigar,enter
manyan,major
sabo,fresh
search,search
aika,send
rawaya,yellow
gun,gun
ƙyale,allow
print,print
matattu,dead
tabo,spot
hamada,desert
kwat da wando,suit
yanzu,current
daga,lift
ya tashi,rose
isa,arrive
master,master
track,track
iyaye,parent
tudu,shore
division,division
sheet,sheet
abu,substance
yarda,favor
connect,connect
post,post
kashe,spend
tsirkiya,chord
mai,fat
murna,glad
asali,original
share,share
station,station
baba,dad
gurasa,bread
cajin,charge
dace,proper
bar,bar
tayin,offer
kashi,segment
bawa,slave
duck,duck
nan take,instant
kasuwa,market
digiri,degree
populate,populate
chick,chick
masoyi,dear
maƙiyi,enemy
amsa,reply
sha,drink
faruwa,occur
goyon bayan,support
jawabin,speech
yanayin,nature
range,range
steam,steam
motsi,motion
hanya,path
ruwa,liquid
log,log
nufi,meant
quotient,quotient
hakora,teeth
harsashi,shell
wuyansa,neck
oxygen,oxygen
sugar,sugar
mutuwa,death
kyakkyawa,pretty
fasaha,skill
mata,women
kakar,season
bayani,solution
maganadisu,magnet
azurfa,silver
gode,thank
reshe,branch
wasa,match
a baya kalma,suffix
musamman,especially
fig,fig
ji tsoro,afraid
babbar,huge
ya,sister
karfe,steel
Tattaunawa,discuss
gaba,forward
similar,similar
shiryar da,guide
kwarewa,experience
score,score
apple,apple
sayi,bought
ya jagoranci,led
farar,pitch
gashi,coat
taro,mass
SIM,card
band,band
igiya,rope
zamewa,slip
nasara,win
mafarki,dream
maraice,evening
yanayin,condition
feed,feed
kayan aiki,tool
total,total
na asali,basic
wari,smell
kwarin,valley
kuma bã,nor
biyu,double
wurin zama,seat
ci gaba,continue
block,block
ginshiƙi,chart
hat,hat
sayar da,sell
nasara,success
company,company
muka ɗebe,subtract
taron,event
musamman,particular
da yawa,deal
yin iyo,swim
Kalmomin,term
m,opposite
matarsa,wife
shoe,shoe
kafada,shoulder
baza,spread
shirya,arrange
sansanin,camp
ƙirƙira,invent
auduga,cotton
haifaffe,born
ƙayyade,determine
quart,quart
tara,nine
truck,truck
amo,noise
matakin,level
dama,chance
tara,gather
shop,shop
stretch,stretch
jefa,throw
haske,shine
property,property
shafi,column
kwayoyin,molecule
zaži,select
ba daidai ba,wrong
launin toka,gray
sake,repeat
bukata,require
m,broad
shirya,prepare
gishiri,salt
hanci,nose
jam’i,plural
fushi,anger
da’awar,claim
nahiyar,continent
