ретінде,as
ұсыну,offer
сегмент,segment
құл,slave
үйрек,duck
лезде,instant
базар,market
градус,degree
толтыру,populate
Chick,chick
Құрметті,dear
жау,enemy
жауап,reply
сусын,drink
пайда,occur
қолдау,support
сөйлеу,speech
табиғат,nature
диапазон,range
бу,steam
қозғалыс,motion
соқпақ,path
сұйық,liquid
журнал,log
білдіреді,meant
фактор,quotient
тістері,teeth
қабыршақ,shell
мойын,neck
оттегі,oxygen
қант,sugar
өлім,death
әдемі,pretty
шеберлік,skill
әйелдер,women
маусымы,season
шешім,solution
магнит,magnet
күміс,silver
алғыс айту,thank
филиал,branch
матч,match
жұрнақ,suffix
әсіресе,especially
інжір,fig
қорқады,afraid
үлкен,huge
қарындас,sister
болат,steel
талқылау,discuss
алға,forward
ұқсас,similar
гид,guide
тәжірибе,experience
гол,score
алма,apple
сатып,bought
жарық диодты индикатор,led
қадам,pitch
пальто,coat
масса,mass
кәртішке,card
топ,band
арқан,rope
таю,slip
жеңіс,win
арман,dream
кеш,evening
жағдай,condition
жем,feed
аспап,tool
жалпы,total
негізгі,basic
иіс,smell
аңғар,valley
|де,|,nor
қос,double
орын,seat
жалғастыру,continue
блок,block
кесте,chart
Hat,hat
сату,sell
табыс,success
компания,company
шегеру,subtract
оқиға,event
ерекше,particular
мәміле,deal
жүзу,swim
мерзім,term
қарама-қарсы,opposite
әйел,wife
туфли,shoe
иық,shoulder
тарату,spread
орналастыру,arrange
лагерь,camp
ойлап,invent
мақта,cotton
туған,born
анықтау,determine
Тоқсан,quart
тоғыз,nine
жүк көлігі,truck
шу,noise
деңгей,level
кездейсоқтық,chance
жинау,gather
дүкен,shop
созу,stretch
лақтыру,throw
жылтыр,shine
меншік,property
колонна,column
молекуласы,molecule
таңдау,select
қате,wrong
сұр,gray
қайталау,repeat
талап,require
кең,broad
әзірлеу,prepare
тұз,salt
мұрын,nose
көптік,plural
ашу,anger
талап,claim
құрылық,continent
