kā,as
vairāki,several
patskaņu,vowel
virzienā,toward
karš,war
gulēja,lay
pret,against
raksts,pattern
lēni,slow
centrs,center
mīlestība,love
persona,person
nauda,money
kalpot,serve
parādās,appear
ceļš,road
karte,map
lietus,rain
noteikums,rule
valdīt,govern
vilkt,pull
auksts,cold
paziņojums,notice
balss,voice
enerģija,energy
medības,hunt
iespējams,probable
gulta,bed
brālis,brother
olu,egg
ride,ride
šūna,cell
tic,believe
varbūt,perhaps
pick,pick
pēkšņs,sudden
skaitīt,count
kvadrātveida,square
iemesls,reason
garums,length
pārstāvēt,represent
art,art
pakļauts,subject
rajons,region
izmērs,size
mainīties,vary
nokārtot,settle
runāt,speak
svars,weight
vispārējs,general
ledus,ice
jautājums,matter
aplis,circle
pāris,pair
ietvert,include
dalīt,divide
zilbe,syllable
jutās,felt
Lielā,grand
bumba,ball
vēl,yet
vilnis,wave
piliens,drop
sirds,heart
am,am
dāvana,present
smags,heavy
deja,dance
dzinējs,engine
pozīciju,position
roku,arm
plašs,wide
bura,sail
materiāls,material
daļa,fraction
mežs,forest
sēdēt,sit
skrējiens,race
logu,window
veikals,store
vasara,summer
vilciens,train
miegs,sleep
izrādīties,prove
vientuļš,lone
kāja,leg
vingrinājums,exercise
siena,wall
loms,catch
kalns,mount
vēlēties,wish
debesis,sky
dēlis,board
prieks,joy
ziema,winter
sat,sat
rakstisks,written
savvaļā,wild
instrumentam,instrument
tur,kept
stikls,glass
zāle,grass
govs,cow
darbs,job
mala,edge
zīme,sign
apmeklējums,visit
pagātne,past
mīksts,soft
jautrība,fun
spilgti,bright
gāze,gas
laika,weather
mēnesis,month
miljons,million
nest,bear
apdare,finish
laimīgs,happy
cerība,hope
zieds,flower
ietērpt,clothe
dīvains,strange
aizgājuši,gone
tirdzniecība,trade
melodija,melody
brauciens,trip
birojs,office
saņem,receive
rinda,row
mute,mouth
precīzu,exact
simbols,symbol
nomirt,die
vismaz,least
nepatikšanas,trouble
kliegt,shout
izņemot,except
rakstīja,wrote
sēkla,seed
tonis,tone
pievienoties,join
iesaku,suggest
tīrs,clean
pārtraukums,break
dāma,lady
yard,yard
pieaugt,rise
slikti,bad
trieciens,blow
eļļa,oil
asinis,blood
pieskarieties,touch
pieauga,grew
centu,cent
samaisa,mix
komanda,team
stieple,wire
izmaksas,cost
zaudējis,lost
brūns,brown
valkāt,wear
dārzs,garden
vienāds,equal
nosūtīts,sent
izvēlēties,choose
samazinājās,fell
piemērots,fit
plūsmas,flow
godīgi,fair
banka,bank
savākt,collect
glābt,save
kontrole,control
decimāldaļskaitlis,decimal
auss,ear
cits,else
diezgan,quite
izputējis,broke
case,case
vidus,middle
nogalināt,kill
dēls,son
ezers,lake
brīdis,moment
skala,scale
skaļi,loud
pavasaris,spring
novērot,observe
bērns,child
taisni,straight
līdzskanis,consonant
tauta,nation
vārdnīca,dictionary
piens,milk
ātrums,speed
metode,method
ērģeles,organ
samaksāt,pay
vecums,age
sadaļa,section
kleita,dress
mākonis,cloud
pārsteigums,surprise
kluss,quiet
akmens,stone
niecīgs,tiny
kāpt,climb
atdzist,cool
dizains,design
slikts,poor
daudz,lot
eksperiments,experiment
apakšā,bottom
taustiņš,key
dzelzs,iron
vienotā,single
nūja,stick
flat,flat
divdesmit,twenty
āda,skin
smaids,smile
burzīties,crease
caurums,hole
lēkt,jump
mazulis,baby
astoņi,eight
ciems,village
apmierināt,meet
sakne,root
nopirkt,buy
paaugstināt,raise
atrisināt,solve
metāla,metal
vai,whether
stumtu,push
septiņi,seven
daļa,paragraph
trešais,third
veic,shall
ko,held
mati,hair
aprakstīt,describe
pavārs,cook
stāvs,floor
nu,either
rezultāts,result
dedzināt,burn
kalns,hill
drošs,safe
kaķis,cat
gadsimts,century
apsvērt,consider
tips,type
likums,law
bits,bit
piekraste,coast
kopija,copy
frāze,phrase
kluss,silent
augsts,tall
smiltis,sand
augsne,soil
rullis,roll
temperatūras,temperature
pirksts,finger
nozare,industry
vērtība,value
cīņa,fight
meli,lie
pārspēt,beat
satraukt,excite
dabisks,natural
skats,view
saprāts,sense
kapitāls,capital
nebūs,won’t
krēsls,chair
briesmas,danger
augļi,fruit
bagāts,rich
biezs,thick
karavīrs,soldier
process,process
darboties,operate
prakse,practice
atsevišķs,separate
grūti,difficult
ārsts,doctor
lūdzu,please
aizsargāt,protect
pusdienlaiks,noon
raža,crop
mūsdienu,modern
elements,element
hit,hit
students,student
stūris,corner
puse,party
piegāde,supply
kuru,whose
atrodiet,locate
gredzens,ring
raksturs,character
kukainis,insect
nozvejotas,caught
periods,period
norādīt,indicate
radiofrekvenču,radio
runāja,spoke
atoms,atom
cilvēku,human
vēsture,history
efekts,effect
elektriskā,electric
gaidīt,expect
kauls,bone
dzelzceļš,rail
iedomāties,imagine
nodrošināt,provide
piekrītu,agree
tādējādi,thus
maigs,gentle
sieviete,woman
kapteinis,captain
uzminēt,guess
nepieciešams,necessary
ass,sharp
spārnu,wing
izveidot,create
kaimiņš,neighbor
mazgāšana,wash
nūja,bat
drīzāk,rather
pūlis,crowd
kukurūza,corn
salīdzināt,compare
dzejolis,poem
rinda,string
zvans,bell
atkarīgi,depend
gaļa,meat
berzēt,rub
caurule,tube
slavens,famous
dolāru,dollar
straume,stream
bailes,fear
skats,sight
plānas,thin
trīsstūris,triangle
planēta,planet
steigā,hurry
galvenais,chief
kolonija,colony
pulkstenis,clock
raktuve,mine
kaklasaite,tie
ievadiet,enter
galvenais,major
svaigs,fresh
meklēšana,search
sūtīt,send
dzeltena,yellow
lielgabals,gun
ļaut,allow
print,print
miris,dead
vieta,spot
tuksnesis,desert
uzvalks,suit
strāva,current
pacēlājs,lift
roze,rose
ierasties,arrive
master,master
track,track
vecāks,parent
krasts,shore
nodaļa,division
lapa,sheet
viela,substance
priekšroku,favor
savienot,connect
pasta,post
tērēt,spend
akords,chord
tauki,fat
priecīgs,glad
oriģināls,original
daļa,share
stacija,station
tētis,dad
maize,bread
maksa,charge
pienācīgs,proper
bārs,bar
piedāvājums,offer
segments,segment
vergu,slave
pīle,duck
tūlītējs,instant
tirgus,market
pakāpe,degree
apdzīvot,populate
cālis,chick
dārgais,dear
ienaidnieks,enemy
atbildēt,reply
dzēriens,drink
notikt,occur
atbalsts,support
runas,speech
daba,nature
diapazons,range
tvaiks,steam
kustības,motion
ceļš,path
šķidrums,liquid
log,log
nozīmēja,meant
koeficients,quotient
zobi,teeth
apvalks,shell
kakls,neck
skābeklis,oxygen
cukurs,sugar
nāve,death
diezgan,pretty
prasme,skill
sievietes,women
sezona,season
risinājums,solution
magnēts,magnet
sudrabs,silver
paldies,thank
filiāle,branch
mačs,match
piedēklis,suffix
sevišķi,especially
fig,fig
nobijies,afraid
milzīgs,huge
māsa,sister
tērauds,steel
apspriest,discuss
uz priekšu,forward
līdzīga,similar
virzīt,guide
pieredze,experience
punktu skaits,score
ābolu,apple
nopirka,bought
vadīja,led
piķis,pitch
mētelis,coat
masa,mass
kartes,card
grupa,band
virve,rope
buksēšana,slip
win,win
sapnis,dream
vakars,evening
nosacījums,condition
barības,feed
rīks,tool
kopējais,total
bāzes,basic
smarža,smell
ieleja,valley
nedz,nor
dubultā,double
sēdeklis,seat
turpināt,continue
bloks,block
diagramma,chart
cepure,hat
pārdot,sell
veiksme,success
uzņēmums,company
atņemt,subtract
notikums,event
īpaši,particular
darījums,deal
peldēt,swim
termins,term
pretī,opposite
sieva,wife
apavu,shoe
plecu,shoulder
izplatība,spread
organizēt,arrange
nometne,camp
izgudrot,invent
kokvilna,cotton
Dzimis,born
noteikt,determine
cet,quart
deviņi,nine
truck,truck
troksnis,noise
līmenis,level
iespēja,chance
savākt,gather
veikals,shop
stiept,stretch
mest,throw
spīdēt,shine
īpašums,property
kolonna,column
molekula,molecule
izvēlieties,select
nepareizs,wrong
pelēks,gray
atkārtot,repeat
pieprasīt,require
plašs,broad
sagatavoties,prepare
sāls,salt
deguns,nose
daudzskaitlis,plural
dusmas,anger
prasījums,claim
kontinents,continent
