로,as
국가,country
발견,found
답변,answer
학교,school
성장,grow
연구,study
여전히,still
학습,learn
공장,plant
덮개,cover
음식,food
일,sun
네,four
사이,between
상태,state
유지,keep
눈,eye
결코,never
마지막,last
하자,let
생각,thought
도시,city
트리,tree
교차,cross
농장,farm
단단한,hard
시작,start
수도,might
이야기,story
톱,saw
까지,far
바다,sea
그리,draw
왼쪽,left
후반,late
실행,run
하지,don’t
반면,while
키를 누릅니다,press
가까이,close
밤,night
실제,real
생활,life
조금,few
북,north
책,book
수행,carry
했다,took
과학,science
식사,eat
방,room
친구,friend
시작,began
아이디어,idea
물고기,fish
산,mountain
중지,stop
한 번,once
기본,base
듣다,hear
말,horse
컷,cut
확실한,sure
손목 시계,watch
색,color
얼굴,face
나무,wood
주,main
오픈,open
것,seem
함께,together
다음,next
흰색,white
어린이,children
시작,begin
있어,got
도보,walk
예,example
완화,ease
종이,paper
그룹,group
항상,always
음악,music
그,those
모두,both
마르크,mark
자주,often
편지,letter
까지,until
마일,mile
강,river
자동차,car
피트,feet
주의,care
초,second
충분히,enough
일반,plain
소녀,girl
보통,usual
젊은,young
준비된,ready
위,above
지금까지,ever
빨간색,red
표,list
그래도,though
느낌,feel
이야기,talk
조류,bird
곧,soon
몸,body
개,dog
가족,family
직접,direct
포즈,pose
떠나,leave
노래,song
측정,measure
문,door
제품,product
블랙,black
짧은,short
숫자,numeral
클래스,class
바람,wind
질문,question
일,happen
완료,complete
배,ship
지역,area
반,half
바위,rock
주문,order
화재,fire
남쪽,south
문제,problem
조각,piece
이야기,told
알고,knew
통과,pass
이후,since
최고,top
전체,whole
왕,king
거리,street
인치,inch
곱,multiply
아무것도,nothing
물론,course
유지,stay
휠,wheel
전체,full
힘,force
푸른,blue
객체,object
결정,decide
표면,surface
깊은,deep
달,moon
섬,island
발,foot
시스템,system
바쁜,busy
테스트,test
기록,record
보트,boat
공통의,common
금,gold
가능한,possible
비행기,plane
대신,stead
건조,dry
궁금,wonder
웃음,laugh
천,thousand
전,ago
실행,ran
확인,check
게임,game
모양,shape
동일시,equate
뜨거운,hot
미스,miss
가져,brought
열,heat
눈,snow
타이어,tire
가져,bring
예,yes
먼,distant
입력,fill
동쪽,east
페인트,paint
언어,language
중,among
단위,unit
힘,power
마을,town
잘,fine
어떤,certain
비행,fly
가을,fall
지도,lead
울음 소리,cry
어두운,dark
기계,machine
주의,note
대기,wait
계획,plan
그림,figure
스타,star
상자,box
명사,noun
필드,field
나머지,rest
정확한,correct
수,able
파운드,pound
완료,done
아름다움,beauty
드라이브,drive
서,stood
포함,contain
앞,front
가르쳐,teach
주,week
최종,final
준,gave
녹색,green
오,oh
빨리,quick
개발,develop
대양,ocean
따뜻한,warm
무료,free
분,minute
강한,strong
특수,special
마음,mind
뒤에,behind
명확한,clear
꼬리,tail
생산,produce
사실,fact
공간,space
들어,heard
가장,best
시간,hour
더,better
사실,true
중,during
백,hundred
오,five
기억,remember
단계,step
초기,early
개최,hold
서쪽,west
지상,ground
관심,interest
범위,reach
빠른,fast
동사,verb
노래,sing
청취,listen
육,six
나타난,table
여행,travel
이하,less
아침,morning
열,ten
간단한,simple
여러,several
모음,vowel
방향,toward
전쟁,war
누워,lay
에 대하여,against
패턴,pattern
느린,slow
센터,center
사랑,love
사람,person
돈,money
봉사,serve
표시,appear
도로,road
지도,map
비,rain
규칙,rule
적용,govern
당겨,pull
감기,cold
예고,notice
음성,voice
에너지,energy
사냥,hunt
가능성,probable
침대,bed
형제,brother
계란,egg
타고,ride
셀,cell
생각,believe
어쩌면,perhaps
선택,pick
갑자기,sudden
계산,count
광장,square
이유,reason
길이,length
대표,represent
예술,art
주제,subject
지역,region
크기,size
다양,vary
정착,settle
이야기,speak
무게,weight
일반,general
얼음,ice
문제,matter
원,circle
쌍,pair
포함,include
분할,divide
음절,syllable
느낌,felt
그랜드,grand
공,ball
아직,yet
파,wave
드롭,drop
마음,heart
어디로,am
현재,present
무거운,heavy
댄스,dance
엔진,engine
위치,position
팔,arm
폭,wide
항해,sail
재료,material
분수,fraction
숲,forest
앉아,sit
레이스,race
창,window
상점,store
여름,summer
기차,train
잠,sleep
증명,prove
고독한,lone
다리,leg
운동,exercise
벽,wall
캐치,catch
마운트,mount
소원,wish
하늘,sky
판,board
즐거움,joy
겨울,winter
토,sat
기록,written
야생,wild
악기,instrument
유지,kept
유리,glass
잔디,grass
소,cow
작업,job
에지,edge
로그인,sign
방문,visit
지난,past
소프트,soft
재미,fun
밝은,bright
가스,gas
날씨,weather
개월,month
만,million
곰,bear
끝,finish
행복,happy
기대,hope
꽃,flower
의복을 걸치다,clothe
기이 한,strange
사라,gone
무역,trade
멜로디,melody
여행,trip
사무실,office
수신,receive
행,row
입,mouth
정확한,exact
기호,symbol
죽다,die
이상,least
수고,trouble
소리,shout
제외,except
썼다,wrote
씨앗,seed
톤,tone
가입,join
제안,suggest
청소,clean
단절,break
아가씨,lady
야드,yard
상승,rise
나쁜,bad
타격,blow
기름,oil
피,blood
터치,touch
성장,grew
센트,cent
혼합,mix
팀,team
와이어,wire
비용,cost
손실,lost
갈색,brown
착용,wear
정원,garden
동일,equal
전송,sent
선택,choose
하락,fell
적합,fit
흐름,flow
박람회,fair
은행,bank
수집,collect
저장,save
제어,control
소수점,decimal
귀,ear
다른,else
아주,quite
파산,broke
경우,case
중간,middle
죽,kill
아들,son
호수,lake
순간,moment
규모,scale
큰 소리로,loud
봄,spring
관찰,observe
아이,child
직선,straight
자음,consonant
국민,nation
사전,dictionary
우유,milk
속도,speed
방법,method
기관,organ
지불,pay
연령,age
섹션,section
드레스,dress
구름,cloud
놀람,surprise
조용한,quiet
돌,stone
작은,tiny
등반,climb
멋진,cool
디자인,design
가난한,poor
많은,lot
실험,experiment
바닥,bottom
키,key
철,iron
단일,single
스틱,stick
플랫,flat
스물,twenty
피부,skin
미소,smile
주름,crease
구멍,hole
점프,jump
아가,baby
팔,eight
마을,village
대회,meet
루트,root
사기,buy
인상,raise
해결,solve
금속,metal
여부,whether
푸시,push
일곱,seven
단락,paragraph
세번째,third
하여야한다,shall
개최,held
머리,hair
설명,describe
요리,cook
바닥,floor
중,either
결과,result
구울,burn
언덕,hill
안전한,safe
고양이,cat
세기,century
고려,consider
유형,type
법,law
비트,bit
해안,coast
복사,copy
문구,phrase
침묵,silent
키,tall
모래,sand
토양,soil
롤,roll
온도,temperature
손가락,finger
산업,industry
값,value
싸움,fight
거짓말,lie
이길,beat
흥분,excite
자연,natural
보기,view
의미,sense
자본,capital
하지 않습니다,won’t
의자,chair
위험,danger
과일,fruit
풍부한,rich
두께,thick
군인,soldier
과정,process
운영,operate
연습,practice
별도의,separate
어려운,difficult
의사,doctor
제발,please
보호,protect
정오,noon
작물,crop
현대,modern
요소,element
히트,hit
학생,student
코너,corner
파티,party
공급,supply
누구의,whose
위치,locate
링,ring
문자,character
곤충,insect
적발,caught
기간,period
표시,indicate
라디오,radio
이야기,spoke
원자,atom
인간,human
역사,history
효과,effect
전기,electric
기대,expect
골,bone
레일,rail
상상,imagine
제공,provide
동의,agree
따라서,thus
부드러운,gentle
여성,woman
주장,captain
추측,guess
필요,necessary
날카로운,sharp
날개,wing
작성,create
이웃,neighbor
세척,wash
박쥐,bat
오히려,rather
군중,crowd
옥수수,corn
비교,compare
시,poem
문자열,string
벨,bell
따라,depend
고기,meat
문지,rub
튜브,tube
유명한,famous
달러,dollar
스트림,stream
무서움,fear
시력,sight
얇은,thin
삼각형,triangle
행성,planet
서둘러,hurry
장,chief
식민지,colony
시계,clock
내,mine
넥타이,tie
입력,enter
주요,major
신선한,fresh
검색,search
보내,send
노란색,yellow
총,gun
수,allow
인쇄,print
죽은,dead
자리,spot
사막,desert
정장,suit
현재,current
리프트,lift
장미,rose
도착,arrive
마스터,master
트랙,track
부모,parent
해안,shore
부문,division
시트,sheet
물질,substance
호의,favor
연결,connect
포스트,post
지출,spend
코드,chord
지방,fat
다행,glad
원래,original
주,share
역,station
아빠,dad
빵,bread
충전,charge
적절한,proper
바,bar
제안,offer
세그먼트,segment
슬레이브,slave
오리,duck
인스턴트,instant
시장,market
도,degree
웁니다,populate
병아리,chick
친애,dear
적,enemy
응답,reply
한잔,drink
발생,occur
지원,support
음성,speech
자연,nature
범위,range
증기,steam
모션,motion
경로,path
액체,liquid
로그인,log
의미,meant
지수,quotient
치아,teeth
쉘,shell
목,neck
산소,oxygen
설탕,sugar
죽음,death
꽤,pretty
기술,skill
여성,women
시즌,season
용액,solution
자석,magnet
실버,silver
감사,thank
지점,branch
경기,match
접미사,suffix
특히,especially
그림,fig
두려워,afraid
거대한,huge
자매,sister
스틸,steel
논의,discuss
앞으로,forward
비슷한,similar
가이드,guide
경험,experience
점수,score
사과,apple
구입,bought
주도,led
피치,pitch
코트,coat
질량,mass
카드,card
밴드,band
로프,rope
슬립,slip
승리,win
꿈,dream
저녁,evening
조건,condition
먹이,feed
도구,tool
총,total
기본,basic
냄새,smell
계곡,valley
도,nor
더블,double
좌석,seat
계속,continue
블록,block
차트,chart
모자,hat
판매,sell
성공,success
회사,company
빼기,subtract
이벤트,event
특히,particular
거래,deal
수영,swim
용어,term
정반대의,opposite
아내,wife
신발,shoe
어깨,shoulder
확산,spread
준비,arrange
캠프,camp
발명하다,invent
면,cotton
태어난,born
결정,determine
쿼트,quart
구,nine
트럭,truck
잡음,noise
수준,level
기회,chance
수집,gather
상점,shop
스트레칭,stretch
던져,throw
광택,shine
등록,property
열,column
분자,molecule
선택,select
나쁜,wrong
회색,gray
반복,repeat
필요,require
폭 넓은,broad
준비,prepare
소금,salt
코,nose
복수,plural
분노,anger
제,claim
대륙,continent
