sifatida,as
bilgan,knew
o’tishi,pass
chunki,since
eng yaxshi,top
butun,whole
qirol,king
ko’cha,street
inch,inch
ko’paytirib,multiply
hech nima,nothing
"Albatta,",course
qolish,stay
g’ildirak,wheel
to’liq,full
kuch,force
ko’k,blue
ob’ekt,object
qaror,decide
yuza,surface
chuqur,deep
oy,moon
orol,island
oyoq,foot
tizim,system
band,busy
sinov,test
rekord,record
qayiq,boat
umumiy,common
oltin,gold
mumkin,possible
Samolyot,plane
foyda,stead
quruq,dry
hayron,wonder
kulgu,laugh
ming,thousand
ilgari,ago
yugurib,ran
nazorat,check
o’yin,game
shakli,shape
tenglashtirmoq,equate
issiq,hot
kechikmoq,miss
olib,brought
issiqlik,heat
qor,snow
shina,tire
olib,bring
ha,yes
uzoqdagi,distant
to’ldirish,fill
sharq,east
bo’yoq,paint
til,language
orasida,among
birlik,unit
kuch,power
shahar,town
jarima,fine
aniq,certain
chivin,fly
kuz,fall
qo’rg’oshin,lead
yig’lamoq,cry
qorong’u,dark
mashina,machine
eslatma,note
kutish,wait
reja,plan
shakl,figure
yulduz,star
box,box
ot,noun
dala,field
dam,rest
to’g’ri,correct
qodir,able
funt,pound
qilingan,done
go’zallik,beauty
haydash,drive
turib,stood
o’z ichiga olgan,contain
front,front
o’rgatish,teach
xafta,week
oxirgi,final
berdi,gave
yashil,green
ah,oh
tez,quick
rivojlantirish,develop
okean,ocean
iliq,warm
ozod,free
daqiqa,minute
kuchli,strong
maxsus,special
fikr,mind
orqasida,behind
aniq,clear
dum,tail
mahsulot,produce
dalil,fact
maydon,space
eshitib,heard
eng yaxshi,best
soat,hour
yaxshiroq,better
haqiqiy,true
davomida,during
yuz,hundred
besh,five
eslayman,remember
qadam,step
barvaqt,early
ushlab turing,hold
g’arb,west
yer,ground
qiziqish,interest
erishish,reach
tez,fast
fe’l,verb
kuylashadi,sing
tinglash,listen
olti,six
stol,table
sayohat,travel
ozroq,less
ertalab,morning
o’n,ten
oddiy,simple
bir necha,several
unli tovush,vowel
tomonga,toward
urush,war
yotar,lay
qarshi,against
namuna,pattern
sekin,slow
markaz,center
sevgi,love
shaxs,person
pul,money
xizmat,serve
paydo,appear
yo’l,road
xarita,map
yomg’ir,rain
qoida,rule
boshqarmoq,govern
torting,pull
sovuq,cold
bildirishnoma,notice
ovoz,voice
quvvat,energy
ov,hunt
ehtimolli,probable
karavot,bed
aka,brother
tuxum,egg
haydash,ride
hujayra,cell
iymon,believe
ehtimol,perhaps
termoq,pick
kutilmagan,sudden
hisoblash,count
kvadrat,square
sabab,reason
uzunlik,length
vakili,represent
san’at,art
mavzu,subject
mintaqa,region
hajmi,size
farq,vary
hal,settle
gapirish,speak
vazn,weight
umumiy,general
muz,ice
"qat’i nazar,",matter
to’garak,circle
juft,pair
o’z ichiga oladi,include
ajratmoq,divide
bo’g’in,syllable
his,felt
grand,grand
koptok,ball
hali,yet
to’lqin,wave
tomchi,drop
yurak,heart
emasman,am
hozirgi,present
og’ir,heavy
raqs,dance
motor,engine
vaziyat,position
qo’l,arm
keng,wide
suzmoq,sail
ashyo,material
kasr,fraction
o’rmon,forest
o’tirib,sit
irq,race
deraza,window
do’kon,store
yoz,summer
poezd,train
uyqu,sleep
isbotlash,prove
yolg’iz,lone
oyoq,leg
mashq,exercise
devor,wall
tutmoq,catch
mount,mount
iltimos,wish
osmon,sky
taxta,board
xursandchilik,joy
qish,winter
signallarini,sat
yozma,written
yovvoyi,wild
asbob,instrument
saqlab,kept
shisha,glass
o’t,grass
sigir,cow
ish,job
chet,edge
belgi,sign
tashrif,visit
o’tgan,past
yumshoq,soft
qiziqarli,fun
yorug ’,bright
gaz,gas
ob-havo,weather
oy,month
million,million
qo’pol,bear
marra,finish
baxtli,happy
umid,hope
gul,flower
kiyintirmoq,clothe
g’alati,strange
ketganimda,gone
savdo,trade
kuy,melody
sayohat,trip
idora,office
qabul,receive
qator,row
og’iz,mouth
aniq,exact
ramz,symbol
o’lish,die
kamida,least
tashvish,trouble
baqirmoq qichqirmoq,shout
tashqari,except
yozgan,wrote
urug ’,seed
ohang,tone
qo’shilish,join
taklif,suggest
toza,clean
tanaffus,break
xonim,lady
yard,yard
oshirish,rise
yomon,bad
zarba,blow
neft,oil
qon,blood
tegish,touch
o’sdi,grew
foiz,cent
mix,mix
komanda,team
sim,wire
qiymati,cost
yo’qolgan,lost
jigar rang,brown
kiyish,wear
bog ’,garden
teng,equal
yuborilgan,sent
ni tanlang,choose
tushdi,fell
mos,fit
oqim,flow
yarmarka,fair
bank,bank
to’plash,collect
saqlash,save
nazorat,control
o’nlik,decimal
quloq,ear
yana boshqa,else
mutlaqo,quite
buzib,broke
hodisa,case
o’rta,middle
o’ldirish,kill
o’g’il,son
ko’l,lake
daqiqa,moment
miqyosli,scale
baland ovozda,loud
bahor,spring
kuzatish,observe
yosh bola,child
streyt,straight
ohangdosh,consonant
millat,nation
lug’at,dictionary
sut,milk
tezlik,speed
usul,method
organ,organ
to’lov,pay
yosh,age
bo’lim,section
kiyim,dress
bulut,cloud
surprise,surprise
sokin,quiet
tosh,stone
kichkina,tiny
yuqoriga chiqmok,climb
salqin,cool
dizayn,design
kambag’al,poor
maydoni,lot
tajriba,experiment
pastki,bottom
kalit,key
temir,iron
yakka,single
tayoq,stick
tekis,flat
yigirma,twenty
teri,skin
tabassum,smile
qat,crease
teshik,hole
sakramoq,jump
chaqaloq,baby
sakkiz,eight
qishloq,village
uchrashmoq,meet
ildiz,root
sotib,buy
oshirish,raise
hal,solve
metall,metal
yoki,whether
durang,push
yetti,seven
paragraf,paragraph
uchinchi,third
keladir,shall
O’tkazilayotgan,held
soch,hair
tasvirlab,describe
oshpaz,cook
pol,floor
yoki,either
natija,result
kuyish,burn
tepalik,hill
zararsiz,safe
mushuk,cat
asr,century
tushunmoq,consider
shrift,type
qonun,law
bit,bit
qirg’oq,coast
nusxa,copy
ifoda,phrase
shovqinsiz,silent
baland,tall
qum,sand
yer,soil
roll,roll
harorat,temperature
barmoq,finger
sanoat,industry
qiymati,value
jang,fight
yolg’on,lie
mag’lub etdi,beat
ta’sir qilmoq,excite
tabiiy,natural
ko’rinish,view
sezgi,sense
kapital,capital
yo’q,won’t
stul,chair
xavfli,danger
meva,fruit
boy,rich
qalin,thick
askar,soldier
jarayon,process
faoliyat,operate
amaliyot,practice
alohida,separate
murakkab,difficult
shifokor,doctor
iltimos,please
himoya,protect
peshin,noon
hosil,crop
zamonaviy,modern
element,element
zarba,hit
talaba,student
burchak,corner
partiya,party
ta’minlash,supply
kimning,whose
topish,locate
ring,ring
fe’l,character
hasharot,insect
qo’lga,caught
davr,period
ko’rsatadi,indicate
radio,radio
gapirdi,spoke
atom,atom
odam,human
tarix,history
ta’sir,effect
elektr,electric
kutyapmiz,expect
suyak,bone
rels,rail
tasavvur,imagine
ta’minlash,provide
qo’shilaman,agree
shunday,thus
yumshoq,gentle
ayol,woman
kapitan,captain
taxmin,guess
zarur,necessary
o’tkir,sharp
qanot,wing
yaratish,create
qo’shni,neighbor
yuvish,wash
ko’rshapalak,bat
afzal,rather
to’da,crowd
makkajo’xori,corn
solishtirish,compare
she’r,poem
string,string
qo’ng’iroq,bell
bog’liq,depend
go’sht,meat
ishqalamoq,rub
trubka,tube
mashhur,famous
dollar,dollar
oqim,stream
qo’rqinch,fear
ko’z,sight
ingichka,thin
uchburchak,triangle
sayyora,planet
shoshilmoq,hurry
boshliq,chief
mustamlaka,colony
soat,clock
meniki,mine
galstuk,tie
kiritish,enter
muhim,major
yangi,fresh
qidirish,search
yuborish,send
sariq,yellow
kun,gun
ruxsat,allow
chop etish,print
o’lgan,dead
spot,spot
sahro,desert
kostyum,suit
hozirgi,current
lift,lift
atirgul,rose
yetib,arrive
usta,master
trek,track
ota-,parent
qirg’oq,shore
taqsimlash,division
varaq,sheet
modda,substance
muruvvat,favor
ulanish,connect
post,post
nafaqa,spend
akkord,chord
yog ’,fat
xursand,glad
original,original
ulushi,share
bekat,station
dada,dad
non,bread
ayblash,charge
muvofiq,proper
bar,bar
taklif qilish,offer
segment,segment
qul,slave
o’rdak,duck
tez,instant
bozor,market
gradus,degree
aholining,populate
jo’ja,chick
aziz,dear
dushman,enemy
javob,reply
ichimlik,drink
sodir,occur
qo’llab-quvvatlash,support
nutq,speech
tabiat,nature
oralig’i,range
bug ’,steam
harakat,motion
yo’l,path
suyuq,liquid
log,log
anglatadi,meant
bo’linma,quotient
teeth,teeth
chig’anoq,shell
bo’yin,neck
kislorod,oxygen
shakar,sugar
o’lim,death
shirin,pretty
mahorat,skill
ayollar,women
mavsum,season
qaror,solution
magnit,magnet
kumush,silver
rahmat,thank
filial,branch
match,match
qo’shimchasi,suffix
ayniqsa,especially
anjir,fig
qo’rqqan,afraid
ulkan,huge
singil,sister
po’lat,steel
muhokama,discuss
olg’a,forward
o’xshash,similar
hidoyat,guide
tajriba,experience
xol,score
olma,apple
sotib,bought
led,led
pitch,pitch
palto,coat
massa,mass
karta,card
frans,band
arqon,rope
siljitmoq,slip
Win,win
xayol,dream
kechqurun,evening
holat,condition
yem,feed
asbob,tool
jami,total
asosiy,basic
hid,smell
vodiy,valley
na,nor
ikki hissa,double
o’rin,seat
davom,continue
blok,block
sxema,chart
shlyapa,hat
sotish,sell
muvaffaqiyat,success
kompaniya,company
ayirmoq,subtract
hodisa,event
alohida,particular
kelishuv,deal
suzmoq,swim
muddat,term
qarama-qarshi,opposite
rafiqa,wife
tufli,shoe
elka,shoulder
tarqalishi,spread
tashkil,arrange
lager,camp
to’qirlar,invent
paxta,cotton
tug’ma,born
aniqlash,determine
kvarta,quart
to’qqiz,nine
yuk mashinasi,truck
shovqin,noise
daraja,level
tasodif,chance
to’plash,gather
do’kon,shop
cho’zmoq,stretch
otish,throw
nur,shine
mulk,property
ustun,column
molekulasi,molecule
tanlang,select
noto’g’ri,wrong
kul rang,gray
takrorlash,repeat
talab,require
keng,broad
tayyorlash,prepare
tuz,salt
burun,nose
ko’plik,plural
g’azab,anger
talab,claim
qit’a,continent
