mar,as
shout,shout
ach amháin,except
Scríobh,wrote
síol,seed
ton,tone
páirt a,join
fios,suggest
glan,clean
sos,break
bhean,lady
clós,yard
ardú,rise
dona,bad
buille,blow
ola,oil
fuil,blood
teagmháil,touch
D’fhás,grew
cent,cent
meascán,mix
fhoireann,team
sreang,wire
costas,cost
caillte,lost
donn,brown
chaitheamh,wear
gairdín,garden
comhionann,equal
sheoladh,sent
roghnaigh,choose
thit,fell
oiriúnach,fit
sreabhadh,flow
cóir,fair
banc,bank
bhailiú,collect
shábháil,save
rialú,control
dheachúlach,decimal
cluas,ear
eile,else
go leor,quite
bhris,broke
cás,case
lár,middle
mharú,kill
mac,son
loch,lake
nóiméad,moment
scála,scale
glórach,loud
earrach,spring
breathnú ar,observe
leanbh,child
díreach,straight
consan,consonant
náisiún,nation
foclóir,dictionary
bainne,milk
luas,speed
modh,method
orgán,organ
íoc,pay
aois,age
alt,section
gúna,dress
scamall,cloud
iontas,surprise
ciúin,quiet
cloch,stone
beag bídeach,tiny
tóg,climb
fionnuar,cool
dearadh,design
droch-,poor
leor,lot
turgnamh,experiment
bun,bottom
eochair,key
iarann,iron
singil,single
bata,stick
árasán,flat
fiche,twenty
craiceann,skin
aoibh gháire,smile
crease,crease
poll,hole
léim,jump
leanbh,baby
ocht,eight
sráidbhaile,village
le chéile,meet
fréimhe,root
cheannach,buy
ardú,raise
réiteach,solve
miotail,metal
cé acu,whether
bhrú,push
seacht,seven
mír,paragraph
tríú,third
déanfaidh,shall
seilbh,held
gruaig,hair
cur síos a dhéanamh,describe
cócaireacht,cook
urlár,floor
ceachtar,either
toradh,result
sruthán,burn
cnoc,hill
sábháilte,safe
cat,cat
haois,century
a mheas,consider
cineál,type
dlí,law
giotán,bit
chósta,coast
cóip,copy
frása,phrase
adh,silent
ard,tall
gaineamh,sand
ithir,soil
rolla,roll
teocht,temperature
mhéar,finger
tionscal,industry
luach,value
troid i,fight
bréag,lie
buille,beat
spreagfaidh,excite
nádúrtha,natural
dearcadh,view
ciall,sense
caipitil,capital
Ní bheidh,won’t
cathaoir,chair
contúirt,danger
torthaí,fruit
saibhir,rich
tiubh,thick
saighdiúir,soldier
próiseas,process
oibriú,operate
cleachtas,practice
ar leithligh,separate
deacair,difficult
dochtúir,doctor
le do thoil,please
chosaint,protect
meán lae,noon
barr,crop
nua-aimseartha,modern
eilimint,element
hit,hit
mac léinn,student
cúinne,corner
páirtí,party
soláthar,supply
a bhfuil a,whose
aimsiú,locate
fáinne,ring
charachtar,character
feithidí,insect
ghabh,caught
tréimhse,period
Léiríonn,indicate
raidió,radio
labhair,spoke
adamh,atom
daonna,human
stair,history
éifeacht,effect
leictreacha,electric
ag súil leis,expect
cnámh,bone
iarnróid,rail
shamhlú,imagine
a chur ar fáil,provide
aontaíonn,agree
dá bhrí sin,thus
mhín,gentle
bean,woman
captaen,captain
buille faoi thuairim,guess
gá,necessary
géar,sharp
sciathán,wing
chruthú,create
comharsa,neighbor
nigh,wash
bat,bat
in áit,rather
slua,crowd
arbhar,corn
a chur i gcomparáid,compare
dán,poem
teaghrán,string
clog,bell
ag brath,depend
feoil,meat
rub,rub
feadán,tube
cáiliúil,famous
cheadú,dollar
sruth,stream
eagla,fear
radharc,sight
tanaí,thin
triantáin,triangle
pláinéad,planet
Hurry,hurry
príomhfheidhmeannach,chief
coilíneacht,colony
clog,clock
mianach,mine
comhionannas vótaí,tie
isteach,enter
mór-,major
úr,fresh
cuardach,search
sheoladh,send
buí,yellow
gunna,gun
ar chumas,allow
cló,print
marbh,dead
láthair,spot
fásach,desert
oireann,suit
atá ann faoi láthair,current
ardaitheoir,lift
ardaigh,rose
teacht,arrive
máistir,master
rian,track
tuismitheoir,parent
gcósta,shore
roinn,division
bileog,sheet
substaint,substance
bhfabhar,favor
ceangal,connect
post,post
chaitheamh,spend
corda,chord
saill,fat
sásta,glad
bunaidh,original
scair,share
stáisiún,station
daidí,dad
arán,bread
muirear,charge
ceart,proper
barra,bar
tairiscint,offer
deighleog,segment
daor,slave
lacha,duck
toirt,instant
margadh,market
céim,degree
populate,populate
chick,chick
daor,dear
namhaid,enemy
freagra,reply
deoch,drink
tharlaíonn,occur
tacaíocht,support
urlabhra,speech
nádúr,nature
raon,range
gaile,steam
tairiscint,motion
cosán,path
leacht,liquid
logáil isteach,log
i gceist,meant
chomhrann,quotient
fiacla,teeth
bhlaosc,shell
muineál,neck
ocsaigin,oxygen
siúcra,sugar
bás,death
deas,pretty
scil,skill
mná,women
séasúr,season
réiteach,solution
maighnéad,magnet
airgid,silver
go raibh maith,thank
brainse,branch
cluiche,match
iarmhír,suffix
go háirithe,especially
fige,fig
eagla,afraid
ollmhór,huge
deirfiúr,sister
cruach,steel
plé a dhéanamh ar,discuss
ar aghaidh,forward
den chineál céanna,similar
treoir,guide
taithí,experience
scór,score
úll,apple
cheannaigh,bought
faoi stiúir,led
tuinairde,pitch
cóta,coat
mais,mass
cárta,card
banna,band
téad,rope
duillín,slip
bhuachan,win
aisling,dream
tráthnóna,evening
coinníoll,condition
beatha,feed
uirlis,tool
iomlán,total
bunúsach,basic
boladh,smell
gleann,valley
ná,nor
dúbailte,double
suíochán,seat
leanúint ar aghaidh,continue
bloc,block
chairt,chart
hata,hat
dhíol,sell
rath,success
cuideachta,company
dealaigh,subtract
imeacht,event
ar leith,particular
déileáil,deal
snámh,swim
téarma,term
os coinne,opposite
bean chéile,wife
bróg,shoe
ghualainn,shoulder
leathadh,spread
socrú a,arrange
campa,camp
chumadh,invent
cadás,cotton
Rugadh,born
chinneadh,determine
leanna,quart
naoi,nine
trucail,truck
torann,noise
leibhéal,level
seans,chance
bhailiú,gather
siopa,shop
stráice,stretch
caith,throw
Shine,shine
maoin,property
colún,column
móilín,molecule
roghnaigh,select
mícheart,wrong
liath,gray
athuair,repeat
a cheangal ar,require
leathan,broad
ullmhú,prepare
salann,salt
srón,nose
iolra,plural
fearg,anger
éileamh,claim
mór-roinn,continent
