म्हणून,as
आग,fire
दक्षिण,south
समस्या,problem
तुकडा,piece
सांगितले,told
माहीत,knew
पास,pass
पासून,since
टॉप,top
संपूर्ण,whole
राजा,king
रस्त्यावर,street
इंच,inch
गुणाकार,multiply
काहीही,nothing
अर्थात,course
रहा,stay
चाक,wheel
पूर्ण,full
शक्ती,force
निळा,blue
ऑब्जेक्ट,object
निर्णय,decide
पृष्ठभाग,surface
खोल,deep
चंद्र,moon
बेट,island
पाऊल,foot
प्रणाली,system
व्यस्त,busy
चाचणी,test
रेकॉर्ड,record
बोट,boat
सामान्य,common
सोने,gold
शक्य,possible
विमान,plane
जागा,stead
कोरडा,dry
आश्चर्य,wonder
हसणे,laugh
हजार,thousand
पूर्वी,ago
संपली,ran
तपासा,check
खेळ,game
आकार,shape
बरोबर आहे असे दाखवणे,equate
गरम,hot
न सापडणे,miss
आणले,brought
उष्णता,heat
बर्फ,snow
टायर,tire
आणणे,bring
होय,yes
|distant,|,distant
भरा,fill
पूर्वेला,east
रंगविण्यासाठी,paint
भाषा,language
दरम्यान,among
एकक,unit
शक्ती,power
शहर,town
सुरेख,fine
काही,certain
उडता,fly
पडणे,fall
आघाडी,lead
मोठा विरोध,cry
गडद,dark
मशीन,machine
टीप,note
प्रतीक्षा,wait
योजना,plan
आकृती,figure
स्टार,star
बॉक्स,box
नाम,noun
फील्ड,field
विश्रांती,rest
योग्य,correct
सक्षम,able
पाउंड,pound
काम झाले,done
सौंदर्य,beauty
ड्राइव्ह,drive
उभा राहिला,stood
असतात,contain
समोर,front
शिकवले,teach
आठवडा,week
अंतिम,final
दिली,gave
हिरव्या,green
बापरे,oh
जलद,quick
विकसित,develop
महासागर,ocean
उबदार,warm
मोफत,free
मिनिट,minute
मजबूत,strong
विशेष,special
मन,mind
मागे,behind
स्पष्ट,clear
शेपूट,tail
उत्पादन,produce
खरं,fact
जागा,space
ऐकले,heard
सर्वोत्तम,best
तास,hour
चांगले,better
खरे,true
दरम्यान,during
शंभर,hundred
पाच,five
लक्षात ठेवा,remember
पाऊल,step
लवकर,early
धारण,hold
पश्चिमेकडे,west
ग्राउंड,ground
व्याज,interest
पोहोचण्याचा,reach
जलद,fast
क्रियापद,verb
गाणे,sing
ऐका,listen
सहा,six
टेबल,table
प्रवास,travel
कमी,less
सकाळी,morning
दहा,ten
साधी,simple
अनेक,several
चालणार,vowel
दिशेने,toward
युद्ध,war
पोवाडा,lay
विरुद्ध,against
नमुना,pattern
मंद,slow
केंद्र,center
प्रेम,love
व्यक्ती,person
पैसा,money
सर्व्ह,serve
दिसतात,appear
रस्ता,road
नकाशा,map
पाऊस,rain
नियम,rule
राज्य,govern
खेचणे,pull
थंड,cold
सूचना,notice
आवाज,voice
ऊर्जा,energy
शोधाशोध,hunt
शक्य,probable
बेड,bed
भाऊ,brother
अंडी,egg
त्यातील,ride
सेल,cell
विश्वास,believe
कदाचित,perhaps
निवडा,pick
अचानक,sudden
मोजणे,count
चौरस,square
कारण,reason
लांबी,length
प्रतिनिधित्व,represent
कला,art
विषय,subject
प्रदेश,region
आकार,size
बदलू,vary
पुर्तता,settle
बोलता,speak
वजन,weight
सामान्य,general
बर्फ,ice
बाब,matter
मंडळ,circle
जोडी,pair
समावेश,include
विभागणे,divide
अक्षर,syllable
वाटले,felt
ग्रँड,grand
बॉल,ball
अद्याप,yet
लहर,wave
ड्रॉप,drop
हृदय,heart
आहे,am
उपस्थित,present
जोरदार,heavy
नृत्य,dance
इंजिन,engine
स्थान,position
हाताने,arm
रुंद,wide
शीड,sail
साहित्य,material
अपूर्णांक,fraction
वन,forest
बसणे,sit
शर्यत,race
विंडो,window
स्टोअर,store
उन्हाळ्यात,summer
रेल्वे,train
झोप,sleep
सिद्ध,prove
एकमेव,lone
पाय,leg
व्यायाम,exercise
भिंत,wall
पकडणे,catch
माउंट,mount
इच्छा,wish
आकाश,sky
बोर्ड,board
आनंद,joy
हिवाळा,winter
शनि,sat
लेखी,written
वन्य,wild
इन्स्ट्रुमेंट,instrument
ठेवली,kept
काच,glass
गवत,grass
गाय,cow
नोकरी,job
धार,edge
साइन,sign
भेट,visit
गेल्या,past
मऊ,soft
मजा,fun
तेजस्वी,bright
गॅस,gas
हवामान,weather
महिना,month
दशलक्ष,million
सहन,bear
समाप्त,finish
आनंदी,happy
आशा आहे,hope
फ्लॉवर,flower
कपडे चढवणे,clothe
विचित्र,strange
गेला,gone
व्यापार,trade
गोडवा,melody
ट्रिप,trip
कार्यालय,office
प्राप्त,receive
पंक्ती,row
तोंड,mouth
अचूक,exact
प्रतीक,symbol
मरतात,die
किमान,least
समस्या,trouble
ओरडणे,shout
वगळता,except
लिहिले,wrote
बी,seed
टोन,tone
सामील,join
सूचित,suggest
स्वच्छ,clean
खंड,break
महिला,lady
आवारातील,yard
वर जाणे,rise
वाईट,bad
फोडून टाकणे,blow
तेल,oil
रक्त,blood
स्पर्श,touch
वाढला,grew
टक्के,cent
मिक्स,mix
संघ,team
वायर,wire
खर्च,cost
गमावले,lost
तपकिरी,brown
बोलता,wear
बाग,garden
समान,equal
पाठविले,sent
निवडा,choose
पडले,fell
फिट,fit
प्रवाह,flow
गोरा,fair
बँक,bank
गोळा,collect
जतन,save
नियंत्रण,control
दशांश,decimal
कान,ear
आणखी,else
जोरदार,quite
तोडले,broke
केस,case
मध्यम,middle
मारणे,kill
मुलगा,son
लेक,lake
क्षण,moment
स्केल,scale
मोठा आवाज,loud
स्प्रिंग,spring
देखणे,observe
मुलाला,child
सरळ,straight
जुळता,consonant
राष्ट्र,nation
शब्दकोश,dictionary
दूध,milk
गती,speed
पद्धत,method
शरीराचा अवयव,organ
पे,pay
वय,age
विभाग,section
ड्रेस,dress
मेघ,cloud
आश्चर्य,surprise
शांत,quiet
दगड,stone
लहान,tiny
चढाव,climb
थंड,cool
डिझाइन,design
गरीब,poor
भरपूर,lot
प्रयोग,experiment
तळ,bottom
कळ,key
लोखंड,iron
एकच,single
स्टिक,stick
फ्लॅट,flat
वीस,twenty
त्वचा,skin
स्मित,smile
घडी,crease
भोक,hole
उडी,jump
बाळ,baby
आठ,eight
गावात,village
बैठक,meet
मूळ,root
खरेदी,buy
बढती,raise
सोडविण्यास,solve
धातू,metal
की नाही,whether
पुश,push
सात,seven
परिच्छेद,paragraph
तिसरा,third
|करील,|,shall
या,held
केस,hair
वर्णन,describe
कूक,cook
मजला,floor
एकतर,either
परिणाम,result
जाळणे,burn
हिल,hill
सुरक्षित,safe
मांजर,cat
शतक,century
विचार,consider
प्रकार,type
कायदा,law
बिट,bit
किनारपट्टी,coast
कॉपी,copy
वाक्यांश,phrase
मूक,silent
उंच,tall
वाळू,sand
माती,soil
रोल,roll
तापमान,temperature
हाताचे बोट,finger
उद्योग,industry
मूल्य,value
लढा,fight
खोटे बोलणे,lie
विजय,beat
जागृत,excite
नैसर्गिक,natural
दृश्य,view
अर्थ,sense
भांडवल,capital
येणार नाही,won’t
चेअर,chair
धोक्याची,danger
फळ,fruit
श्रीमंत,rich
जाड,thick
सैन्यातील शिपाई,soldier
प्रक्रिया,process
ऑपरेट,operate
सराव,practice
स्वतंत्र,separate
कठीण,difficult
डॉक्टर,doctor
कृपया,please
संरक्षण,protect
दुपारी,noon
पीक,crop
आधुनिक,modern
घटक,element
दाबा,hit
विद्यार्थी,student
कोपरा,corner
पक्ष,party
पुरवठा,supply
ज्यांचे,whose
शोधून काढणे,locate
अंगठी,ring
वर्ण,character
किटक,insect
पकडले,caught
कालावधी,period
सूचित,indicate
रेडिओ,radio
बोलले,spoke
अणू,atom
मानवी,human
इतिहास,history
परिणाम,effect
विद्युत,electric
अपेक्षा,expect
हाड,bone
रेल्वे,rail
कल्पना,imagine
प्रदान,provide
सहमत,agree
अशा प्रकारे,thus
सभ्य,gentle
स्त्री,woman
कर्णधार,captain
अंदाज,guess
आवश्यक,necessary
तीक्ष्ण,sharp
विंग,wing
तयार,create
शेजारी,neighbor
वॉश,wash
फलंदाजी,bat
ऐवजी,rather
जमाव,crowd
कॉर्न,corn
तुलना,compare
कविता,poem
स्ट्रिंग,string
घंटा,bell
अवलंबून आहे,depend
मांस,meat
घासणे,rub
नलिका,tube
प्रसिद्ध,famous
डॉलर,dollar
प्रवाह,stream
भीती,fear
दृष्टी,sight
पातळ,thin
त्रिकोण,triangle
ग्रह,planet
धांदल,hurry
मुख्य,chief
वसाहत,colony
घड्याळ,clock
खाण,mine
टाय,tie
प्रविष्ट,enter
मुख्य,major
ताज्या,fresh
शोध,search
पाठवा,send
पिवळा,yellow
तोफा,gun
परवानगी,allow
मुद्रण,print
मृत,dead
स्पॉट,spot
वाळवंट,desert
खटला,suit
चालू,current
वर उचलणे,lift
गुलाब,rose
पोहोचेल,arrive
मास्टर,master
ट्रॅक,track
पालक,parent
किनारा,shore
विभागणी,division
पत्रक,sheet
पदार्थ,substance
मर्जी,favor
कनेक्ट,connect
पोस्ट,post
खर्च,spend
जीवा,chord
चरबी,fat
आनंद,glad
मूळ,original
शेअर,share
स्टेशन,station
बाबा,dad
ब्रेड,bread
शुल्क आकारू,charge
योग्य,proper
बार,bar
ऑफर,offer
वर्तुळखंड,segment
गुलाम,slave
परतले,duck
झटपट,instant
बाजार,market
पदवी,degree
वसाहत,populate
चिक,chick
प्रिय,dear
शत्रू,enemy
प्रत्युत्तर,reply
पेय,drink
उद्भवू,occur
समर्थन,support
भाषण,speech
निसर्ग,nature
श्रेणी,range
वाफ,steam
गती,motion
मार्ग,path
द्रव,liquid
लॉग इन,log
करायचं,meant
भागाकार,quotient
दात,teeth
शेल,shell
मान,neck
ऑक्सिजन,oxygen
साखर,sugar
मृत्यू,death
खूपच,pretty
कौशल्य,skill
महिला,women
हंगाम,season
उपाय,solution
लोहचुंबक,magnet
चांदी,silver
आभार,thank
शाखा,branch
सामना,match
प्रत्यय,suffix
विशेषत:,especially
अंजीर,fig
भयभीत,afraid
प्रचंड,huge
बहीण,sister
स्टील,steel
चर्चा,discuss
पुढे,forward
तत्सम,similar
मार्गदर्शन,guide
अनुभव,experience
धावसंख्या,score
सफरचंद,apple
खरेदी,bought
नेतृत्व,led
खेळपट्टीवर,pitch
डगला,coat
वस्तुमान,mass
कार्ड,card
बँड,band
दोरी,rope
स्लिप,slip
विजय,win
स्वप्न,dream
संध्याकाळ,evening
अट,condition
फीड,feed
साधन,tool
एकूण,total
मूलभूत,basic
वास,smell
दरी,valley
किंवा,nor
दुहेरी,double
आसन,seat
पुढे चालू,continue
ब्लॉक,block
चार्ट,chart
हॅट,hat
विक्री,sell
यश,success
कंपनी,company
वजाबाकी,subtract
कार्यक्रम,event
विशिष्ट,particular
करार,deal
पोहणे,swim
मुदत,term
उलट,opposite
पत्नी,wife
जोडा,shoe
खांदा,shoulder
प्रसार,spread
व्यवस्था,arrange
छावणी,camp
नवीन शोध लावणे,invent
कापूस,cotton
जन्मत:,born
निर्धारित,determine
quart,quart
नऊ,nine
ट्रक,truck
आवाज,noise
पातळी,level
संधी,chance
गोळा,gather
दुकान,shop
ताणून,stretch
फेकणे,throw
प्रकाशणे,shine
मालमत्ता,property
स्तंभ,column
परमाणू,molecule
निवडा,select
चूक,wrong
राखाडी,gray
पुनरावृत्ती,repeat
आवश्यक,require
ब्रॉड,broad
तयार,prepare
मीठ,salt
नाक,nose
अनेकवचन,plural
राग,anger
हक्क,claim
खंड,continent
