njengoba,as
eningizimu,south
Inkinga,problem
ucezu,piece
utshele,told
wayazi,knew
Kudlula,pass
kusukela,since
phezulu,top
wonke,whole
inkosi,king
isitaladi,street
ngamasentimitha,inch
phindaphinda,multiply
lutho,nothing
inkambo,course
uhlale,stay
sondo,wheel
egcwele,full
isicindezelo,force
eluhlaza,blue
intfo,object
unqume,decide
ngaphandle,surface
ezijulile,deep
inyanga,moon
esiqhingini,island
ngezinyawo,foot
uhlelo,system
umatasa,busy
ukulinga,test
amarekhodi,record
Isikebhe,boat
ezivamile,common
igolide,gold
kunokwenzeka,possible
indiza,plane
esikhundleni,stead
eyomile,dry
bayazibuza,wonder
uhleko,laugh
abayizinkulungwane,thousand
edlule,ago
wagijimela,ran
hlola,check
mdlalo,game
uhlobo,shape
bathi,equate
ashisayo,hot
miss,miss
baletha,brought
ukushisa,heat
iqhwa,snow
isondo,tire
ukuletha,bring
Yebo,yes
ezikude,distant
ukugcwalisa,fill
empumalanga,east
ukupenda,paint
lulwimi,language
phakathi,among
unit,unit
Amandla,power
town,town
emihle,fine
ezithile,certain
ijeka manzi,fly
awe,fall
kuholele,lead
khala,cry
amnyama,dark
umshini,machine
inothi,note
ulinde,wait
hlela,plan
ukulinganisa,figure
ikhwezi,star
ibhokisi,box
ibizo,noun
ifusi,field
ukuphumula,rest
lobenele,correct
ekwazi,able
Ipondo,pound
wenziwe,done
ubuhle,beauty
qhuba,drive
wema,stood
aqukethe,contain
phambili,front
sifundise,teach
ngesonto,week
sokugcina,final
wanikela,gave
oluhlaza,green
Awu,oh
okusheshayo,quick
ukuthuthukisa,develop
ulwandle olukhulu,ocean
afudumele,warm
khulula,free
ngeminithi,minute
oqinile,strong
ekhethekile,special
kwengqondo,mind
ngemuva,behind
ecacile,clear
umsila,tail
khiqiza,produce
Empeleni,fact
isikhala,space
wezwa,heard
umhlabeleli,best
ngehora,hour
kangcono,better
kuyiqiniso,true
ngesikhatsi,during
angamakhulu,hundred
ezinhlanu,five
ukhumbule,remember
Isinyathelo,step
zakuqala,early
ubambe,hold
ngasentshonalanga,west
emhlabathini,ground
Isithakazelo,interest
afinyelele,reach
bambelela,fast
sento,verb
sihlabelele,sing
ulalele,listen
eziyisithupha,six
ithebula,table
hamba amazwe,travel
esingaphansi,less
Ekuseni,morning
eziyishumi,ten
elula,simple
eziningana,several
unkamisa,vowel
bubheke,toward
ukulwa,war
walala,lay
ngokumelene,against
iphethini,pattern
wephuza,slow
isikhungo,center
athande,love
Umuntu,person
imali,money
ukukhonza,serve
avele,appear
umgwaqo,road
ibalazwe,map
nemvula,rain
ukubusa,rule
phatha,govern
donsa,pull
ezibandayo,cold
Isaziso,notice
ngezwi,voice
amandla,energy
ukuhlasela,hunt
kungenzeka,probable
embhedeni,bed
umfowabo,brother
iqanda,egg
gibela,ride
iseli,cell
bakholwe,believe
mhlawumbe,perhaps
vuna,pick
engazelelwe,sudden
ukubala,count
igceke,square
Isizathu,reason
Ubude,length
bamele,represent
yobuciko,art
isihloko,subject
isifunda,region
Usayizi,size
ziyehluka,vary
hlela,settle
ukhulume,speak
isisindo,weight
jikelele,general
iqhwa,ice
udaba,matter
jikeleza,circle
okubili,pair
zihlanganisa,include
ahlukanisa,divide
uhlamvu,syllable
wazizwa,felt
omkhulu,grand
ngebhola,ball
nokho,yet
qhweba,wave
yokwehlisela,drop
Inhliziyo,heart
ngiyindlela,am
okwamanje,present
esindayo,heavy
dance,dance
injini,engine
isikhundla,position
ingalo,arm
ububanzi,wide
useyili,sail
material,material
ingxenyenamba,fraction
ihlathi,forest
ahlale,sit
uhlanga,race
iwindi,window
esitolo,store
ehlobo,summer
isitimela,train
sokulala,sleep
afakazele,prove
oyedwa waba,lone
emlenzeni,leg
umsebenzi,exercise
Udonga,wall
bamba,catch
khweza,mount
ufisa,wish
isibhakabhaka,sky
ebhodini,board
injabulo,joy
ubusika,winter
Wahlala,sat
ebhaliwe,written
sasendle,wild
instrument,instrument
igcinwe,kept
ingilazi,glass
utshani,grass
eyensikazi,cow
Umsebenzi,job
emaphethelweni,edge
isibonakaliso,sign
ukuvakasha,visit
esidlule,past
esithambile,soft
kumnandi,fun
egqamile,bright
negesi,gas
sezulu,weather
ngenyanga,month
isigidi,million
athwale,bear
sekugcineni,finish
ojabulayo,happy
Ngethemba,hope
mbali,flower
wembathise,clothe
ongaziwa,strange
esehambile,gone
ezohwebo,trade
Ihubo,melody
uhambo,trip
Ihhovisi,office
thola,receive
irowu,row
Umlomo,mouth
oluqondile,exact
uphawu,symbol
fa,die
okungenani,least
enkingeni,trouble
memeza,shout
kuphela,except
wabhala,wrote
inzalo,seed
umbala,tone
ukujoyina,join
basikisela,suggest
zihlanzekile,clean
ukwephuka,break
inenekazi,lady
egcekeni,yard
sukuma,rise
okubi,bad
igalelo,blow
uwoyela,oil
negazi,blood
uthinte,touch
lakhula,grew
angu,cent
xuba,mix
ithimba,team
ucingo,wire
Izindleko,cost
walahlekelwa,lost
onsundu,brown
bagqoke,wear
yensimu,garden
alinganayo,equal
wathumela,sent
akhethe,choose
bawa,fell
linganisa,fit
kopoza,flow
ukujabulisa,fair
ebhange,bank
ukuqoqa,collect
ukusindisa,save
amandla okuphatha,control
zamadesimali,decimal
indlebe,ear
futhi,else
ngempela,quite
waphula,broke
Icala,case
maphakathi,middle
babulale,kill
indodana,son
ichweba,lake
mzuzu,moment
isikali,scale
elikhulu,loud
entwasahlobo,spring
bona,observe
Ingane,child
iqonde,straight
lehamba,consonant
Isizwe,nation
isichazamazwi,dictionary
ubisi,milk
isivinini,speed
indlela,method
sitho,organ
ukhokhe,pay
yobudala,age
ingxenye,section
ingubo,dress
ifu,cloud
Ngamangala,surprise
onokuthula,quiet
tshe,stone
omncanyana,tiny
enyuka,climb
abandayo,cool
songoza,design
abampofu,poor
uquqaba,lot
lokulinga,experiment
ngezansi,bottom
isikhiye,key
nensimbi,iron
ongashadile,single
uthi,stick
ifulathi,flat
amabili,twenty
isikhumba,skin
emomotheka,smile
dile,crease
emgodini,hole
eqa,jump
umntwana,baby
eziyisishiyagalombili,eight
emzaneni,village
hlangana,meet
impande,root
thenga,buy
iphakamisa,raise
ukuxazulula,solve
sensimbi,metal
noma,whether
phusha,push
eziyisikhombisa,seven
indzima,paragraph
okwesithathu,third
kufanele,shall
owawuzoba,held
izinwele,hair
uchaze,describe
umpheki,cook
phansi,floor
noma,either
japan,result
bashise,burn
igquma,hill
ephephile,safe
likati,cat
leminyaka,century
cabangela,consider
Uhlobo,type
umthetho,law
ihhashi,bit
ugu,coast
Ikhophi,copy
isisho,phrase
buthule,silent
abade,tall
isihlabathi,sand
Inhlabathi,soil
qoqa,roll
lokushisa,temperature
ngomunwe,finger
Imboni,industry
azisa,value
impi,fight
manga,lie
bhula,beat
ethusa,excite
natural,natural
buka,view
ngomqondo,sense
komkhulu,capital
ngeke,won’t
isitulo,chair
ingozi,danger
izithelo,fruit
ocebile,rich
aminyene,thick
sosha,soldier
inqubo,process
sebenzisa,operate
Umkhuba,practice
ahlukene,separate
nzima,difficult
Udokotela,doctor
sicela,please
ukuvikela,protect
emini,noon
isitshalo,crop
yesimanje,modern
isici,element
shaya,hit
ofundayo,student
ekhoneni,corner
inhlangano,party
phakela,supply
ogama,whose
thola,locate
nkeneza,ring
uhlamvu,character
kwezinambuzane,insect
babanjwa,caught
isikhathi,period
khombisa,indicate
umsakazo,radio
wakhuluma,spoke
athomu,atom
womuntu,human
Umlando,history
umphumela,effect
electric,electric
bheka,expect
amathambo,bone
ujantshi,rail
imagine,imagine
ukuhlinzeka,provide
uvume,agree
Kanjalo,thus
mnene,gentle
owesifazane,woman
ukaputeni,captain
ukuqagela,guess
kunesidingo,necessary
ebukhali,sharp
iphiko,wing
ukudala,create
umakhelwane,neighbor
ukuhlamba,wash
nelulwane,bat
kunalokho,rather
Isixuku,crowd
ukolweni,corn
qhathanisa,compare
inkondlo,poem
intambo,string
insimbi,bell
bathembele,depend
Inyama,meat
deda,rub
umbhobho,tube
esidumile,famous
izindodla zemali,dollar
emfudlaneni,stream
kwesaba,fear
ukubuka,sight
mncane,thin
calantsatfu,triangle
iplanethi,planet
shesha,hurry
abakhulu,chief
koloni,colony
washi,clock
emayini,mine
ukulingana,tie
faka,enter
ezinkulu,major
opholile,fresh
cinga,search
thumela,send
ophuzi,yellow
isibhamu,gun
uvumele,allow
ukubhala,print
efile,dead
indawo,spot
hlamuka,desert
izembatho,suit
yamanje,current
baphakamisa,lift
wasukuma,rose
finyelela,arrive
induna,master
ithrekhi,track
umzali,parent
isisekelo,shore
ukuhlukana,division
ishidi,sheet
isiqa,substance
siza,favor
xhuma,connect
post,post
khipha,spend
kuzithinta,chord
inoni,fat
ithokoze,glad
sokuqala,original
ingxenye,share
esiteshini,station
ubaba,dad
isinkwa,bread
gcwalisa,charge
efanele,proper
ibha,bar
umnikelo,offer
ingxenye,segment
nceku,slave
idada,duck
osheshayo,instant
indali,market
ibanga,degree
populate,populate
iphuphu,chick
othandekayo,dear
isitha,enemy
phendula,reply
isiphuzo,drink
zenzeka,occur
ukwesekwa,support
Inkulumo,speech
isidalo,nature
uhla,range
umusi,steam
ukunyakaza,motion
indlela,path
uketshezi,liquid
ugongolo,log
wayesho,meant
sekwa,quotient
amazinyo,teeth
igobolondo le,shell
intamo,neck
oksijini,oxygen
ushukela,sugar
Ukufa,death
muhle,pretty
ikhono,skill
abesifazane,women
isizini,season
isixazululo,solution
uzibuthe,magnet
zesiliva,silver
ngiyabonga,thank
Igatsha,branch
nomdlalo,match
Isijobelelo,suffix
ikakhulukazi,especially
komkhiwane,fig
ngesaba,afraid
omkhulu,huge
udadewabo,sister
zensimbi,steel
uxoxe,discuss
phambili,forward
efanayo,similar
umholi,guide
isipiliyoni,experience
isikolo,score
apula,apple
uthenge,bought
wahola,led
iphimbo,pitch
isikhumba,coat
isonto,mass
ikhadi,card
ibhande,band
ngentambo,rope
ukushelela,slip
ukuphumelela,win
baphuphe,dream
ukuhlwa,evening
isimo,condition
funga,feed
Ithuluzi,tool
inani,total
eziyisisekelo,basic
iphunga,smell
isigodi,valley
noma,nor
kabili,double
esihlalweni,seat
uqhubeke,continue
isixa,block
ishadi,chart
imbenge,hat
adayise,sell
Impumelelo,success
yenkampani,company
khipha,subtract
umcimbi,event
ethile,particular
intengo,deal
bhukuda,swim
ithemu,term
obuhlukile,opposite
umkakho,wife
izicathulo,shoe
ehlombe,shoulder
ukusabalala,spread
ukuhlela,arrange
ikamu,camp
usungula,invent
ukotini,cotton
Uzalelwa,born
linqume,determine
ayilitha,quart
eyisishiyagalolunye,nine
iloli,truck
ngomsindo,noise
Izinga,level
chance,chance
hlangana,gather
esitolo,shop
elula,stretch
aphonse,throw
inkazimulo,shine
impahla,property
ikholomu,column
ingqamuzana,molecule
ukhethe,select
okungalungile,wrong
ezimpunga,gray
uphinda,repeat
adinga,require
ebanzi,broad
ukulungiselela,prepare
usawoti,salt
impumulo,nose
ubuningi,plural
intukuthelo,anger
Faka isicelo,claim
izwekazi,continent
