როგორც,as
ფართი,space
ისმის,heard
საუკეთესო,best
საათი,hour
უკეთესი,better
დიახ,true
დროს,during
ასი,hundred
ხუთ,five
მახსოვს,remember
ნაბიჯი,step
დასაწყისში,early
გამართავს,hold
დასავლეთ,west
ადგილზე,ground
ინტერესი,interest
მიღწევა,reach
სწრაფი,fast
ზმნის,verb
მღერიან,sing
მოუსმინოს,listen
ექვს,six
მაგიდა,table
მოგზაურობა,travel
|ნაკლებია,|,less
დილით,morning
ათი,ten
მარტივი,simple
რამდენიმე,several
ხმოვანთა,vowel
მიმართ,toward
ომი,war
ქმნის,lay
წინააღმდეგ,against
ნიმუში,pattern
ნელი,slow
ცენტრი,center
მიყვარს,love
პირი,person
ფული,money
ემსახურება,serve
|როგორც ჩანს,|,appear
გზის,road
რუკა,map
წვიმა,rain
წესი,rule
არეგულირებს,govern
გაიყვანოს,pull
ცივი,cold
ცნობა,notice
ხმა,voice
ენერგიის,energy
hunt,hunt
|სავარაუდოა,|,probable
საწოლის,bed
ძმა,brother
კვერცხი,egg
ride,ride
საკანში,cell
|მჯერა,|,believe
|ალბათ,|,perhaps
აირჩიოთ,pick
მოულოდნელი,sudden
იმედი,count
კვ,square
მიზეზი,reason
ხანგრძლივობა,length
წარმოადგენს,represent
არტ,art
სათაური,subject
რეგიონში,region
ზომა,size
იცვლება,vary
დასახლდნენ,settle
საუბარი,speak
წონა,weight
ზოგადი,general
ყინულზე,ice
|მიუხედავად იმისა,|,matter
წრე,circle
წყვილი,pair
მოიცავს,include
გათიშე,divide
syllable,syllable
ვიგრძენი,felt
გრანდიოზული,grand
ბურთი,ball
ამჟამად,yet
ტალღა,wave
ვარდნა,drop
გულის,heart
საათიდან,am
წინამდებარე,present
მძიმე,heavy
ცეკვა,dance
ძრავა,engine
პოზიცია,position
ხელის,arm
ფართო,wide
მოტორიანი,sail
მასალა,material
ფრაქცია,fraction
ტყის,forest
იჯდეს,sit
რასის,race
ფანჯარა,window
მაღაზია,store
ზაფხულში,summer
მატარებელი,train
ძილის,sleep
დაამტკიცოს,prove
მარტოხელა,lone
ფეხი,leg
სწავლება,exercise
კედლის,wall
დაჭერა,catch
მთა,mount
სურვილი,wish
ცის,sky
ფორუმში,board
სიხარული,joy
ზამთრის,winter
იჯდა,sat
წერილობითი,written
ველური,wild
ინსტრუმენტი,instrument
ინახება,kept
მინა,glass
ბალახის,grass
ძროხის,cow
სამუშაო,job
ზღვარზე,edge
ნიშანი,sign
შესვლა,visit
ბოლო,past
რბილი,soft
გართობა,fun
ნათელი,bright
გაზის,gas
ამინდი,weather
თვის,month
მილიონი,million
დათვი,bear
ფერი,finish
ბედნიერი,happy
|იმედი მაქვს,|,hope
ყვავილი,flower
შეკერილ,clothe
უცნაური,strange
წასული,gone
სავაჭრო,trade
მელოდიას,melody
მოგზაურობა,trip
ოფისი,office
მიიღეთ,receive
რიგის,row
პირში,mouth
ზუსტი,exact
სიმბოლო,symbol
იღუპება,die
მინიმუმ,least
პრობლემები,trouble
შეძახილი,shout
გარდა,except
წერდა,wrote
თესლი,seed
ტონი,tone
შეუერთდება,join
|ვარაუდობენ,|,suggest
სუფთა,clean
შესვენების,break
ქალბატონს,lady
ეზოში,yard
მოიმატებს,rise
ცუდი,bad
დარტყმა,blow
ზეთი,oil
სისხლის,blood
შეეხოთ,touch
გაიზარდა,grew
შეადგინა,cent
აურიეთ,mix
გუნდი,team
მავთულის,wire
ღირებულება,cost
დაკარგა,lost
ყავისფერი,brown
აცვიათ,wear
ბაღში,garden
თანაბარი,equal
გაიგზავნა,sent
აირჩიეთ,choose
დაეცა,fell
ჯდება,fit
შემოვა,flow
სამართლიანი,fair
ბანკი,bank
შეაგროვოს,collect
გადარჩენა,save
კონტროლის,control
ათობითი,decimal
ყურის,ear
სხვა,else
საკმაოდ,quite
მა,broke
საქმე,case
შუა,middle
მოკვლა,kill
შვილი,son
ტბა,lake
მომენტი,moment
მასშტაბის,scale
ხმამაღალი,loud
გაზაფხულზე,spring
დაიცვან,observe
ბავშვი,child
სწორი,straight
კონსონანტური,consonant
ერის,nation
ლექსიკონი,dictionary
რძე,milk
სიჩქარე,speed
მეთოდი,method
ორგანოს,organ
გადახდა,pay
ასაკი,age
განყოფილების,section
კაბა,dress
ღრუბელი,cloud
სიურპრიზი,surprise
მშვიდი,quiet
ქვის,stone
პატარა,tiny
ასვლა,climb
ზემოთ,cool
დიზაინი,design
ცუდი,poor
ბევრი,lot
ექსპერიმენტი,experiment
ბოლოში,bottom
მთავარი,key
რკინის,iron
ერთი,single
ჯოხი,stick
ბინა,flat
ოცი,twenty
კანის,skin
ღიმილი,smile
ცხიმ,crease
ხვრელი,hole
გადასვლა,jump
ბავშვი,baby
რვა,eight
სოფელ,village
შეხვდება,meet
ძირეული,root
ყიდვა,buy
ამაღლება,raise
გადაჭრით,solve
რკინის,metal
არა,whether
დააყენებს,push
შვიდი,seven
პირველი პუნქტის,paragraph
მესამე,third
უნდა,shall
წირვა,held
თმის,hair
აღწერს,describe
მზარეული,cook
სართული,floor
ან,either
შედეგი,result
დამწვრობა,burn
გორაკზე,hill
უსაფრთხო,safe
ცატ,cat
საუკუნის,century
განიხილოს,consider
ტიპი,type
კანონი,law
ბიტიანი,bit
სანაპიროზე,coast
ასლი,copy
ფრაზა,phrase
ჩუმად,silent
მაღალი,tall
ქვიშის,sand
ნიადაგის,soil
გააფართოვოს,roll
ტემპერატურა,temperature
თითი,finger
მრეწველობა,industry
არც,value
ბრძოლა,fight
ტყუილი,lie
სცემეს,beat
აღუძრავენ,excite
ბუნებრივი,natural
კალენდარი,view
აზრი,sense
კაპიტალი,capital
არ,won’t
თავმჯდომარე,chair
საფრთხე,danger
ხილი,fruit
მდიდარი,rich
სქელი,thick
ჯარისკაცი,soldier
პროცესი,process
მოქმედებენ,operate
პრაქტიკა,practice
ცალკე,separate
რთული,difficult
ექიმი,doctor
|გთხოვთ,|,please
დაცვა,protect
შუადღისას,noon
მოსავლის,crop
თანამედროვე,modern
ელემენტი,element
მოხვდა,hit
სტუდენტი,student
კუთხეში,corner
პარტია,party
ახალი,supply
რომლის,whose
განთავსდება,locate
ბეჭედი,ring
ხასიათი,character
მწერის,insect
დაიჭირეს,caught
პერიოდი,period
მიუთითოს,indicate
რადიო,radio
ისაუბრა,spoke
ატომის,atom
ადამიანის,human
ისტორია,history
ეფექტი,effect
ელექტრო,electric
ველით,expect
ძვლის,bone
სარკინიგზო,rail
წარმოიდგინეთ,imagine
გთავაზობთ,provide
ვეთანხმები,agree
|ამგვარად,|,thus
ნაზი,gentle
ქალი,woman
კაპიტანი,captain
ვხვდები,guess
აუცილებელია,necessary
მკვეთრი,sharp
ფრთა,wing
შექმნა,create
მეზობელი,neighbor
სარეცხი,wash
აღება,bat
საკმაოდ,rather
გულშემატკივარი,crowd
სიმინდის,corn
შედარება,compare
პოემა,poem
სტრიქონი,string
ბელი,bell
დამოკიდებული,depend
ხორცის,meat
რუბლს შეადგენს,rub
მილით,tube
ცნობილი,famous
დოლარი,dollar
ნაკადი,stream
შიში,fear
მხედველობა,sight
თხელი,thin
სამკუთხედის,triangle
პლანეტის,planet
იჩქარეთ,hurry
მთავარი,chief
კოლონია,colony
საათი,clock
ნაღმი,mine
ჰალსტუხი,tie
შევა,enter
მთავარი,major
ახალი,fresh
ძიების,search
გაუგზავნე,send
ყვითელი,yellow
იარაღი,gun
საშუალებას,allow
ბეჭდვა,print
მკვდარი,dead
ადგილზე,spot
უდაბნოში,desert
სარჩელი,suit
მიმდინარე,current
ლიფტით,lift
გაიზარდა,rose
ჩამოვა,arrive
საძიებო,master
სიმღერა,track
მშობელს,parent
ნაპირზე,shore
განყოფილება,division
ფურცელი,sheet
ნივთიერება,substance
ემხრობა,favor
დაკავშირება,connect
ჩანაწერი,post
დახარჯავს,spend
აკორდი,chord
ცხიმის,fat
|მოხარული ვარ,|,glad
ორიგინალური,original
წილი,share
სადგური,station
მამა,dad
პური,bread
დააკისროს,charge
შესაბამისი,proper
ბარი,bar
შეთავაზება,offer
სეგმენტი,segment
მონა,slave
იხვი,duck
მყისიერი,instant
ბაზარზე,market
ხარისხი,degree
მოეყვანა,populate
ქათმის,chick
ძვირფასო,dear
მტრის,enemy
პასუხი,reply
სასმელი,drink
მოხდეს,occur
მხარდაჭერა,support
სიტყვის,speech
ბუნება,nature
სპექტრი,range
ორთქლი,steam
მოძრაობის,motion
გზა,path
თხევადი,liquid
შედით,log
ნიშნავდა,meant
მაჩვენებელი,quotient
კბილები,teeth
გარსი,shell
კისრის,neck
ჟანგბადის,oxygen
შაქარი,sugar
სიკვდილი,death
საკმაოდ,pretty
უნარი,skill
ქალები,women
სეზონი,season
გამოსავალი,solution
მაგნიტივით,magnet
ვერცხლის,silver
მადლობა,thank
ფილიალი,branch
მატჩი,match
სუფიქსი,suffix
განსაკუთრებით,especially
ლეღვის,fig
ეშინია,afraid
დიდი,huge
დის,sister
ფოლადის,steel
განხილვა,discuss
წინ,forward
მსგავსი,similar
უხელმძღვანელებს,guide
გამოცდილება,experience
ანგარიში,score
ვაშლის,apple
შეიძინა,bought
გამოიწვია,led
მოედანზე,pitch
ქურთუკი,coat
მასობრივი,mass
ანკეტა,card
ბენდი,band
საბაგირო,rope
მუშავდება,slip
გაიმარჯვებს,win
ოცნება,dream
საღამოს,evening
მდგომარეობა,condition
არხი,feed
ინსტრუმენტი,tool
სულ,total
ძირითადი,basic
სუნი,smell
ხეობაში,valley
არც,nor
ორმაგი,double
ადგილს,seat
გაგრძელდება,continue
ბლოკი,block
გრაფიკი,chart
ქუდი,hat
გაყიდვა,sell
წარმატება,success
კომპანია,company
სხვაობა,subtract
ღონისძიება,event
კერძოდ,particular
გარიგება,deal
ბანაობენ,swim
ვადა,term
პირიქით,opposite
ცოლი,wife
ფეხსაცმლის,shoe
მხრის,shoulder
გავრცელება,spread
მოაწყოს,arrange
ბანაკი,camp
გამოგონება,invent
ბამბა,cotton
დაიბადა,born
განსაზღვრავს,determine
და,quart
ცხრა,nine
სატვირთო,truck
ხმაური,noise
დონე,level
შანსი,chance
შევიკრიბოთ,gather
მაღაზია,shop
მონაკვეთი,stretch
|იმისათვის, რომ|,throw
შაინი,shine
ქონების,property
სვეტი,column
მოლეკულის,molecule
აირჩიეთ,select
არასწორი,wrong
ნაცრისფერი,gray
განმეორებითი,repeat
მოითხოვს,require
ფართო,broad
მომზადება,prepare
მარილი,salt
ცხვირი,nose
მრავლობითი,plural
რისხვა,anger
სარჩელი,claim
კონტინენტზე,continent
