sebagai,as
vokal,vowel
ke arah,toward
perang,war
meletakkan,lay
terhadap,against
corak,pattern
perlahan,slow
pusat,center
suka,love
orang,person
wang,money
berkhidmat,serve
muncul,appear
jalan raya,road
peta,map
hujan,rain
peraturan,rule
mentadbir,govern
menarik,pull
sejuk,cold
notis,notice
suara,voice
tenaga,energy
memburu,hunt
kemungkinan,probable
katil,bed
saudara,brother
telur,egg
perjalanan,ride
sel,cell
percaya,believe
mungkin,perhaps
mengambil,pick
secara tiba-tiba,sudden
mengira,count
persegi,square
sebab,reason
panjang,length
mewakili,represent
seni,art
tertakluk,subject
rantau,region
saiz,size
berbeza-beza,vary
menyelesaikan,settle
bercakap,speak
berat badan,weight
umum,general
ais,ice
perkara,matter
bulatan,circle
pasangan,pair
termasuk,include
jurang,divide
suku kata,syllable
merasakan,felt
besar,grand
bola,ball
belum,yet
gelombang,wave
drop,drop
jantung,heart
saya,am
sekarang,present
berat,heavy
tarian,dance
enjin,engine
kedudukan,position
lengan,arm
luas,wide
belayar,sail
bahan,material
pecahan,fraction
hutan,forest
duduk,sit
bangsa,race
tetingkap,window
kedai,store
musim panas,summer
kereta api,train
tidur,sleep
membuktikan,prove
tunggal,lone
kaki,leg
senaman,exercise
dinding,wall
tangkapan,catch
gunung,mount
ingin,wish
langit,sky
lembaga,board
kegembiraan,joy
musim sejuk,winter
Sab,sat
bertulis,written
liar,wild
instrumen,instrument
disimpan,kept
kaca,glass
rumput,grass
lembu,cow
kerja,job
kelebihan,edge
tanda,sign
lawatan,visit
lalu,past
lembut,soft
menyeronokkan,fun
terang,bright
gas,gas
cuaca,weather
bulan,month
juta,million
menanggung,bear
penamat,finish
gembira,happy
berharap,hope
bunga,flower
pakaian,clothe
pelik,strange
pergi,gone
perdagangan,trade
melodi,melody
perjalanan,trip
pejabat,office
menerima,receive
berturut-turut,row
mulut,mouth
tepat,exact
simbol,symbol
mati,die
kurangnya,least
masalah,trouble
jeritan,shout
kecuali,except
menulis,wrote
benih,seed
nada,tone
menyertai,join
mencadangkan,suggest
bersih,clean
rehat,break
wanita,lady
yard,yard
naik,rise
buruk,bad
tamparan,blow
minyak,oil
darah,blood
menyentuh,touch
berkembang,grew
peratus,cent
campuran,mix
pasukan,team
wayar,wire
kos,cost
hilang,lost
coklat,brown
memakai,wear
taman,garden
sama,equal
dihantar,sent
memilih,choose
jatuh,fell
muat,fit
mengalir,flow
adil,fair
bank yang,bank
mengumpul,collect
menyelamatkan,save
kawalan,control
perpuluhan,decimal
telinga,ear
lain,else
agak,quite
patah,broke
kes,case
pertengahan,middle
membunuh,kill
anak,son
tasik,lake
masa,moment
skala,scale
kuat,loud
musim bunga,spring
memerhatikan,observe
kanak-kanak,child
lurus,straight
konsonan,consonant
negara,nation
kamus,dictionary
susu,milk
kelajuan,speed
kaedah,method
organ,organ
membayar,pay
umur,age
seksyen,section
pakaian,dress
awan,cloud
kejutan,surprise
tenang,quiet
batu,stone
kecil,tiny
pendakian,climb
sejuk,cool
reka bentuk,design
miskin,poor
banyak,lot
eksperimen,experiment
bahagian bawah,bottom
utama,key
besi,iron
tunggal,single
kayu,stick
rata,flat
dua puluh,twenty
kulit,skin
senyuman,smile
berkedut,crease
lubang,hole
melompat,jump
bayi,baby
lapan,eight
kampung,village
memenuhi,meet
akar,root
membeli,buy
meningkatkan,raise
menyelesaikan,solve
logam,metal
sama ada,whether
push,push
tujuh,seven
perenggan,paragraph
ketiga,third
hendaklah,shall
diadakan,held
rambut,hair
menggambarkan,describe
tukang masak,cook
lantai,floor
sama ada,either
hasil,result
membakar,burn
bukit,hill
selamat,safe
kucing,cat
abad,century
mempertimbangkan,consider
Jenis,type
undang-undang,law
sedikit,bit
pantai,coast
salinan,copy
frasa,phrase
senyap,silent
tinggi,tall
pasir,sand
tanah,soil
daftar,roll
suhu,temperature
jari,finger
industri,industry
nilai,value
perjuangan,fight
dusta,lie
menewaskan,beat
merangsang,excite
semula jadi,natural
pandangan,view
rasa,sense
modal,capital
tidak akan,won’t
kerusi,chair
bahaya,danger
buah-buahan,fruit
kaya,rich
tebal,thick
askar,soldier
proses,process
beroperasi,operate
amalan,practice
berasingan,separate
sukar,difficult
doktor,doctor
sila,please
melindungi,protect
tengah hari,noon
tanaman,crop
moden,modern
elemen,element
melanda,hit
pelajar,student
sudut,corner
pihak,party
bekalan,supply
yang,whose
mengesan,locate
cincin,ring
watak,character
serangga,insect
ditangkap,caught
tempoh,period
menunjukkan,indicate
sejuk,radio
bercakap,spoke
debu,atom
manusia,human
sejarah,history
kesan,effect
elektrik,electric
mengharapkan,expect
tulang,bone
kereta api,rail
bayangkan,imagine
menyediakan,provide
bersetuju,agree
dengan itu,thus
lembut,gentle
wanita,woman
kapten,captain
meneka,guess
perlu,necessary
tajam,sharp
sayap,wing
mewujudkan,create
jiran,neighbor
mencuci,wash
kelawar,bat
bukan,rather
orang ramai,crowd
jagung,corn
membandingkan,compare
puisi,poem
rentetan,string
loceng,bell
bergantung,depend
daging,meat
sapu,rub
tiub,tube
terkenal,famous
dolar,dollar
aliran,stream
ketakutan,fear
penglihatan,sight
nipis,thin
segitiga,triangle
planet,planet
terburu-buru,hurry
ketua,chief
tanah jajahan,colony
jam,clock
saya,mine
tali leher,tie
memasukkan,enter
utama,major
segar,fresh
carian,search
menghantar,send
kuning,yellow
pistol,gun
membolehkan,allow
cetak,print
mati,dead
tempat,spot
padang pasir,desert
saman,suit
semasa,current
lif,lift
meningkat,rose
tiba,arrive
induk,master
trek,track
ibu bapa,parent
pantai,shore
bahagian,division
lembaran,sheet
bahan,substance
memihak kepada,favor
menyambung,connect
jawatan,post
menghabiskan,spend
kord,chord
lemak,fat
gembira,glad
asal,original
saham,share
stesen,station
ayah,dad
roti,bread
caj,charge
betul,proper
bar,bar
tawaran,offer
segmen,segment
hamba,slave
itik,duck
segera,instant
pasaran,market
ijazah,degree
mempopulasikan,populate
anak ayam,chick
sayang,dear
musuh,enemy
membalas,reply
minuman,drink
berlaku,occur
sokongan,support
ucapan,speech
alam semula jadi,nature
pelbagai,range
stim,steam
gerakan,motion
jalan,path
cecair,liquid
log,log
bermakna,meant
hasil bahagi,quotient
gigi,teeth
shell,shell
leher,neck
oksigen,oxygen
gula,sugar
kematian,death
cantik,pretty
kemahiran,skill
wanita,women
musim,season
penyelesaian,solution
magnet,magnet
perak,silver
terima,thank
cawangan,branch
perlawanan,match
akhiran,suffix
terutamanya,especially
ara,fig
takut,afraid
besar,huge
kakak,sister
keluli,steel
membincangkan,discuss
ke hadapan,forward
sama,similar
membimbing,guide
pengalaman,experience
Perincian,score
epal,apple
membeli,bought
membawa,led
padang,pitch
kot,coat
besar-besaran,mass
kad,card
band,band
tali,rope
slip,slip
kemenangan,win
bermimpi,dream
petang,evening
keadaan,condition
makanan,feed
alat,tool
jumlah,total
asas,basic
bau,smell
lembah,valley
ataupun,nor
dua,double
tempat duduk,seat
terus,continue
blok,block
carta,chart
topi,hat
menjual,sell
kejayaan,success
syarikat,company
tolak,subtract
acara,event
tertentu,particular
perjanjian,deal
berenang,swim
jangka,term
bertentangan,opposite
isteri,wife
kasut,shoe
bahu,shoulder
penyebaran,spread
mengatur,arrange
kem,camp
mengada-adakan,invent
kapas,cotton
dilahirkan,born
menentukan,determine
kuart,quart
sembilan,nine
trak,truck
bunyi,noise
tahap,level
peluang,chance
mengumpul,gather
kedai,shop
regangan,stretch
membuang,throw
bersinar,shine
harta,property
ruangan,column
molekul,molecule
pilih,select
salah,wrong
kelabu,gray
ulangan,repeat
memerlukan,require
luas,broad
menyediakan,prepare
garam,salt
hidung,nose
majmuk,plural
kemarahan,anger
tuntutan,claim
benua,continent
