کے طور پر,as
نیچے,down
کی طرف,side
رہا,been
اب,now
تلاش,find
سر,head
کھڑے,stand
اپنے,own
صفحہ,page
چاہئے,should
ملک,country
پایا,found
جواب,answer
اسکول,school
اضافہ,grow
مطالعہ,study
اب بھی,still
جاننے کے,learn
پلانٹ,plant
کور,cover
کھانا,food
سورج,sun
چار,four
کے درمیان,between
ریاست,state
رکھنے کے,keep
آنکھ,eye
کبھی نہیں,never
آخری,last
دو,let
سوچا,thought
شہر,city
درخت,tree
پار,cross
فارم,farm
مشکل,hard
آغاز,start
ہو سکتا ہے,might
کہانی,story
ص,saw
اب تک,far
سمندر,sea
اپنی طرف متوجہ,draw
بائیں,left
دیر سے,late
رن,run
نہیں,don’t
جبکہ,while
پریس,press
بند کریں,close
رات,night
اصلی,real
زندگی,life
چند,few
شمالی,north
کتاب,book
لے جانے کے,carry
لیا,took
سائنس,science
کھانے,eat
کمرے,room
دوست,friend
شروع,began
خیال,idea
مچھلی,fish
پہاڑ,mountain
کو روکنے کے,stop
ایک بار,once
بنیاد,base
سن,hear
گھوڑا,horse
کٹ,cut
اس بات کا یقین,sure
گھڑی,watch
رنگین,color
چہرے,face
لکڑی,wood
اہم,main
کھولیں,open
لگتا ہے,seem
ایک ساتھ مل کر,together
اگلا,next
سفید,white
بچوں,children
شروع,begin
ملا,got
چلنا,walk
مثال کے طور پر,example
کم,ease
کاغذ,paper
گروپ,group
ہمیشہ,always
موسیقی,music
ان,those
دونوں,both
مارک,mark
اکثر,often
خط,letter
جب تک,until
میل,mile
دریا,river
کار,car
پاؤں,feet
دیکھ بھال,care
دوسری,second
کافی,enough
سادہ,plain
لڑکی,girl
معمول,usual
نوجوان,young
تیار,ready
اوپر,above
کبھی,ever
ریڈ,red
فہرست,list
اگرچہ,though
محسوس,feel
بات,talk
برڈ,bird
جلد ہی,soon
جسم,body
کتا,dog
خاندان,family
براہ راست,direct
لاحق,pose
چھوڑ,leave
نغمہ,song
پیمائش,measure
دروازہ,door
مصنوعات,product
سیاہ,black
مختصر,short
ہندسی,numeral
کلاس,class
ہوا,wind
سوال,question
ہو,happen
مکمل,complete
جہاز,ship
علاقے,area
نصف,half
راک,rock
حکم,order
آگ,fire
جنوبی,south
مسئلہ,problem
ٹکڑا,piece
بتایا,told
جانتا تھا,knew
پاس,pass
سے,since
سب سے اوپر,top
پورے,whole
بادشاہ,king
سڑک,street
انچ,inch
ضرب,multiply
کچھ بھی نہیں,nothing
کورس,course
رہنا,stay
وہیل,wheel
مکمل,full
طاقت,force
بلیو,blue
اعتراض,object
فیصلہ,decide
سطح,surface
گہری,deep
چاند,moon
جزائر,island
پاؤں,foot
نظام,system
مصروف,busy
ٹیسٹ,test
ریکارڈ,record
کشتی,boat
عام,common
سونا,gold
ممکن,possible
ہوائی جہاز,plane
جگہ,stead
خشک,dry
حیرت ہے,wonder
ہنسی,laugh
ہزار,thousand
پہلے,ago
بھاگ گیا,ran
چیک,check
کھیل ہی کھیل میں,game
شکل,shape
برابر,equate
گرم، شہوت انگیز,hot
مس,miss
لایا,brought
گرمی,heat
برف,snow
ٹائر,tire
لانے کے,bring
جی ہاں,yes
دور,distant
بھرنے,fill
وسطی,east
پینٹ,paint
زبان,language
میں,among
یونٹ,unit
بجلی,power
شہر,town
ٹھیک,fine
کچھ,certain
پرواز,fly
گر,fall
قیادت,lead
رونا,cry
سیاہ,dark
مشین,machine
نوٹ,note
انتظار,wait
منصوبہ بندی,plan
کے اعداد و شمار,figure
ستارہ,star
باکس,box
سنجشتھا,noun
میدان,field
باقی,rest
صحیح,correct
قابل,able
پونڈ,pound
ہو گیا,done
خوبصورتی,beauty
ڈرائیو,drive
کھڑا,stood
پر مشتمل ہے,contain
سامنے,front
سکھانا,teach
ہفتے,week
آخری,final
دی,gave
سبز,green
اوہ,oh
فوری,quick
ترقی,develop
سمندر,ocean
گرم,warm
مفت,free
منٹ,minute
مضبوط,strong
خصوصی,special
ذہن,mind
پیچھے,behind
واضح,clear
دم,tail
پیداوار,produce
حقیقت یہ ہے,fact
خلائی,space
سنا,heard
بہترین,best
گھنٹے,hour
بہتر,better
سچ,true
کے دوران,during
سو,hundred
پانچ,five
یاد,remember
قدم,step
ابتدائی,early
پکڑ,hold
مغرب,west
زمین,ground
دلچسپی,interest
تک پہنچنے,reach
تیزی سے,fast
فعل,verb
گانا,sing
سننا,listen
چھ,six
ٹیبل,table
سفر,travel
کم,less
صبح,morning
دس,ten
سادہ,simple
کئی,several
سر,vowel
کی طرف,toward
جنگ,war
پوشیدہ,lay
کے خلاف,against
پیٹرن,pattern
سست,slow
مرکز,center
محبت,love
شخص,person
پیسہ,money
خدمت,serve
ظاہر,appear
سڑک,road
نقشہ,map
بارش,rain
اصول,rule
حکومت,govern
ھیںچو,pull
سرد,cold
نوٹس,notice
آواز,voice
توانائی,energy
ہنٹ,hunt
ممکنہ,probable
بستر,bed
بھائی,brother
انڈے,egg
سواری,ride
سیل,cell
یقین,believe
شاید,perhaps
منتخب,pick
اچانک,sudden
شمار,count
چوک,square
وجہ,reason
لمبائی,length
کی نمائندگی,represent
فن,art
موضوع,subject
خطے,region
سائز,size
مختلف,vary
حل,settle
بات,speak
وزن,weight
جنرل,general
برف,ice
معاملہ,matter
دائرے,circle
جوڑی,pair
شامل,include
تقسیم,divide
شبدانش,syllable
محسوس,felt
گرینڈ,grand
گیند,ball
ابھی,yet
لہر,wave
ڈراپ,drop
دل,heart
صبح,am
موجودہ,present
بھاری,heavy
رقص,dance
انجن,engine
پوزیشن,position
بازو,arm
وسیع,wide
سیل,sail
مواد,material
حصہ,fraction
جنگل,forest
بیٹھ,sit
ریس,race
ونڈو,window
سٹور,store
موسم گرما,summer
ٹرین,train
نیند,sleep
ثابت,prove
واحد,lone
ٹانگ,leg
ورزش,exercise
دیوار,wall
کیچ,catch
پہاڑ,mount
خواہش,wish
آسمان,sky
بورڈ,board
خوشی,joy
موسم سرما,winter
ہفتہ,sat
لکھا,written
جنگلی,wild
آلہ,instrument
رکھا,kept
گلاس,glass
گھاس,grass
گائے,cow
کام,job
کنارے,edge
سائن ان کریں,sign
دورہ,visit
ماضی,past
نرم,soft
مزہ,fun
روشن,bright
گیس,gas
موسم,weather
ماہ,month
ملین,million
برداشت,bear
ختم,finish
خوش,happy
امید,hope
پھول,flower
کپڑے,clothe
عجیب,strange
چلا گیا,gone
تجارت,trade
میلوڈی,melody
سفر,trip
دفتر,office
حاصل,receive
قطار,row
منہ,mouth
عین مطابق,exact
علامت,symbol
مر,die
کم از کم,least
مصیبت,trouble
چللاو,shout
سوائے,except
لکھا,wrote
بیج,seed
سر,tone
میں شامل,join
مشورہ,suggest
صاف,clean
وقفے,break
لیڈی,lady
یارڈ,yard
اضافہ,rise
برا,bad
دھچکا,blow
تیل,oil
خون,blood
چھو,touch
اضافہ ہوا,grew
فیصد,cent
ملا,mix
ٹیم,team
تار,wire
قیمت,cost
کھو,lost
براؤن,brown
پہننا,wear
باغ,garden
برابر,equal
بھیجا,sent
منتخب کریں,choose
گر,fell
فٹ,fit
بہاؤ,flow
منصفانہ,fair
بینک,bank
جمع,collect
کو بچانے کے,save
کنٹرول,control
دشملو,decimal
کان,ear
اور,else
بہت,quite
توڑ دیا,broke
کیس,case
مشرق,middle
قتل,kill
بیٹا,son
جھیل,lake
لمحے,moment
پیمانے,scale
بلند آواز,loud
موسم بہار,spring
کا مشاہدہ,observe
بچے,child
براہ راست,straight
آواز,consonant
قوم,nation
ڈکشنری,dictionary
دودھ,milk
رفتار,speed
طریقہ,method
عضو,organ
ادائیگی,pay
عمر,age
سیکشن,section
کپڑے,dress
بادل,cloud
تعجب کی بات,surprise
پرسکون,quiet
پتھر,stone
چھوٹے,tiny
چڑھنے,climb
ڈاؤن لوڈ، اتارنا,cool
ڈیزائن,design
غریب,poor
بہت,lot
تجربہ,experiment
نیچے,bottom
اہم,key
لوہے,iron
ایک,single
چسپاں,stick
فلیٹ,flat
بیس,twenty
جلد,skin
مسکراہٹ,smile
کریج,crease
سوراخ,hole
کود,jump
بچے,baby
آٹھ,eight
گاؤں,village
ملو,meet
جڑ,root
خریدنے کے,buy
بلند,raise
حل,solve
دھات,metal
چاہے,whether
دھکا,push
سات,seven
پیراگراف,paragraph
تیسری,third
گے,shall
منعقد,held
بال,hair
وضاحت,describe
کک,cook
منزل,floor
یا تو,either
نتیجہ,result
جلا,burn
پہاڑی,hill
محفوظ,safe
بلی,cat
صدی,century
غور,consider
قسم,type
قانون,law
سا,bit
کوسٹ,coast
کاپی,copy
جملہ,phrase
خاموش,silent
قد,tall
ریت,sand
مٹی,soil
رول,roll
درجہ حرارت,temperature
انگلی,finger
صنعت,industry
قیمت,value
جنگ,fight
جھوٹ,lie
شکست دی,beat
اتیجیت,excite
قدرتی,natural
دیکھیں,view
احساس,sense
دارالحکومت,capital
نہیں,won’t
کرسی,chair
خطرہ,danger
پھل,fruit
امیر,rich
موٹی,thick
فوجی,soldier
عمل,process
کام,operate
پریکٹس,practice
علیحدہ,separate
مشکل,difficult
ڈاکٹر,doctor
براہ مہربانی,please
حفاظت,protect
دوپہر,noon
فصل,crop
جدید,modern
عنصر,element
مارا,hit
طالب علم,student
کونے,corner
پارٹی,party
فراہمی,supply
جن,whose
تلاش,locate
انگوٹی,ring
کردار,character
کیڑے,insect
پکڑے,caught
مدت,period
اس بات کی نشاندہی,indicate
ریڈیو,radio
بات چیت,spoke
ایٹم,atom
انسانی,human
تاریخ,history
اثر,effect
بجلی,electric
توقع,expect
ہڈی,bone
ریل,rail
تصور,imagine
فراہم کرتے ہیں,provide
اتفاق,agree
اس طرح,thus
نرم,gentle
عورت,woman
کیپٹن,captain
لگتا ہے,guess
ضروری,necessary
تیز,sharp
ونگ,wing
تخلیق,create
پڑوسی,neighbor
واش,wash
بیٹ,bat
بلکہ,rather
بھیڑ,crowd
مکئی,corn
موازنہ,compare
نظم,poem
تار,string
گھنٹی,bell
انحصار,depend
گوشت,meat
مسح,rub
ٹیوب,tube
مشہور,famous
ڈالر,dollar
ندی,stream
خوف,fear
نظر,sight
پتلی,thin
مثلث,triangle
سیارے,planet
جلدی,hurry
چیف,chief
کالونی,colony
گھڑی,clock
میرا,mine
ٹائی,tie
داخل,enter
اہم,major
تازہ,fresh
تلاش,search
بھیجیں,send
پیلے رنگ,yellow
بندوق,gun
کی اجازت,allow
پرنٹ,print
مردہ,dead
اسپاٹ,spot
صحرا,desert
سوٹ,suit
موجودہ,current
لفٹ,lift
گلاب,rose
پہنچ,arrive
ماسٹر,master
ٹریک,track
والدین,parent
کنارے,shore
ڈویژن,division
شیٹ,sheet
مادہ,substance
کی حمایت,favor
مربوط,connect
پوسٹ,post
خرچ,spend
راگ,chord
چربی,fat
خوشی,glad
اصل,original
حصہ,share
اسٹیشن,station
والد,dad
روٹی,bread
چارج,charge
مناسب,proper
بار,bar
پیشکش,offer
طبقہ,segment
غلام,slave
بتھ,duck
فوری طور پر,instant
مارکیٹ,market
ڈگری,degree
آباد,populate
لڑکی,chick
عزیز,dear
دشمن,enemy
جواب,reply
ڈرنک,drink
پائے جاتے ہیں,occur
کی حمایت,support
تقریر,speech
نوعیت,nature
رینج,range
بھاپ,steam
تحریک,motion
راستہ,path
مائع,liquid
لاگ ان,log
مطلب,meant
قسیم,quotient
دانت,teeth
شیل,shell
گردن,neck
آکسیجن,oxygen
چینی,sugar
موت,death
خوبصورت,pretty
مہارت,skill
خواتین,women
موسم,season
حل,solution
مقناطیس,magnet
چاندی,silver
شکریہ,thank
شاخ,branch
میچ,match
لاحقہ,suffix
خاص طور پر,especially
انجیر,fig
ڈر,afraid
بہت بڑا,huge
بہن,sister
سٹیل,steel
بات چیت,discuss
آگے,forward
اسی طرح,similar
رہنمائی,guide
تجربہ,experience
اسکور,score
ایپل,apple
خریدا,bought
قیادت,led
پچ,pitch
کوٹ,coat
بڑے پیمانے پر,mass
کارڈ,card
بینڈ,band
رسی,rope
پرچی,slip
جیت,win
خواب,dream
شام,evening
حالت,condition
فیڈ,feed
آلے,tool
کل,total
بنیادی,basic
بو,smell
وادی,valley
اور نہ ہی,nor
ڈبل,double
نشست,seat
جاری,continue
بلاک,block
چارٹ,chart
ٹوپی,hat
فروخت,sell
کامیابی,success
کمپنی,company
منہا,subtract
واقعہ,event
خاص طور پر,particular
معاہدے,deal
تیر,swim
اصطلاح,term
اس کے برعکس,opposite
بیوی,wife
جوتا,shoe
کندھے,shoulder
پھیلاؤ,spread
بندوبست,arrange
کیمپ,camp
ایجاد,invent
کپاس,cotton
پیدا ہوا,born
کا تعین,determine
کرسٹل,quart
نو,nine
ٹرک,truck
شور,noise
سطح,level
موقع,chance
جمع,gather
دکان,shop
مسلسل,stretch
پھینک,throw
چمک,shine
جائیداد,property
کالم,column
انو,molecule
منتخب کریں,select
غلط,wrong
بھوری رنگ,gray
دوبارہ,repeat
کی ضرورت ہوتی ہے,require
وسیع,broad
تیار,prepare
نمک,salt
ناک,nose
جمع,plural
غصہ,anger
دعوی,claim
براعظم,continent
