તરીકે,as
નકલ,copy
મહાવરો,phrase
શાંત,silent
ઊંચા,tall
રેતી,sand
જમીન,soil
રોલ,roll
તાપમાન,temperature
આંગળી,finger
ઉદ્યોગ,industry
કિંમત,value
લડાઈ,fight
અસત્ય,lie
હરાવ્યું,beat
ઉત્તેજિત,excite
કુદરતી,natural
દૃશ્ય,view
અર્થમાં,sense
મૂડી,capital
નહીં,won’t
ખુરશી,chair
ભય,danger
ફળ,fruit
સમૃદ્ધ,rich
જાડા,thick
સૈનિક,soldier
પ્રક્રિયા,process
કામ,operate
પ્રથા,practice
અલગ,separate
મુશ્કેલ,difficult
ડૉક્ટર,doctor
કૃપા કરીને,please
રક્ષણ,protect
બપોરે,noon
પાક,crop
આધુનિક,modern
તત્વ,element
હિટ,hit
વિદ્યાર્થી,student
ખૂણે,corner
પક્ષ,party
પુરવઠો,supply
જેના,whose
સ્થિત,locate
રિંગ,ring
પાત્ર,character
જંતુ,insect
કેચ,caught
સમય,period
સૂચવે છે,indicate
રેડિયો,radio
વાત કરી હતી,spoke
અણુ,atom
માનવ,human
ઇતિહાસ,history
અસર,effect
ઇલેક્ટ્રિક,electric
અપેક્ષા,expect
અસ્થિ,bone
રેલવે,rail
કલ્પના,imagine
પૂરી પાડે છે,provide
સંમત,agree
આમ,thus
સૌમ્ય,gentle
મહિલા,woman
કેપ્ટન,captain
ધારી,guess
જરૂરી,necessary
તીવ્ર,sharp
પાંખ,wing
બનાવો,create
પાડોશી,neighbor
ધોવું,wash
બેટ,bat
બદલે,rather
ભીડ,crowd
મકાઈ,corn
સરખામણી,compare
કવિતા,poem
શબ્દમાળા,string
ઘંટડી,bell
આધાર રાખે છે,depend
માંસ,meat
ઘસવું,rub
ટ્યુબ,tube
વિખ્યાત,famous
ડોલર,dollar
સ્ટ્રીમ,stream
ભય,fear
દૃષ્ટિ,sight
પાતળા,thin
ત્રિકોણ,triangle
ગ્રહ,planet
ઉતાવળ કરવી,hurry
મુખ્ય,chief
વસાહત,colony
ઘડિયાળ,clock
ખાણ,mine
ટાઇ,tie
દાખલ,enter
મુખ્ય,major
તાજા,fresh
શોધ,search
મોકલવા,send
પીળા,yellow
બંદૂક,gun
પરવાનગી,allow
પ્રિન્ટ,print
મૃત,dead
હાજર,spot
રણ,desert
દાવો,suit
વર્તમાન,current
લિફ્ટ,lift
ગુલાબ,rose
આવો,arrive
માસ્ટર,master
ટ્રેક,track
પિતૃ,parent
કિનારા,shore
વિભાગ,division
શીટ,sheet
પદાર્થ,substance
તરફેણ,favor
કનેક્ટ,connect
પોસ્ટ,post
ખર્ચ,spend
તાર,chord
ચરબી,fat
ખુશી,glad
મૂળ,original
શેર,share
સ્ટેશન,station
પિતા,dad
બ્રેડ,bread
ચાર્જ,charge
યોગ્ય,proper
બાર,bar
ઓફર,offer
સેગમેન્ટમાં,segment
ગુલામ,slave
બતક,duck
ઇન્સ્ટન્ટ,instant
બજાર,market
ડિગ્રી,degree
રચના,populate
પક્ષીનું બચ્ચું,chick
પ્રિય,dear
દુશ્મન,enemy
જવાબ,reply
પીણું,drink
થાય,occur
આધાર,support
ભાષણ,speech
પ્રકૃતિ,nature
શ્રેણી,range
વરાળ,steam
ગતિ,motion
પાથ,path
પ્રવાહી,liquid
લોગ,log
અર્થ,meant
આંક,quotient
દાંત,teeth
શેલ,shell
ગરદન,neck
ઓક્સિજન,oxygen
ખાંડ,sugar
મૃત્યુ,death
ખૂબ,pretty
કૌશલ્ય,skill
સ્ત્રીઓ,women
મોસમ,season
ઉકેલ,solution
ચુંબક,magnet
ચાંદીના,silver
આભાર,thank
શાખા,branch
મેચ,match
પ્રત્યય,suffix
ખાસ કરીને,especially
અંજીર,fig
ભયભીત,afraid
વિશાળ,huge
બહેન,sister
સ્ટીલ,steel
ચર્ચા,discuss
આગળ,forward
સમાન,similar
માર્ગદર્શન,guide
અનુભવ,experience
સ્કોર,score
સફરજન,apple
ખરીદી,bought
દોરી,led
પિચ,pitch
કોટ,coat
સમૂહ,mass
કાર્ડ,card
બેન્ડ,band
દોરડું,rope
કાપલી,slip
જીત,win
સ્વપ્ન,dream
સાંજે,evening
સ્થિતિ,condition
ફીડ,feed
સાધન,tool
કુલ,total
મૂળભૂત,basic
ગંધ,smell
ખીણ,valley
કે,nor
ડબલ,double
બેઠક,seat
ચાલુ,continue
બ્લોક,block
ચાર્ટ,chart
ટોપી,hat
વેચાણ,sell
સફળતા,success
કંપની,company
બાદબાકી,subtract
ઘટના,event
ખાસ,particular
સોદો,deal
તરી,swim
શબ્દ,term
વિરુદ્ધ,opposite
પત્ની,wife
જૂતા,shoe
ખભા,shoulder
ફેલાવો,spread
વ્યવસ્થા,arrange
શિબિર,camp
શોધ,invent
કપાસ,cotton
બોર્ન,born
નક્કી,determine
પા ગેલન,quart
નવ,nine
ટ્રક,truck
અવાજ,noise
સ્તર,level
તક,chance
ભેગા,gather
દુકાન,shop
ઉંચાઇ,stretch
ફેંકવું,throw
ચમકવા,shine
મિલકત,property
કૉલમ,column
પરમાણુ,molecule
પસંદ,select
ખોટું,wrong
ગ્રે,gray
વારંવાર,repeat
જરૂરી,require
વ્યાપક,broad
તૈયાર,prepare
મીઠું,salt
નાક,nose
બહુવચન,plural
ગુસ્સો,anger
દાવો,claim
ખંડ,continent
