bħala,as
inqas,least
trouble,trouble
shout,shout
ħlief,except
kiteb,wrote
żerriegħa,seed
tone,tone
jissieħbu,join
jissuġġerixxu,suggest
nadif,clean
waqfa,break
mara,lady
tarzna,yard
lok,rise
ħażina,bad
daqqa,blow
żejt,oil
demm,blood
tmissx,touch
kiber,grew
ċenteżmu,cent
taħlita,mix
tim,team
wajer,wire
ispiża,cost
mitlufa,lost
kannella,brown
jilbsu,wear
ġnien,garden
ugwali,equal
mibgħuta,sent
jagħżlu,choose
waqgħet,fell
tajbin,fit
fluss,flow
ġust,fair
bank,bank
jiġbru,collect
jiffranka,save
kontroll,control
informazzjoni,decimal
widna,ear
inkella,else
pjuttost,quite
kissru,broke
każ,case
nofs,middle
joqtlu,kill
iben,son
lag,lake
mument,moment
iskala,scale
qawwi,loud
rebbiegħa,spring
josservaw,observe
tfal,child
dritta,straight
konsonanti,consonant
nazzjon,nation
dizzjunarju,dictionary
ħalib,milk
veloċità,speed
metodu,method
organu,organ
tħallas,pay
età,age
taqsima,section
libsa,dress
sħaba,cloud
sorpriża,surprise
kwieta,quiet
ġebel,stone
ċkejkna,tiny
tluq,climb
jibred,cool
disinn,design
foqra,poor
lott,lot
esperiment,experiment
qiegħ,bottom
ċavetta,key
ħadid,iron
wieħed,single
stick,stick
ċatt,flat
għoxrin,twenty
ġilda,skin
daħka,smile
titkemmex,crease
toqba,hole
jaqbżu,jump
baby,baby
tmienja,eight
raħal,village
jissodisfaw,meet
għerq,root
jixtru,buy
jgħollu,raise
isolvu,solve
metall,metal
jekk,whether
timbotta,push
seba,seven
paragrafu,paragraph
tielet,third
għandhom,shall
miżmuma,held
xagħar,hair
jiddeskrivu,describe
kok,cook
art,floor
jew,either
riżultat,result
burn,burn
hill,hill
sikur,safe
qattus,cat
seklu,century
jikkunsidraw,consider
tip,type
liġi,law
daqsxejn,bit
kosta,coast
kopja,copy
frażi,phrase
siekta,silent
tall,tall
ramel,sand
ħamrija,soil
romblu,roll
temperatura,temperature
finger,finger
industrija,industry
valur,value
ġlieda,fight
jimteddu,lie
taħbit,beat
eċitati,excite
naturali,natural
fehma,view
sens,sense
kapital,capital
mhux se,won’t
president,chair
periklu,danger
frott,fruit
sinjuri,rich
ħoxna,thick
suldat,soldier
proċess,process
joperaw,operate
prattika,practice
separata,separate
diffiċli,difficult
tabib,doctor
jekk jogħġbok,please
jipproteġu,protect
nofsinhar,noon
uċuħ tar-raba,crop
modern,modern
element,element
hit,hit
istudent,student
kantuniera,corner
parti,party
provvista,supply
li,whose
lokalizzar,locate
ring,ring
karattru,character
insetti,insect
maqbuda,caught
perjodu,period
jindikaw,indicate
radju,radio
Tkellem,spoke
atomu,atom
bniedem,human
istorja,history
effett,effect
elettriku,electric
jistennew,expect
għadam,bone
ferrovija,rail
jimmaġina,imagine
jipprovdu,provide
jaqblu,agree
b’hekk,thus
ġentili,gentle
mara,woman
kaptan,captain
raden,guess
meħtieġ,necessary
sharp,sharp
ġwienaħ,wing
joħolqu,create
proxxmu,neighbor
aħsel,wash
maġina,bat
pjuttost,rather
folla,crowd
qamħ,corn
iqabblu,compare
poeżija,poem
sekwenza,string
qanpiena,bell
jiddependu,depend
laħam,meat
Togħrokx,rub
tubu,tube
famuż,famous
dollaru,dollar
nixxiegħa,stream
biża,fear
vista,sight
irqiq,thin
trijanglu,triangle
pjaneta,planet
hurry,hurry
kap,chief
kolonja,colony
arloġġ,clock
minjiera,mine
tie,tie
jidħol,enter
maġġuri,major
frisk,fresh
tfittxija,search
tibgħat,send
isfar,yellow
gun,gun
jippermettu,allow
istampar,print
mejta,dead
post,spot
deżert,desert
libsa,suit
attwali,current
lift,lift
tela,rose
jaslu,arrive
kaptan,master
binarju,track
ġenitur,parent
shore,shore
diviżjoni,division
folja,sheet
sustanza,substance
favur,favor
jgħaqqdu,connect
wara,post
jonfqu,spend
korda,chord
xaħam,fat
ferħan,glad
oriġinali,original
sehem,share
istazzjon,station
dad,dad
ħobż,bread
ħlas,charge
xierqa,proper
bar,bar
offerta,offer
segment,segment
slave,slave
papra,duck
instant,instant
suq,market
grad,degree
timla,populate
flieles,chick
għażiż,dear
ghadu,enemy
risposta,reply
xarba,drink
jseħħu,occur
appoġġ,support
diskors,speech
natura,nature
firxa,range
fwar,steam
mozzjoni,motion
triq,path
likwidu,liquid
log,log
fisser,meant
kwozjent,quotient
snien,teeth
qoxra,shell
għonq,neck
ossiġnu,oxygen
zokkor,sugar
mewt,death
pretty,pretty
ħiliet,skill
nisa,women
istaġun,season
soluzzjoni,solution
kalamita,magnet
fidda,silver
nirringrazzja,thank
fergħa,branch
logħba,match
suffiss,suffix
speċjalment,especially
fig,fig
jibżgħu,afraid
enormi,huge
sister,sister
azzar,steel
jiddiskutu,discuss
quddiem,forward
simili,similar
gwida,guide
esperjenza,experience
F’ħin,score
tuffieħ,apple
mixtrija,bought
wassal,led
żift,pitch
kowt,coat
massa,mass
karta,card
band,band
ħabel,rope
slip,slip
win,win
ħolma,dream
filgħaxija,evening
kundizzjoni,condition
għalf,feed
għodda,tool
total,total
bażiku,basic
riħa,smell
wied,valley
lanqas,nor
double,double
sedil,seat
tkompli,continue
blokk,block
grafika,chart
kpiepel,hat
jbiegħu,sell
suċċess,success
kumpanija,company
naqqas,subtract
avveniment,event
partikolari,particular
jittrattaw,deal
jgħum,swim
tul,term
oppost,opposite
mara,wife
żarbun,shoe
ispalla,shoulder
tixrid,spread
tirranġa,arrange
camp,camp
nivvintaw,invent
qoton,cotton
Mwieled,born
jiddeterminaw,determine
quart,quart
disa,nine
trakk,truck
istorbju,noise
livell,level
ċans,chance
jiġbru,gather
shop,shop
stretch,stretch
tarmi,throw
shine,shine
proprjetà,property
kolonna,column
molekula,molecule
tagħżel,select
ħażin,wrong
griż,gray
irrepeti,repeat
jeħtieġu,require
wiesgħa,broad
jippreparaw,prepare
melħ,salt
imnieħer,nose
plurali,plural
rabja,anger
pretensjoni,claim
kontinent,continent
