raws li,as
hluav taws,fire
sab qab teb,south
teeb meem,problem
daim,piece
hais rau,told
paub,knew
dhau,pass
txij li thaum,since
sab saum toj,top
tag nrho,whole
huab tais,king
txoj kev,street
nti,inch
multiply,multiply
tsis muaj dab tsi,nothing
cov hoob kawm,course
nyob twj ywm,stay
log,wheel
tag nrho,full
quab yuam,force
xiav,blue
yam khoom,object
txiav txim siab,decide
nto,surface
sib sib zog nqus,deep
hli,moon
kob,island
ko taw,foot
system,system
tibneeg hu tauj coob,busy
xeem,test
cov ntaub ntawv,record
nkoj,boat
ntau,common
kub,gold
tau,possible
dav hlau,plane
stead,stead
qhuav,dry
xav paub,wonder
luag,laugh
txhiab,thousand
dhau los,ago
khiav,ran
xyuas,check
kev ua si,game
zoo,shape
equate,equate
kub,hot
miss,miss
coj,brought
tshav kub kub,heat
snow,snow
log,tire
coj,bring
yawg,yes
nyob deb,distant
sau,fill
sab hnub tuaj,east
xim,paint
lus,language
cov,among
unit,unit
hwj chim,power
lub zos,town
zoo,fine
tej yam,certain
ya,fly
poob,fall
coj,lead
quaj,cry
tsaus,dark
tshuab,machine
daim ntawv,note
tos,wait
txoj kev npaj,plan
duab,figure
lub hnub qub,star
lub thawv,box
noun,noun
teb,field
so,rest
tseeb,correct
muaj cuab kav,able
phaus,pound
ua,done
kev zoo nkauj,beauty
tsav,drive
sawv,stood
muaj,contain
pem hauv ntej,front
qhia,teach
lub lim tiam,week
zaum kawg,final
muab,gave
ntsuab,green
huag,oh
ceev,quick
tsim,develop
dej hiav txwv,ocean
sov,warm
free,free
feeb,minute
muaj zog,strong
tshwj xeeb,special
siab,mind
qab,behind
ntshiab,clear
Tsov tus tw,tail
tsim,produce
qhov tseeb,fact
qhov chaw,space
hnov,heard
zoo tshaj plaws,best
teev,hour
zoo dua,better
muaj tseeb,true
thaum lub sij hawm,during
puas,hundred
tsib,five
nco ntsoov,remember
kauj ruam,step
thaum ntxov,early
tuav,hold
sab hnub poob,west
hauv av,ground
paj,interest
cuag,reach
ceev ceev,fast
Nqe lus,verb
hu nkauj,sing
mloog,listen
rau,six
rooj,table
mus ncig teb chaws,travel
tsawg,less
thaum sawv ntxov,morning
kaum,ten
yooj yim,simple
ob peb,several
vowel,vowel
mus rau,toward
ua tsov ua rog,war
pw,lay
tawm tsam,against
qauv,pattern
qeeb,slow
chaw,center
hlub,love
tus neeg,person
nyiaj,money
pab,serve
tshwm,appear
txoj kev,road
daim ntawv qhia,map
los nag,rain
txoj cai,rule
kav,govern
rub,pull
txias,cold
daim ntawv ceeb toom,notice
suab,voice
zog,energy
hunt,hunt
tej zaum,probable
txaj,bed
tus kwv tij,brother
qe,egg
caij,ride
cell,cell
ntseeg,believe
tej zaum,perhaps
tos,pick
ua ciav,sudden
suav,count
square,square
yog vim li cas,reason
ntev,length
sawv cev rau,represent
kos duab,art
raug,subject
cheeb tsam,region
loj,size
sib txawv,vary
khom,settle
hais lus,speak
hnyav,weight
general,general
ice,ice
teeb meem,matter
vajvoog,circle
khub,pair
muaj xws li,include
cais,divide
sylla,syllable
xav,felt
loj,grand
pob,ball
tsis tau,yet
yoj,wave
poob,drop
lub plawv,heart
yog,am
tam sim no,present
hnyav,heavy
seev cev,dance
cav,engine
txoj hauj lwm,position
caj npab,arm
thoob,wide
sail,sail
cov ntaub ntawv,material
feem,fraction
hav zoov,forest
zaum,sit
haiv neeg,race
qhov rais,window
khw,store
lub caij ntuj sov,summer
tsheb ciav hlau,train
pw tsaug zog,sleep
ua pov thawj,prove
leeg,lone
txhais ceg,leg
qoj ib ce,exercise
phab ntsa,wall
catch,catch
mount,mount
xav,wish
ntuj,sky
Rooj Tswjhwm Saib,board
muaj kev xyiv fab,joy
lub caij ntuj no,winter
xee,sat
sau,written
qus,wild
lub cuab tam,instrument
khaws cia,kept
iav,glass
nyom,grass
nyuj,cow
txoj hauj lwm,job
ntug,edge
kos npe,sign
mus ntsib,visit
yav dhau los,past
mos,soft
kev lom zem,fun
kaj,bright
gas,gas
huab cua,weather
lub hlis,month
lab,million
ua tim,bear
finish,finish
zoo siab,happy
cia siab,hope
paj,flower
hnav khaub ncaws,clothe
coj txawv txawv,strange
ploj,gone
luam,trade
suab,melody
dawm,trip
chaw ua hauj lwm,office
tau txais,receive
kab,row
lub qhov ncauj,mouth
kos,exact
lub cim,symbol
tuag,die
tsawg kawg,least
teeb meem,trouble
qw,shout
tsuas yog,except
sau,wrote
noob,seed
tone,tone
koom,join
qhia,suggest
huv si,clean
so,break
tus pojniam,lady
mev,yard
sawv,rise
phem,bad
tshuab,blow
roj,oil
ntshav,blood
kov,touch
loj hlob,grew
xees,cent
sib tov,mix
pab neeg,team
hlau,wire
nqi,cost
poob lawm,lost
xim av,brown
hnav,wear
vaj,garden
sib npaug zos,equal
xa,sent
xaiv,choose
poob,fell
haum,fit
ntws,flow
ncaj ncees,fair
bank,bank
sau,collect
txuag,save
tswj,control
zauv,decimal
pob ntseg,ear
lwm tus neeg,else
heev,quite
tsoo,broke
cov ntaub ntawv,case
nruab nrab,middle
tua,kill
tus tub,son
pas dej,lake
caij,moment
scale,scale
nrov,loud
caij nplooj ntoos hlav,spring
saib,observe
tus me nyuam,child
ncaj,straight
tus tsiaj ntawv,consonant
lub teb chaws,nation
phau ntawv txhais lus,dictionary
mis nyuj,milk
ceev,speed
txoj kev,method
hloov,organ
them,pay
muaj hnub nyoog,age
kem,section
hnav ris tsho,dress
huab,cloud
surprise,surprise
ntsiag to,quiet
pob zeb,stone
me me,tiny
nce lub roob,climb
txias,cool
tsim,design
pluag,poor
ntau,lot
xyaum ua tej yam,experiment
hauv qab,bottom
tseem ceeb,key
hlau,iron
ib,single
pas,stick
ca,flat
nees nkaum,twenty
daim tawv nqaij,skin
luag,smile
crease,crease
qhov,hole
dhia,jump
tus me nyuam,baby
yim,eight
lub zos,village
ntsib,meet
paus,root
yuav,buy
tsa,raise
daws,solve
hlau,metal
seb,whether
laub,push
xya,seven
pawg lus,paragraph
thib peb,third
yuav,shall
tsis tshua muaj lub,held
cov plaub hau,hair
piav qhia txog,describe
ua noj,cook
pem teb,floor
tog twg los,either
tau,result
hlawv,burn
toj,hill
muaj kev nyab xeeb,safe
miv,cat
xyoo pua,century
xav txog,consider
hom,type
txoj cai lij choj,law
me ntsis,bit
ntug dej hiav txwv,coast
daim ntawv luam,copy
kab lus,phrase
ntsiag to,silent
siab,tall
xuab zeb,sand
av,soil
yob,roll
kub,temperature
ntiv tes,finger
kev lag luam,industry
nqi,value
sib ntaus,fight
dag,lie
beat,beat
muaj siab,excite
tej yam ntuj tso,natural
saib,view
siab,sense
peev,capital
yuav tsis,won’t
lub rooj zaum,chair
txaus ntshai,danger
txiv hmab txiv ntoo,fruit
nplua nuj,rich
tuab,thick
tub rog,soldier
cov txheej txheem,process
khiav lag luam,operate
xyaum,practice
cais,separate
nyuaj,difficult
tus kws kho mob,doctor
thov,please
tiv thaiv,protect
tav su,noon
qoob loo,crop
niaj hnub,modern
keeb,element
ntaus,hit
me nyuam kawm ntawv,student
ces kaum,corner
tog,party
mov,supply
uas nws,whose
nrhiav,locate
nplhaib,ring
cim,character
kab,insect
ntes tau,caught
lub sij hawm,period
qhia,indicate
xov tooj cua,radio
hais lus,spoke
atom,atom
tib neeg,human
keeb kwm,history
nyhuv,effect
hluav taws xob,electric
cia siab tias,expect
pob txha,bone
rail,rail
xav txog tej yam,imagine
muab,provide
pom zoo,agree
yog li,thus
maj mam,gentle
poj niam,woman
nom,captain
twv,guess
tsim nyog,necessary
ntse,sharp
tis,wing
tsim,create
neeg nyob ze,neighbor
ntxuav,wash
ntaus pob,bat
es,rather
neeg coob coob,crowd
pob kws,corn
piv,compare
paj huam,poem
hlua,string
tswb,bell
nyob ntawm seb,depend
nqaij,meat
xuas,rub
tube,tube
naas ej,famous
duas,dollar
kwj,stream
ntshai,fear
pom,sight
nyias,thin
daim duab peb sab,triangle
ntiaj chaw,planet
hurry,hurry
Hmoob,chief
colony,colony
moos,clock
kuv,mine
khi,tie
nkag mus,enter
loj,major
tshiab,fresh
nrhiav,search
xa,send
daj,yellow
phom,gun
cia,allow
sau,print
tuag,dead
chaw,spot
suab puam,desert
nplua,suit
tam sim no,current
nqa,lift
sawv,rose
tuaj txog,arrive
tswv,master
khiav,track
niam txiv,parent
ntug dej,shore
division,division
daim ntawv,sheet
substance,substance
nyiam,favor
txuas,connect
post,post
siv,spend
chord,chord
muaj roj,fat
zoo siab,glad
thawj,original
sib qhia,share
chaw nres tsheb,station
txiv,dad
cij,bread
them,charge
kom,proper
bar,bar
kev,offer
ntu,segment
qhev,slave
os,duck
instant,instant
kev ua lag luam,market
degree,degree
populate,populate
qaib,chick
Nyob zoo,dear
yeeb ncuab,enemy
teb,reply
haus dej,drink
tshwm sim,occur
kev pab txhawb nqa,support
hais lus,speech
qhov,nature
ntau yam,range
zog,steam
tsa suab,motion
txoj kev,path
kua,liquid
cag ntoo,log
meant,meant
quotient,quotient
cov hniav,teeth
plhaub,shell
caj dab,neck
oxygen,oxygen
qab zib,sugar
tuag,death
zoo nkauj,pretty
kev txawj,skill
cov poj niam,women
lub caij,season
daws,solution
hlau nplaum,magnet
silver,silver
ua tsaug,thank
ceg ntseeg tus,branch
match,match
tom qab,suffix
tshwj xeeb tshaj yog,especially
Fig,fig
ntshai,afraid
lossis loj,huge
tus muam,sister
cov hlau,steel
sib tham txog,discuss
pem hauv ntej,forward
zoo sib xws,similar
coj,guide
kev,experience
qhab nia,score
Kua,apple
yuav,bought
coj,led
twawb,pitch
tsho tiv no,coat
huab hwm coj,mass
card,card
band,band
hlua,rope
plam,slip
yeej,win
kev npau suav,dream
thaum yav tsaus ntuj,evening
mob,condition
pub,feed
cuab tam,tool
tag nrho,total
yooj yim,basic
tsis hnov tsw,smell
hav,valley
los yog,nor
ob,double
rooj zaum,seat
mus ntxiv,continue
block,block
daim ntawv,chart
lub kaus mom,hat
muag,sell
kawm tau zoo,success
lub tuam txhab,company
rho,subtract
kev tshwm sim,event
xyov,particular
deal,deal
luam dej,swim
lub sij hawm,term
rov qab,opposite
tus poj niam,wife
khau,shoe
xub pwg,shoulder
kis,spread
kho,arrange
yeej thoj nam,camp
txua,invent
paj rwb,cotton
yug,born
txiav txim,determine
quart,quart
cuaj,nine
tsheb,truck
suab nrov,noise
theem,level
lub caij nyoog,chance
sib sau ua ke,gather
khw,shop
stretch,stretch
muab pov,throw
ci,shine
vaj tse,property
kem,column
qauv,molecule
xaiv,select
tsis ncaj ncees lawm,wrong
grey,gray
rov,repeat
tsum,require
broad,broad
npaj,prepare
ntsev,salt
lub qhov ntswg,nose
plural,plural
txoj kev chim siab,anger
daim ntawv thov,claim
teb chaws,continent
