အဖြစ်,as
သစ်တော,forest
ထိုင်,sit
လူမျိုး,race
ပြတင်းပေါက်,window
စတိုးဆိုင်,store
နွေရာသီ,summer
မီးရထား,train
အိပ်,sleep
သက်သေပြ,prove
Lone,lone
ခြေထောက်,leg
လေ့ကျင့်,exercise
နံရံ,wall
ဖမ်း,catch
တောင်ပေါ်မှာ,mount
အလို,wish
မိုးကောင်းကင်,sky
ပျဉ်ပြား,board
ဝမ်းမြောက်သောစိတ်,joy
ဆောင်းတွင်း,winter
sat,sat
ကျမ်းစာ၌လာသည်,written
ရိုင်းသော,wild
တူရိယာ,instrument
ထားရှိမည်,kept
ဖန်ခွက်,glass
မြက်,grass
နွားမ,cow
အလုပ်,job
အစပ်,edge
အမှတ်လက္ခဏာ,sign
အလည်အပတ်,visit
အတိတ်,past
ပျော့ပျောင်း,soft
ပျော်စရာ,fun
ပြောင်လက်တောက်ပသော,bright
ဓာတ်ငွေ့,gas
ရာသီဥတုက,weather
လ,month
သန်း,million
ဝက်ဝံ,bear
အပြီးသတ်,finish
မင်္ဂလာရှိသော,happy
မျှော်လင့်ချက်,hope
ပန်း,flower
အဝတ်နှင့်ဖုံးလွှမ်း,clothe
ထူးဆန်းတဲ့,strange
သွားကြောင်း,gone
ကုန်သွယ်,trade
တေးသွား,melody
ခရီးစဉ်,trip
ရုံး,office
ခံယူ,receive
အတန်း,row
ပါးစပ်,mouth
အတိအကျ,exact
အထိမ်းအမှတ်,symbol
သေဆုံး,die
အနည်းဆုံး,least
ဒုက္ခ,trouble
အော်,shout
မှတပါး,except
ရေးသားခဲ့သည်,wrote
အစေ့,seed
အသံ,tone
ပူးပေါင်း,join
အကြံပြု,suggest
သန့်ရှင်းသော,clean
ချိုး,break
အမျိုးသမီး,lady
ခြံထဲမှာ,yard
တက်,rise
ဆိုးသော,bad
ထိုးနှက်,blow
ဆီ,oil
သှေး,blood
တို့,touch
ကြီးပြင်းလာ,grew
ရာခိုင်,cent
ရောနှော,mix
အဖွဲ့,team
ဝါယာကြိုး,wire
ကုန်ကျစရိတ်,cost
ပျောက်ဆုံး,lost
ညိုသော,brown
ဝတ်ဆင်,wear
ဥယျာဉ်,garden
တူညီသော,equal
စေလွှတ်,sent
ရှေးခယျြ,choose
လဲကျ,fell
မထိုက်မတန်,fit
စီးဆင်း,flow
တရားမျှတတဲ့,fair
ကမ်း,bank
စုဝေး,collect
ကယ်ဆယ်,save
ထိန်းချုပ်မှု,control
ဆယ်လီ,decimal
နား,ear
အခြားမည်,else
လုံးလုံး,quite
ချိုးဖဲ့,broke
အမှု,case
အလယ်,middle
သတ်ဖြတ်,kill
သား,son
အင်းအိုင်,lake
တခဏ,moment
စကေး,scale
အသံကျယ်သော,loud
စိမ့်စမ်း,spring
စောင့်ရှောက်,observe
ကလေး,child
တည့်တည့်,straight
ဗျည်း,consonant
လူမျိုးသည်,nation
အဘိဓါန်,dictionary
နို့,milk
အရှိန်,speed
နည်းလမ်း,method
ကိုယ်အင်္ဂါ,organ
အခပေး,pay
အသက်အရွယ်,age
အပိုင်း,section
အဝတ်အစား,dress
မိုဃ်းတိမ်သည်,cloud
အံ့သြ,surprise
တိတ်ဆိတ်သော,quiet
ကျောက်သည်,stone
အလွန်သေးငယ်သော,tiny
တက်,climb
အေးချမ်းသော,cool
ပုံစံ,design
ဆင်းရဲသော,poor
အများကြီး,lot
စမ်းသပ်မှု,experiment
အောက်ခြေ,bottom
သော့,key
သံ,iron
တခုတည်းသော,single
တုတ်,stick
ပြားချပ်ချပ်,flat
နှစ်ဆယ်,twenty
အသားအရေ,skin
ပွုံးရယျ,smile
တွန့်,crease
အပေါက်,hole
ခုန်,jump
ကလေး,baby
ရှစ်,eight
ရွာ,village
ဆုံ,meet
အမြစ်,root
မဝယ်,buy
မြှင့်တင်,raise
ဖြေရှင်းပေး,solve
သတ္တုဒြပ်စင်,metal
ဖြစ်စေ,whether
တွန်း,push
ခုနှစ်,seven
စာပိုဒ်,paragraph
တတိယ,third
မည်,shall
ကျင်းပ,held
ဆံပင်,hair
ဖေါ်ပြ,describe
ချက်ပြုတ်,cook
အထပ်,floor
ဖြစ်စေ,either
ရလဒ်,result
မီးလောင်,burn
တောင်တော်,hill
ဘေးကင်းလုံခြုံ,safe
ကြောင်,cat
ရာစု,century
စဉ်းစားပါ,consider
ပုံစံ,type
ပညတ္တိကျမ်း,law
bit နဲ့,bit
ပင်လယ်ကမ်း,coast
မိတ္တူ,copy
ထားသောစာပိုဒ်တိုများ,phrase
အသံတိတ်,silent
မြင့်သော,tall
သဲ,sand
မြေဆီလွှာ,soil
အလိပ်,roll
အပူအအေး,temperature
လက်ညှိုးထိုး,finger
စက်မှုလုပ်ငန်း,industry
အဘိုး,value
တိုကျပှဲ,fight
မုသား,lie
ရိုက်,beat
excite,excite
သဘာဝက,natural
အမြင်,view
အာရုံ,sense
မြို့တော်,capital
မသွားဘူး,won’t
ကုလားထိုင်,chair
အန္တရာယ်,danger
အသီး,fruit
ကြွယ်ဝသော,rich
ထူသော,thick
စစ်သား,soldier
ဖြစ်စဉ်,process
လည်ပတ်,operate
အလေ့အကျင့်,practice
သီးခြား,separate
ခက်ခဲ,difficult
ဆရာဝန်,doctor
ကျေးဇူးပြု,please
ကာကွယ်,protect
မွန်းတည့်,noon
အသီးအနှံ,crop
ခေတ်သစ်,modern
ဓါတ်,element
ထိုး,hit
ကျောင်းသား,student
ထောင့်,corner
ပါတီ,party
ပေးသွင်း,supply
မည်သူ၏,whose
နေရာချထား,locate
လက်စွပ်,ring
ဇာတ်ကောင်စရိုက်,character
ပိုးကောင်,insect
ဖမ်းမိ,caught
ကာလ,period
ညွှန်ပြ,indicate
ရေဒီယို,radio
စကားပြော,spoke
အက်တမ်,atom
လူ့,human
သမိုင်း,history
အကျိုး,effect
လျှပ်စစ်,electric
မြျှောလငျ့,expect
အရိုး,bone
ရထားလမ်း,rail
စိတ်ကူး,imagine
ပေး,provide
သဘောတူ,agree
ထိုသို့,thus
နူးညံ့သိမ်မွေ့,gentle
မိန်းမ,woman
ကပ္ပတိန်,captain
တှေးဆ,guess
လိုအပ်သော,necessary
ထက်သော,sharp
အတောင်,wing
ဖန်တီး,create
အိမ်နီးချင်း,neighbor
ရေချိုး,wash
လင်းနို့,bat
ထက်,rather
လူစုလူဝေး,crowd
ပြောင်းဖူး,corn
နှိုင်းယှဉ်ကြည့်,compare
ကဗျာတစ်ပုဒ်,poem
ကြိုး,string
ခေါင်းလောင်း,bell
မှီခို,depend
အသား,meat
ပွတ်တိုက်,rub
ပြွန်,tube
ကျော်ကြား,famous
ဒေါ်လာစျေး,dollar
စမ်းချောင်း,stream
ကြောက်လန့်,fear
မျက်မှောက်,sight
ပိန်သော,thin
တြိဂံ,triangle
ဂြိုဟ်,planet
အလျင်စလို,hurry
ကာကွယ်ရေးဦးစီးချုပ်,chief
ကိုလိုနီ,colony
နာရီ,clock
သတ္တုတွင်း,mine
လည်စည်း,tie
ဝင်ရောက်,enter
ဗိုလ်မှူး,major
လတ်ဆတ်သော,fresh
ရှာဖွေရေး,search
ပေးပို့,send
ဝါသော,yellow
သေနတ်,gun
ခွင့်ပြု,allow
ပုံနှိပ်,print
သေသော,dead
အစက်,spot
သဲကန္တာရ,desert
ဝတ်စုံ,suit
ယခု,current
ဓာတ်လှေကား,lift
နှင်းဆီ,rose
ရောက်လာ,arrive
မာစတာ,master
အရာ,track
မိဘတစ်,parent
ကမ်း,shore
အချင်းချင်းကွဲပြားခြင်း,division
စာရွက်,sheet
ပစ္စည်းဥစ္စာ,substance
ကြေးဇူး,favor
ဆက်,connect
တိုင်,post
သုံးစှဲ,spend
ကြိုး,chord
ဆီ,fat
ဝမ်းမြောက်ခြင်း,glad
မူရင်း,original
ဝေစု,share
ဘူတာရုံ,station
အဖေ,dad
ပေါင်မုန့်,bread
တာဝန်ခံ,charge
သင့်လျော်သော,proper
bar မှာ,bar
ပေးကမ်း,offer
မြွှာ,segment
ကျွန်,slave
ဘဲ,duck
ခဏ,instant
ဈေးကွက်,market
ဒီဂရီ,degree
နေထိုင်စေ,populate
ယင်း,chick
ချစ်လှစွာသော,dear
ရန်သူ,enemy
ပြန်ကြားချက်,reply
သောက်စရာ,drink
ဖြစ်ပျက်,occur
ထောက်ပံ့,support
မိန့်ခွန်း,speech
သဘာဝ,nature
အကွာအဝေး,range
ရေနွေးငွေ့,steam
ရွေ့လျားမှု,motion
လမ်းကြောင်းကို,path
အရည်,liquid
တုံး,log
ရည်ရွယ်,meant
လဒ်,quotient
အံသွားခဲ,teeth
shell ကို,shell
လည်ပင်း,neck
အောက်စီဂျင်,oxygen
သကြား,sugar
သေဆုံးခြင်း,death
လှပသော,pretty
ကျွမ်းကျင်မှု,skill
အမျိုးသမီးများ,women
ရာသီ,season
ဖြေရှင်းချက်,solution
သံလိုက်,magnet
ငွေကို,silver
ကျေးဇူးတင်,thank
အကိုင်း,branch
မီးခြစ်,match
နောက်ဆက်,suffix
အထူးသဖြင့်,especially
သဖန်းသီး,fig
ကြောက်လန့်,afraid
ကြီးမားသော,huge
အစ်မ,sister
သံမဏိ,steel
ဆွေးနွေး,discuss
ရှေ့သို့,forward
အလားတူ,similar
လမ်းညွှန်,guide
အတွေ့အကြုံ,experience
နိုင်ပြီ,score
ပန်းသီး,apple
ကိုဝယ်ယူ,bought
အယ်လ်အီးဒီ,led
ကတ္တရာစေး,pitch
ကုတ်အင်္ကျီ,coat
အစုလိုက်အပြုံလိုက်,mass
ကဒ်,card
တီးဝိုင်း,band
ကြိုး,rope
စလစ်,slip
အောင်မြင်,win
အိပ်မက်,dream
ညနေ,evening
အခြေအနေ,condition
အစာ,feed
ဒီ tool,tool
စုစုပေါင်း,total
အခြေခံပညာ,basic
အနံ့,smell
တောင်ကြား,valley
မသာ,nor
ကို double,double
ထိုင်ခုံ,seat
ဆက်ပြီး,continue
ပိတ်ဆို့,block
ဇယား,chart
ဦးထုပ်,hat
ရောင်းချ,sell
အောင်မြင်ခြင်း,success
ကုမ္ပဏီ,company
အနုတ်,subtract
အဖြစ်အပျက်,event
အထူးသဖြင့်,particular
စာချုပ်,deal
ရေကူး,swim
သက်တမ်း,term
ဆန့်ကျင်ဘက်,opposite
ဇနီး,wife
ဖိနပ်,shoe
ပခုံး,shoulder
ပျံ့နှံ့,spread
စီစဉ်,arrange
စခန်း,camp
တီထွင်,invent
ဝါ,cotton
မွေးဖွားလာ,born
သတ်မှတ်,determine
ဆေးမြီးတို,quart
ကိုး,nine
ထရပ်ကား,truck
ဆူညံသံ,noise
အဆင့်,level
အခွင့်အလမ်း,chance
စုရုံး,gather
ကုန်ဆိုင်,shop
ဆန့်,stretch
ပစ်,throw
တောက်ပ,shine
ပစ္စည်းဥစ္စာပိုင်ဆိုင်မှု,property
ကော်လံ,column
မော်လီကျူး,molecule
ကိုရွေးပါ,select
မှားသော,wrong
မီးခိုးရောင်,gray
ထပ်,repeat
တောင်းဆို,require
ကျယ်ပြန့်,broad
ပြင်ဆင်ထား,prepare
ဆား,salt
နှာခေါင်း,nose
၏အများကိန်း,plural
အမျက်ဒေါသ,anger
တောင်းဆိုမှု,claim
တိုက်,continent
