bilang,as
karaniwan,common
ginto,gold
posible,possible
eroplano,plane
stead,stead
dry,dry
Wonder,wonder
patawanin,laugh
libo,thousand
nakaraan,ago
Pinatatakbo ng,ran
suriin,check
laro,game
hugis,shape
Tutumbas,equate
mainit,hot
tamaan,miss
nagdala,brought
init,heat
snow,snow
gulong,tire
dalhin,bring
yes,yes
malayo,distant
punuin,fill
silangan,east
pintahan,paint
wika,language
kasama ng,among
yunit,unit
kapangyarihan,power
bayan,town
mainam,fine
tiyak,certain
lumipad,fly
mahulog,fall
pangunahan,lead
sigaw,cry
dark,dark
makina,machine
tala,note
maghintay,wait
plano,plan
pigura,figure
star,star
kahon,box
pangngalan,noun
patlang,field
pahinga,rest
tama,correct
magagawa,able
pound,pound
tapos,done
beauty,beauty
biyahe,drive
nakatayo,stood
may,contain
front,front
magturo,teach
linggo,week
panghuling,final
ibinigay,gave
berde,green
oh,oh
mabilis,quick
bumuo,develop
karagatan,ocean
mainit-init,warm
libre,free
minutong,minute
malakas,strong
espesyal na,special
isip,mind
sa likod ng,behind
malinaw,clear
buntot,tail
gumawa,produce
katunayan,fact
puwang,space
narinig,heard
pinakamahusay,best
oras,hour
mas mabuti,better
totoo,true
sa panahon ng,during
daang,hundred
lima,five
tandaan,remember
hakbang,step
maagang,early
matagalan,hold
kanluran,west
lupa,ground
interes,interest
maabot,reach
mabilis,fast
pandiwa,verb
kantahin,sing
makinig,listen
anim,six
talahanayan,table
paglalakbay,travel
mas,less
umaga,morning
sampu,ten
simple,simple
ilang,several
patinig,vowel
patungo,toward
digmaan,war
mag-ipon,lay
laban,against
pattern,pattern
mabagal,slow
center,center
pag-ibig,love
tao,person
pera,money
maghatid,serve
lumitaw,appear
kalsada,road
mapa,map
ulan,rain
panuntunan,rule
namamahala sa,govern
hilahin,pull
malamig,cold
notice,notice
boses,voice
enerhiya,energy
Hunt,hunt
malamang,probable
kama,bed
kapatid na lalaki,brother
itlog,egg
pagsakay,ride
cell,cell
maniwala,believe
marahil,perhaps
pumili,pick
walang anu-ano,sudden
bilangin,count
parisukat,square
dahilan,reason
haba,length
katawanin,represent
sining,art
paksa,subject
rehiyon,region
laki,size
mag-iba,vary
tumira,settle
magsalita,speak
timbang,weight
pangkalahatan,general
yelo,ice
bagay,matter
lupon,circle
pares,pair
isama,include
hatiin,divide
pantig,syllable
pyeltro,felt
malaki at maganda,grand
ball,ball
pa,yet
alon,wave
drop,drop
puso,heart
am,am
kasalukuyan,present
mabigat,heavy
sayaw,dance
engine,engine
posisyon,position
braso,arm
malawak,wide
layag,sail
materyal,material
maliit na bahagi,fraction
gubat,forest
umupo,sit
lahi,race
window,window
tindahan,store
tag-araw,summer
tren,train
tulog,sleep
patunayan,prove
kaisa-isa,lone
binti,leg
pagsasanay,exercise
pader,wall
catch,catch
may kabit,mount
nais,wish
langit,sky
board,board
kagalakan,joy
taglamig,winter
Sab,sat
nakasulat,written
ligaw,wild
instrumento,instrument
pinananatiling,kept
salamin,glass
damo,grass
baka,cow
trabaho,job
gilid,edge
lagdaan,sign
pagbisita,visit
nakalipas,past
malambot,soft
magsaya,fun
maliwanag,bright
gas,gas
lagay ng panahon,weather
buwan,month
milyon,million
madala,bear
tapusin,finish
masaya,happy
Umaasa,hope
bulaklak,flower
damitan,clothe
kakaiba,strange
nawala,gone
kalakalan,trade
Melody,melody
paglalakbay,trip
opisina,office
tumanggap,receive
hilera,row
bibig,mouth
eksaktong,exact
simbolo,symbol
mamatay,die
hindi bababa sa,least
pag-,trouble
sigaw,shout
maliban sa,except
Isinulat ni,wrote
buto,seed
tono,tone
sumali,join
iminumungkahi,suggest
malinis,clean
bakasyon,break
ginang ng bansa,lady
bakuran,yard
tumaas,rise
masama,bad
pumutok,blow
langis,oil
dugo,blood
kalabitin,touch
lumago,grew
sentimo,cent
paghaluin,mix
koponan,team
wire,wire
gastos,cost
nawala,lost
kayumanggi,brown
magsuot,wear
hardin,garden
kapantay,equal
ipinadala,sent
piliin,choose
patumbahin,fell
umangkop,fit
dumaloy,flow
makatarungan,fair
bangko,bank
mangolekta,collect
i-save ang,save
kontrol,control
decimal,decimal
tainga,ear
iba pa,else
medyo,quite
sinira,broke
kaso,case
gitna,middle
pumatay,kill
anak,son
dagat-dagatan,lake
sandali,moment
iskala,scale
malakas,loud
tagsibol,spring
obserbahan,observe
anak,child
tuwid,straight
katinig,consonant
bansa,nation
diksyunaryo,dictionary
gatas,milk
bilis,speed
pamamaraan,method
organ,organ
bayaran,pay
edad,age
seksyon,section
damit,dress
cloud,cloud
sorpresa,surprise
tahimik,quiet
bato,stone
maliit na maliit,tiny
umakyat,climb
malamig,cool
disenyo,design
mahirap,poor
marami,lot
eksperimento,experiment
ilalim,bottom
key,key
bakal,iron
single,single
stick,stick
flat,flat
dalawampu’t,twenty
balat,skin
ngiti,smile
crease,crease
butas,hole
tumalon,jump
sanggol,baby
walo,eight
nayon,village
matugunan,meet
ugat,root
bumili,buy
taasan,raise
malutas,solve
metal,metal
kung,whether
push,push
pito,seven
talata,paragraph
ikatlong,third
tiyak,shall
pinigilang,held
buhok,hair
ilarawan,describe
tagaluto,cook
palapag,floor
alinman sa,either
resulta,result
sumunog,burn
burol,hill
ligtas,safe
pusa,cat
siglo,century
isaalang-alang,consider
uri ng,type
batas,law
bit,bit
baybayin,coast
kopya,copy
parirala,phrase
walang sinasabi,silent
matangkad,tall
ng buhangin,sand
lupa,soil
roll,roll
temperatura,temperature
daliri,finger
industriya,industry
halaga,value
lumaban,fight
kasinungalingan,lie
matalo,beat
gumising,excite
natural,natural
pagtingin,view
pakiramdam,sense
kapital,capital
hindi maaari,won’t
silya,chair
panganib,danger
prutas,fruit
mayaman,rich
makapal,thick
kawal,soldier
proseso,process
magpatakbo,operate
kasanayan,practice
hiwalay,separate
mahirap,difficult
manggagamot,doctor
mangyaring,please
ipagtanggol,protect
tanghali,noon
crop,crop
modernong,modern
elemento,element
pindutin ang,hit
mag-aaral,student
sulok,corner
partido,party
panustos,supply
kung saan ang,whose
hanapin,locate
singsing,ring
katangian,character
insekto,insect
nahuli,caught
panahon,period
ipahiwatig,indicate
radyo,radio
nagsalita,spoke
atom,atom
pantao,human
kasaysayan,history
epekto,effect
de-kuryenteng,electric
inaasahan,expect
buto,bone
rail,rail
isipin,imagine
magbigay,provide
Sumasang-ayon,agree
kaya,thus
magiliw,gentle
babae,woman
kapitan,captain
hulaan,guess
kinakailangan,necessary
matalim,sharp
wing,wing
lumikha,create
kapit-bahay,neighbor
wash,wash
bat,bat
sa lalong maliwanag,rather
karamihan ng tao,crowd
mais,corn
ihambing,compare
tula,poem
string,string
kampanilya,bell
depende,depend
karne,meat
kuskusin,rub
tube,tube
sikat,famous
dollar,dollar
stream,stream
takot,fear
paningin,sight
manipis,thin
tatsulok,triangle
planeta,planet
magmadali,hurry
mahalaga sa lahat,chief
kolonya,colony
orasan,clock
minahan,mine
itali,tie
magpasok,enter
pangunahing,major
sariwa,fresh
paghahanap,search
magpadala ng,send
dilaw,yellow
gun,gun
pumayag,allow
naka-print,print
patay,dead
spot,spot
disyerto,desert
suit,suit
kasalukuyan,current
pag-angat,lift
tumaas,rose
dumating,arrive
master,master
track,track
magulang,parent
baybayin,shore
dibisyon,division
sheet,sheet
bagay,substance
paboran,favor
ikonekta,connect
post,post
gumastos,spend
chord,chord
taba,fat
natutuwa,glad
orihinal,original
magbahagi,share
station,station
ama,dad
tinapay,bread
sumingil,charge
mga pangngalang,proper
bar,bar
alok,offer
segment,segment
alipin,slave
pato,duck
instant,instant
merkado,market
digri,degree
mapuno,populate
Chick,chick
mahal,dear
kaaway,enemy
sumagot,reply
inumin,drink
maganap,occur
suporta,support
na salita,speech
likas na katangian,nature
hanay,range
steam,steam
galaw,motion
landas,path
likido,liquid
mag-log,log
nakalaan lamang ito,meant
quotient,quotient
ngipin,teeth
shell,shell
leeg,neck
oxygen,oxygen
asukal,sugar
kamatayan,death
medyo,pretty
kasanayan,skill
kababaihan,women
season,season
solusyon,solution
magneto,magnet
pilak,silver
pasasalamat,thank
sangay,branch
pagtutugma,match
suffix,suffix
lalo na,especially
fig,fig
takot,afraid
malaking,huge
kapatid na babae,sister
asero,steel
talakayin,discuss
pasulong,forward
katulad,similar
patnubayan,guide
karanasan,experience
iskor,score
mansanas,apple
bumili,bought
humantong,led
pitch,pitch
amerikana,coat
masa,mass
kard,card
band,band
ng lubid,rope
isuot na madali,slip
panalo,win
mangarap,dream
gabi,evening
kalagayan,condition
feed,feed
kasangkapan,tool
kabuuan,total
pangunahing,basic
amoy,smell
lambak,valley
at hindi rin,nor
double,double
upuan,seat
magpatuloy,continue
bloke,block
tsart,chart
sumbrero,hat
ibenta,sell
tagumpay,success
kompanya,company
ibawas,subtract
kaganapan,event
partikular na,particular
deal,deal
lumangoy,swim
taning,term
sa tapat ng,opposite
asawa,wife
sapatos,shoe
balikat,shoulder
pagkalat,spread
mag-ayos,arrange
kampo,camp
imbentuhin,invent
koton,cotton
isinilang,born
matukoy,determine
quart,quart
siyam,nine
trak,truck
ingay,noise
antas,level
pagkakataon,chance
magtipon,gather
shop,shop
banatin,stretch
magtapon,throw
kinang,shine
ari-arian,property
haligi,column
Molekyul,molecule
piliin,select
mali,wrong
kulay-abo,gray
paulit-ulit na,repeat
nangangailangan ng,require
malawak,broad
maghanda,prepare
asin,salt
ilong,nose
pangmaramihang,plural
galit,anger
ang claim,claim
kontinente,continent
