olarak,as
kuş,bird
yakında,soon
vücut,body
köpek,dog
aile,family
doğrudan,direct
poz,pose
bırakın,leave
şarkı,song
ölçmek,measure
kapı,door
ürün,product
siyah,black
kısa,short
rakam,numeral
sınıf,class
rüzgar,wind
soru,question
olur,happen
komple,complete
gemi,ship
alan,area
yarım,half
kaya,rock
sipariş,order
yangın,fire
güney,south
sorun,problem
parça,piece
söyledi,told
biliyordu,knew
geçmek,pass
beri,since
üst,top
bütün,whole
kral,king
sokak,street
inch,inch
çarpmak,multiply
hiçbir şey,nothing
ders,course
kalmak,stay
tekerlek,wheel
tam,full
kuvvet,force
mavi,blue
nesne,object
karar vermek,decide
yüzey,surface
derin,deep
ay,moon
ada,island
ayak,foot
sistem,system
meşgul,busy
Test,test
kayıt,record
tekne,boat
ortak,common
altın,gold
mümkün,possible
düzlem,plane
başkasının yeri,stead
kuru,dry
acaba,wonder
gülmek,laugh
bin,thousand
önce,ago
koştu,ran
kontrol,check
oyunu,game
şekil,shape
eşit,equate
sıcak,hot
özledim,miss
getirdi,brought
ısı,heat
kar,snow
lastik,tire
getirmek,bring
evet,yes
uzak,distant
doldurun,fill
doğu,east
boya,paint
dil,language
arasında,among
ünitesi,unit
güç,power
kasaba,town
ince,fine
belirli,certain
uçmak,fly
düşmek,fall
kurşun,lead
ağlamak,cry
karanlık,dark
makine,machine
notu,note
bekleyin,wait
planı,plan
rakam,figure
yıldız,star
kutu,box
i,noun
alan,field
gerisi,rest
doğru,correct
yetenekli,able
kiloluk,pound
bitti,done
güzellik,beauty
sürücü,drive
durdu,stood
içeren,contain
ön,front
öğretmek,teach
hafta,week
nihai,final
verdi,gave
yeşil,green
oh,oh
hızlı,quick
geliştirmek,develop
okyanus,ocean
sıcak,warm
ücretsiz,free
dakika,minute
güçlü,strong
özel,special
zihin,mind
arkasında,behind
açık,clear
kuyruk,tail
üretmek,produce
gerçek,fact
uzay,space
duydum,heard
en iyi,best
saat,hour
daha iyi,better
gerçek,true
sırasında,during
yüz,hundred
beş,five
hatırlıyorum,remember
adım,step
erken,early
tutun,hold
batı,west
zemin,ground
faiz,interest
ulaşmak,reach
hızlı,fast
fiil,verb
şarkı söylemek,sing
dinle,listen
altı,six
tablo,table
seyahat,travel
daha az,less
sabah,morning
on,ten
basit,simple
birkaç,several
ünlü,vowel
doğru,toward
savaş,war
koymak,lay
karşı,against
desen,pattern
yavaş,slow
merkezi,center
aşk,love
kişi,person
para,money
hizmet,serve
görünür,appear
yol,road
harita,map
yağmur,rain
kural,rule
idare,govern
Çek,pull
soğuk,cold
haber,notice
ses,voice
enerji,energy
avı,hunt
muhtemel,probable
yatak,bed
kardeş,brother
yumurta,egg
binmek,ride
hücre,cell
inanıyorum,believe
belki,perhaps
seçmek,pick
ani,sudden
saymak,count
kare,square
neden,reason
uzunluk,length
temsil,represent
sanat,art
konu,subject
bölge,region
boyut,size
değiştirmek,vary
yerleşmek,settle
konuşmak,speak
ağırlık,weight
genel,general
buz,ice
madde,matter
daire,circle
çifti,pair
dahil,include
bölmek,divide
hece,syllable
keçe,felt
büyük,grand
top,ball
henüz,yet
dalga,wave
bırakın,drop
kalp,heart
duyuyorum,am
mevcut,present
ağır,heavy
dans,dance
motor,engine
pozisyon,position
kol,arm
geniş,wide
yelken,sail
materyal,material
kesir,fraction
orman,forest
oturmak,sit
yarış,race
penceresi,window
mağaza,store
yaz,summer
tren,train
uyku,sleep
kanıtlamak,prove
yalnız,lone
bacak,leg
egzersiz,exercise
duvar,wall
catch,catch
dağ,mount
dilek,wish
gökyüzü,sky
kurulu,board
sevinç,joy
kış,winter
Cts,sat
yazılı,written
vahşi,wild
enstrüman,instrument
tuttu,kept
cam,glass
çim,grass
inek,cow
iş,job
kenar,edge
işareti,sign
ziyareti,visit
geçmiş,past
yumuşak,soft
eğlenceli,fun
parlak,bright
gaz,gas
hava,weather
ay,month
milyon,million
ayı,bear
bitirmek,finish
mutlu,happy
umut,hope
çiçek,flower
giydirmek,clothe
garip,strange
gitti,gone
ticaret,trade
melodi,melody
gezi,trip
ofis,office
almak,receive
satır,row
ağız,mouth
tam,exact
sembol,symbol
ölmek,die
en az,least
sorun,trouble
bağırmak,shout
hariç,except
yazdı,wrote
tohum,seed
sesi,tone
katılmak,join
önermek,suggest
temiz,clean
molası,break
bayan,lady
yarda,yard
yükselecek,rise
kötü,bad
darbe,blow
yağ,oil
kan,blood
dokunma,touch
büyüdü,grew
yüzde,cent
karıştırmak,mix
takım,team
tel,wire
maliyet,cost
kaybetti,lost
kahverengi,brown
giymek,wear
bahçe,garden
eşit,equal
gönderildi,sent
seçim,choose
düştü,fell
uygun,fit
akış,flow
adil,fair
banka,bank
toplamak,collect
kaydetmek,save
kontrolü,control
ondalık,decimal
kulak,ear
başka,else
oldukça,quite
kırdı,broke
dava,case
orta,middle
öldürmek,kill
oğlu,son
göl,lake
an,moment
ölçek,scale
yüksek sesle,loud
bahar,spring
gözlemlemek,observe
çocuk,child
düz,straight
ünsüz,consonant
ulus,nation
Sözlük,dictionary
süt,milk
hız,speed
yöntem,method
Organ,organ
ödeme,pay
yaş,age
bölüm,section
elbise,dress
bulut,cloud
sürpriz,surprise
sessiz,quiet
taş,stone
küçücük,tiny
tırmanış,climb
serin,cool
dizayn,design
kötü,poor
çok,lot
deneme,experiment
alt,bottom
anahtar,key
demir,iron
tek,single
sopa,stick
düz,flat
yirmi,twenty
cilt,skin
gülümseme,smile
kırışık,crease
delik,hole
atlama,jump
bebek,baby
sekiz,eight
köy,village
karşılamak,meet
kök,root
satın,buy
yükseltmek,raise
çözmek,solve
metal,metal
olsun,whether
it,push
yedi,seven
paragraf,paragraph
üçüncü,third
Shall,shall
tutulan,held
saç,hair
tanımlamak,describe
aşçı,cook
zemin,floor
ya da,either
sonuç,result
yanmak,burn
tepe,hill
güvenli,safe
kedi,cat
yüzyıl,century
düşünmek,consider
tipi,type
hukuk,law
bit,bit
sahil,coast
kopya,copy
ifade,phrase
sessiz,silent
uzun boylu,tall
kum,sand
toprak,soil
rulo,roll
sıcaklık,temperature
parmak,finger
sanayi,industry
değeri,value
kavga,fight
yalan,lie
yendi,beat
heyecanlandırmak,excite
doğal,natural
görünüm,view
sense,sense
sermaye,capital
olmaz,won’t
sandalye,chair
tehlike,danger
meyve,fruit
zengin,rich
kalın,thick
asker,soldier
süreç,process
işletmek,operate
uygulama,practice
ayrı,separate
zor,difficult
doktor,doctor
lütfen,please
korumak,protect
öğlen,noon
kırpma,crop
çağdaş,modern
eleman,element
vurmak,hit
öğrenci,student
köşe,corner
parti,party
besleme,supply
kimin,whose
yerleştirmek,locate
halka,ring
karakter,character
böcek,insect
yakalandı,caught
dönemi,period
göstermektedir,indicate
radyo,radio
konuştu,spoke
atomudur,atom
insan,human
geçmişi,history
etkisi,effect
elektrik,electric
bekliyoruz,expect
kemik,bone
demiryolu,rail
hayal,imagine
sağlamak,provide
katılıyorum,agree
böylece,thus
nazik,gentle
kadın,woman
kaptan,captain
sanırım,guess
gerekli,necessary
keskin,sharp
kanat,wing
oluşturmak,create
komşu,neighbor
yıkama,wash
yarasa,bat
yerine,rather
kalabalık,crowd
mısır,corn
karşılaştırma,compare
şiir,poem
dize,string
çan,bell
bağlı,depend
et,meat
ovmak,rub
tüp,tube
ünlü,famous
dolar,dollar
akışı,stream
korku,fear
görüş,sight
ince,thin
üçgen,triangle
gezegen,planet
acele,hurry
baş,chief
koloni,colony
saat,clock
mayın,mine
kravat,tie
girin,enter
büyük,major
taze,fresh
arama,search
göndermek,send
sarı,yellow
gun,gun
izin,allow
baskı,print
ölü,dead
nokta,spot
çöl,desert
takım elbise,suit
akım,current
asansör,lift
gül,rose
varmak,arrive
usta,master
iz,track
ebeveyn,parent
kıyı,shore
bölünme,division
levha,sheet
madde,substance
iyilik,favor
bağlamak,connect
sonrası,post
harcamak,spend
akor,chord
şişman,fat
memnun,glad
orijinal,original
payı,share
istasyon,station
baba,dad
ekmek,bread
şarj,charge
uygun,proper
bar,bar
teklif,offer
segmenti,segment
köle,slave
ördek,duck
anlık,instant
pazar,market
derecesi,degree
doldurmak,populate
civciv,chick
sevgili,dear
düşman,enemy
cevap,reply
içki,drink
meydana,occur
destek,support
konuşma,speech
doğa,nature
aralığı,range
buhar,steam
hareket,motion
yol,path
sıvı,liquid
log,log
demek,meant
bölüm,quotient
dişler,teeth
kabuk,shell
boyun,neck
oksijen,oxygen
şeker,sugar
ölüm,death
güzel,pretty
beceri,skill
kadın,women
sezon,season
çözüm,solution
mıknatıs,magnet
gümüş,silver
teşekkür ederim,thank
şube,branch
maç,match
sonek,suffix
özellikle,especially
incir,fig
korkuyor,afraid
büyük,huge
kardeş,sister
çelik,steel
tartışmak,discuss
ileri,forward
benzer,similar
kılavuz,guide
deneyim,experience
puan,score
elma,apple
satın aldı,bought
açtı,led
zift,pitch
ceket,coat
kitle,mass
kart,card
bant,band
halat,rope
kayma,slip
win,win
rüya,dream
akşam,evening
durumu,condition
beslemek,feed
aracı,tool
toplam,total
temel,basic
koku,smell
vadi,valley
ne,nor
çift,double
koltuk,seat
devam etmek,continue
bloğu,block
grafiği,chart
şapka,hat
satmak,sell
başarı,success
şirket,company
çıkarmak,subtract
olay,event
özellikle,particular
anlaşma,deal
yüzmek,swim
vadeli,term
karşısında,opposite
karısı,wife
ayakkabı,shoe
omuz,shoulder
yaymak,spread
düzenlemek,arrange
kamp,camp
icat,invent
pamuk,cotton
doğmuş,born
belirlemek,determine
kuart,quart
dokuz,nine
kamyon,truck
gürültü,noise
seviyesi,level
şans,chance
toplamak,gather
dükkan,shop
streç,stretch
atmak,throw
parlaklık,shine
mülkiyet,property
sütun,column
molekülü,molecule
seçin,select
yanlış,wrong
gri,gray
tekrar,repeat
gerektirir,require
geniş,broad
hazırlamak,prepare
tuz,salt
burun,nose
çoğul,plural
öfke,anger
iddia,claim
kıta,continent
