kao,as
igra,game
oblik,shape
izjednačiti,equate
vruće,hot
propustiti,miss
donio,brought
topline,heat
snijeg,snow
gume,tire
donijeti,bring
Da,yes
daleka,distant
popuniti,fill
istočno,east
slikati,paint
jezik,language
među,among
jedinica,unit
snaga,power
grad,town
fino,fine
siguran,certain
letjeti,fly
pasti,fall
dovesti,lead
krik,cry
mrak,dark
uređaj,machine
bilješka,note
čekati,wait
plan,plan
Slika,figure
zvijezda,star
kutija,box
imenica,noun
polje,field
ostatak,rest
točne,correct
u mogućnosti,able
funta,pound
učinjeno,done
ljepota,beauty
pogon,drive
stajao,stood
sadrže,contain
prednji,front
poučavati,teach
tjedan,week
konačni,final
dao,gave
zelena,green
oh,oh
Quick,quick
razviti,develop
Ocean,ocean
toplo,warm
besplatno,free
minuta,minute
jak,strong
poseban,special
um,mind
iza,behind
jasno,clear
rep,tail
proizvesti,produce
činjenica,fact
prostor,space
čula,heard
najbolje,best
sat,hour
bolje,better
pravi,true
vrijeme,during
sto,hundred
pet,five
zapamtite,remember
korak,step
rano,early
držati,hold
zapadno,west
tlo,ground
interes,interest
dostići,reach
brzo,fast
glagol,verb
pjevati,sing
slušaj,listen
šest,six
stol,table
putovanje,travel
manje,less
jutro,morning
deset,ten
jednostavan,simple
nekoliko,several
samoglasnik,vowel
prema,toward
rat,war
ležao,lay
protiv,against
uzorak,pattern
spor,slow
centar,center
volim,love
osoba,person
novac,money
služe,serve
pojaviti,appear
cesta,road
karta,map
kiša,rain
pravilo,rule
vladati,govern
povući,pull
hladnoće,cold
obavijest,notice
glas,voice
energije,energy
Hunt,hunt
vjerojatno,probable
krevet,bed
brat,brother
jaje,egg
vožnja,ride
stanica,cell
vjerujem,believe
možda,perhaps
brati,pick
nagli,sudden
računati,count
trg,square
razlog,reason
dužina,length
predstavljaju,represent
umjetnost,art
subjekt,subject
regija,region
veličina,size
razlikuju,vary
nastaniti,settle
govoriti,speak
težina,weight
opći,general
led,ice
stvar,matter
krug,circle
par,pair
uključuju,include
podijeli,divide
slog,syllable
osjećao,felt
veličanstven,grand
lopta,ball
još,yet
val,wave
ispustiti,drop
srce,heart
ja,am
prisutna,present
teško,heavy
ples,dance
motor,engine
položaj,position
ruka,arm
širok,wide
jedro,sail
materijal,material
razlomak,fraction
šuma,forest
sjediti,sit
utrka,race
prozor,window
trgovina,store
ljeto,summer
vlak,train
spavanje,sleep
dokazati,prove
usamljeni,lone
noga,leg
vježba,exercise
zid,wall
ulov,catch
Planina,mount
želite,wish
nebo,sky
peglanje,board
radost,joy
zima,winter
SAT,sat
napisano,written
divlja,wild
instrument,instrument
zadržao,kept
staklo,glass
trava,grass
krava,cow
posao,job
rub,edge
znak,sign
posjet,visit
prošlost,past
mekan,soft
zabava,fun
svijetle,bright
plin,gas
vremenska prognoza,weather
mjesec,month
milijuna,million
snositi,bear
finiš,finish
sretna,happy
nadam,hope
cvijet,flower
odijevate,clothe
čudno,strange
Otišli,gone
trgovina,trade
melodija,melody
putovanje,trip
ured,office
dobiti,receive
red,row
usta,mouth
točno,exact
simbol,symbol
umrijeti,die
najmanji,least
nevolja,trouble
povik,shout
osim,except
pisao,wrote
sjeme,seed
ton,tone
pridruže,join
predložiti,suggest
čist,clean
pauza,break
dama,lady
dvorište,yard
rasti,rise
loše,bad
udarac,blow
ulje,oil
krv,blood
touch,touch
rastao,grew
posto,cent
mix,mix
tim,team
žica,wire
trošak,cost
izgubljen,lost
smeđa,brown
nosite,wear
vrt,garden
jednaka,equal
poslao,sent
odaberite,choose
pao,fell
pristajati,fit
protok,flow
fer,fair
banka,bank
prikupiti,collect
spasiti,save
kontrola,control
decimale,decimal
uho,ear
drugo,else
sasvim,quite
razbio,broke
slučaj,case
srednji,middle
ubiti,kill
sin,son
jezero,lake
trenutak,moment
razmjera,scale
glasno,loud
proljeće,spring
promatrati,observe
dijete,child
ravno,straight
suglasnika,consonant
nacija,nation
rječnik,dictionary
mlijeko,milk
brzina,speed
način,method
orgulje,organ
platiti,pay
starost,age
dio,section
haljina,dress
oblak,cloud
iznenađenje,surprise
tiho,quiet
kamena,stone
maleni,tiny
uspon,climb
svjež,cool
dizajn,design
siromašnih,poor
puno,lot
eksperiment,experiment
dno,bottom
ključ,key
željezo,iron
pojedinačni,single
štap,stick
stan,flat
dvadesetak,twenty
koža,skin
osmijeh,smile
gužvanja,crease
rupa,hole
skočiti,jump
beba,baby
osam,eight
selo,village
Upoznajte,meet
korijen,root
kupi,buy
podizanje,raise
riješiti,solve
metala,metal
da li,whether
guranje,push
sedam,seven
stavak,paragraph
treći,third
mora,shall
održana,held
kosa,hair
opisati,describe
kuharica,cook
kat,floor
ili,either
rezultat,result
spali,burn
Hill,hill
sigurno,safe
mačka,cat
stoljeća,century
razmotriti,consider
Tip,type
zakon,law
malo,bit
obala,coast
kopija,copy
fraza,phrase
tihi,silent
visok,tall
pijesak,sand
tlo,soil
svitak,roll
temperatura,temperature
prst,finger
industriju,industry
vrijednost,value
borba,fight
laž,lie
pobijediti,beat
uzbuditi,excite
prirodni,natural
pogled,view
osjećaj,sense
kapitala,capital
neće,won’t
stolica,chair
opasnost,danger
voće,fruit
bogata,rich
debela,thick
vojnik,soldier
proces,process
raditi,operate
praksa,practice
zaseban,separate
teško,difficult
liječnik,doctor
molim,please
zaštititi,protect
podne,noon
usjev,crop
moderni,modern
Element,element
hit,hit
student,student
kutak,corner
stranka,party
opskrba,supply
čije,whose
locirati,locate
prsten,ring
karakter,character
insekata,insect
uhvaćen,caught
razdoblje,period
naznačiti,indicate
radio,radio
govorio,spoke
atom,atom
ljudsko,human
Povijest,history
posljedica,effect
električna,electric
očekujemo,expect
kosti,bone
željeznicom,rail
zamislite,imagine
predvidjeti,provide
Slažete,agree
tako,thus
nježan,gentle
žena,woman
kapetan,captain
pogađati,guess
neophodan,necessary
oštar,sharp
krilo,wing
stvoriti,create
susjed,neighbor
pranje,wash
šišmiš,bat
radije,rather
gomila,crowd
kukuruz,corn
usporedbu,compare
pjesma,poem
niz,string
zvono,bell
ovise,depend
meso,meat
trljati,rub
cijev,tube
poznati,famous
dolar,dollar
potok,stream
strah,fear
prizor,sight
tanak,thin
trokut,triangle
planet,planet
požuriti,hurry
glavni,chief
kolonija,colony
sat,clock
rudnik,mine
vezati,tie
ući,enter
glavni,major
svježi,fresh
pretraživanje,search
poslati,send
žuta,yellow
puška,gun
dopustiti,allow
Ispis,print
mrtvih,dead
mjesto,spot
pustinja,desert
odijelo,suit
tekući,current
lift,lift
ruža,rose
stići,arrive
majstor,master
staza,track
roditelj,parent
prikljucak,shore
podjela,division
list,sheet
tvar,substance
naklonost,favor
povezivanje,connect
poslije,post
potrošiti,spend
akord,chord
masti,fat
drago,glad
izvorna,original
udio,share
kolodvor,station
tata,dad
kruh,bread
naplatiti,charge
pravi,proper
bar,bar
ponuda,offer
segment,segment
rob,slave
patka,duck
Instant,instant
tržište,market
stepen,degree
naseliti,populate
pilić,chick
draga,dear
neprijatelj,enemy
odgovori,reply
piće,drink
pojaviti,occur
podrška,support
govor,speech
priroda,nature
domet,range
para,steam
prijedlog,motion
put,path
tekućina,liquid
klada,log
značio,meant
kvocijent,quotient
zubi,teeth
Shell,shell
vrat,neck
kisika,oxygen
šećer,sugar
smrt,death
prilično,pretty
vještina,skill
žene,women
sezona,season
otopina,solution
magnet,magnet
srebro,silver
zahvaljujem,thank
grana,branch
Susret,match
sufiks,suffix
pogotovo,especially
Slika,fig
bojati,afraid
ogroman,huge
sestra,sister
čelik,steel
raspravljati,discuss
naprijed,forward
sličan,similar
voditi,guide
iskustvo,experience
postići,score
jabuka,apple
kupio,bought
dovelo,led
Pitch,pitch
kaput,coat
masa,mass
kartice,card
bend,band
konop,rope
slip,slip
pobjeda,win
sanjati,dream
večer,evening
stanje,condition
hrane,feed
alat,tool
ukupan,total
osnovna,basic
miris,smell
dolina,valley
niti,nor
dvostruka,double
sjedište,seat
nastaviti,continue
blokirati,block
grafikon,chart
šešir,hat
prodajemo,sell
uspjeh,success
tvrtka,company
oduzmite,subtract
događaj,event
Konkretno,particular
dio,deal
kupanje,swim
pojam,term
nasuprot,opposite
žena,wife
cipela,shoe
ramena,shoulder
širenje,spread
urediti,arrange
kamp,camp
izmišljati,invent
pamuk,cotton
Born,born
utvrdilo,determine
pošteda,quart
devet,nine
kamion,truck
buka,noise
razina,level
šanse,chance
okupljaju,gather
dućan,shop
stretch,stretch
bacati,throw
sjaj,shine
svojstvo,property
stupac,column
molekula,molecule
odaberite,select
pogrešno,wrong
siv,gray
ponoviti,repeat
zahtijevati,require
široka,broad
pripremi,prepare
sol,salt
nos,nose
množini,plural
ljutnja,anger
tvrdnja,claim
kontinent,continent
