ਦੇ ਤੌਰ ਤੇ,as
ਆਇਆ ਸੀ,came
ਪ੍ਰਦਰਸ਼ਨ,show
ਨੂੰ ਹਰ,every
ਚੰਗਾ,good
ਮੈਨੂੰ,me
ਦੇਣ,give
ਸਾਡੇ,our
ਹੇਠ,under
ਨਾਮ,name
ਬਹੁਤ ਹੀ,very
ਦੁਆਰਾ,through
ਹੁਣੇ ਹੀ,just
ਫਾਰਮ ਨੂੰ,form
ਦੀ ਸਜ਼ਾ,sentence
ਮਹਾਨ,great
ਸੋਚਦੇ,think
ਦਾ ਕਹਿਣਾ ਹੈ,say
ਦੀ ਮਦਦ,help
ਖੋਜੋ,low
ਲਾਈਨ,line
ਵੱਖਰੇ ਹਨ,differ
ਵਾਰੀ,turn
ਕਾਰਨ,cause
ਬਹੁਤ ਕੁਝ,much
ਦਾ ਮਤਲਬ ਹੈ,mean
ਅੱਗੇ,before
ਮੂਵ,move
ਦਾ ਹੱਕ,right
ਉਹ ਮੁੰਡਾ,boy
ਪੁਰਾਣੀ,old
ਨੂੰ ਵੀ,too
ਉਸੇ ਹੀ,same
ਉਸ ਨੇ,she
ਸਾਰੇ,all
ਉੱਥੇ,there
ਜਦ,when
ਅਪ,up
ਵਰਤਣ,use
ਤੁਹਾਡੇ,your
ਤਰੀਕਾ ਹੈ,way
ਬਾਰੇ,about
ਬਹੁਤ ਸਾਰੇ,many
ਫਿਰ,then
ਨੂੰ,them
ਲਿਖਣ ਦੀ,write
ਸੀ,would
ਵਰਗੇ,like
ਇਸ ਲਈ,so
ਇਹ,these
ਉਸ ਨੂੰ,her
ਲੰਬੇ,long
ਕਰ,make
ਗੱਲ ਇਹ ਹੈ ਕਿ,thing
|ਵੇਖੋ,|,see
ਨੇ ਉਸ ਨੂੰ,him
ਦੇ ਦੋ,two
ਹੈ,has
ਦੇਖ,look
ਹੋਰ,more
ਦਿਨ ਦੇ,day
ਹੋ ਸਕਦਾ ਸੀ,could
ਜਾਣ,go
ਆ,come
ਨੇ ਕੀਤਾ,did
ਦਾ ਨੰਬਰ,number
ਆਵਾਜ਼,sound
ਕੋਈ ਵੀ,no
ਸਭ,most
ਲੋਕ,people
ਮੇਰੇ,my
ਵੱਧ,over
ਪਤਾ ਹੈ,know
ਪਾਣੀ ਦੀ,water
ਵੱਧ,than
ਕਾਲ ਦਾ,call
ਪਹਿਲੀ,first
ਜੋ,who
ਹੋ ਸਕਦਾ ਹੈ,may
ਡਾਊਨ,down
ਪਾਸੇ,side
ਕੀਤਾ ਗਿਆ,been
ਨੂੰ ਹੁਣ,now
ਲੱਭਣ ਲਈ,find
ਸਿਰ ’,head
ਖੜ੍ਹੇ,stand
ਆਪਣੇ ਹੀ,own
ਸਫ਼ਾ,page
ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ,should
ਦੇਸ਼ ’,country
ਪਾਇਆ,found
ਇਸ ਦਾ ਜਵਾਬ,answer
ਸਕੂਲ ਦੇ,school
ਵਾਧਾ,grow
ਦਾ ਅਧਿਐਨ,study
ਅਜੇ ਵੀ,still
ਸਿੱਖਣ,learn
ਬੂਟਾ,plant
ਦੇ ਕਵਰ,cover
ਭੋਜਨ,food
ਸੂਰਜ ਦੀ,sun
ਨੂੰ ਚਾਰ,four
ਦੇ ਵਿਚਕਾਰ,between
ਰਾਜ ਦੇ,state
ਰੱਖਣ,keep
ਅੱਖ,eye
ਕਦੇ ਵੀ,never
ਪਿਛਲੇ,last
ਦਿਉ,let
ਸੋਚਿਆ,thought
ਸ਼ਹਿਰ ਦੀ,city
ਰੁੱਖ ਨੂੰ,tree
ਪਾਰ,cross
ਫਾਰਮ ’,farm
ਹਾਰਡ,hard
ਸ਼ੁਰੂ ਕਰਨ,start
ਸ਼ਾਇਦ,might
ਕਹਾਣੀ,story
ਆਰਾ,saw
ਦੂਰ,far
ਸਮੁੰਦਰ ਦੇ,sea
ਖਿੱਚਣ,draw
ਨੂੰ ਛੱਡ,left
ਦੇਰ,late
ਰਨ,run
ਨਾਂ ਕਰੋ,don’t
ਜਦਕਿ,while
ਪ੍ਰੈੱਸ,press
ਬੰਦ ਕਰੋ,close
ਰਾਤ ਨੂੰ,night
ਦਾ ਅਸਲੀ,real
ਜ਼ਿੰਦਗੀ ਨੂੰ,life
ਕੁਝ,few
ਉੱਤਰ,north
ਦੀ ਕਿਤਾਬ,book
ਲੈ,carry
ਲੈ ਲਿਆ,took
ਵਿਗਿਆਨ ਦੇ,science
ਨੂੰ ਖਾਣ,eat
ਕਮਰੇ,room
ਦੋਸਤ,friend
ਸ਼ੁਰੂ ਕੀਤਾ,began
ਇਹ ਵਿਚਾਰ,idea
ਮੱਛੀ,fish
ਪਹਾੜ,mountain
ਰੂਕੋ,stop
ਇੱਕ ਵਾਰ,once
ਅਧਾਰ,base
ਸੁਣਦੇ,hear
ਘੋੜਾ,horse
ਕੱਟ,cut
ਇਹ ਯਕੀਨੀ,sure
ਜਾਗ,watch
ਰੰਗ ਹੈ,color
ਦਾ ਚਿਹਰਾ,face
ਲੱਕੜ ਦੇ,wood
ਮੁੱਖ,main
ਖੁੱਲ੍ਹਾ,open
ਲੱਗਦਾ ਹੈ,seem
ਇਕੱਠੇ ਹੋ ਕੇ,together
ਨੂੰ ਅਗਲੇ,next
|ਚਿੱਟੇ,|,white
ਬੱਚੇ,children
ਸ਼ੁਰੂ,begin
ਮਿਲੀ,got
ਤੁਰ,walk
ਉਦਾਹਰਨ,example
ਸੌਖਾ,ease
ਪੇਪਰ,paper
ਗਰੁੱਪ ਨੂੰ,group
ਨੂੰ ਹਮੇਸ਼ਾ,always
ਸੰਗੀਤ ਨੂੰ,music
ਜਿਹੜੇ,those
ਦੋਨੋ,both
ਨਿਸ਼ਾਨ,mark
ਅਕਸਰ,often
ਪੱਤਰ ’,letter
ਜਦ ਤੱਕ,until
ਮੀਲ,mile
ਨਦੀ,river
ਕਾਰ ਨੂੰ,car
ਪੈਰ,feet
ਦੀ ਦੇਖਭਾਲ,care
ਨੂੰ ਦੂਜੀ,second
ਕਾਫ਼ੀ,enough
ਸਮਤਲ,plain
ਕੁੜੀ ਨੂੰ,girl
ਆਮ,usual
ਨੌਜਵਾਨ,young
ਤਿਆਰ,ready
ਉਪਰੋਕਤ,above
ਕਦੇ,ever
ਲਾਲ,red
ਸੂਚੀ ਵਿੱਚ,list
ਪਰ,though
ਲੱਗਦਾ ਹੈ,feel
ਦੇ ਭਾਸ਼ਣ,talk
ਪੰਛੀ,bird
ਜਲਦੀ ਹੀ,soon
ਸਰੀਰ ਨੂੰ,body
ਕੁੱਤੇ,dog
ਪਰਿਵਾਰ ਨੂੰ,family
ਸਿੱਧੀ,direct
ਪੈਦਾ,pose
ਨੂੰ ਛੱਡ,leave
ਗੀਤ,song
ਮਾਪ,measure
ਦਾ ਦਰਵਾਜ਼ਾ,door
ਉਤਪਾਦ,product
ਕਾਲਾ,black
ਛੋਟਾ,short
ਅੰਕ,numeral
ਕਲਾਸ ਦੇ,class
ਹਵਾ,wind
ਸਵਾਲ ਦਾ,question
ਕੀ ਹੋ,happen
ਮੁਕੰਮਲ ਹੋ,complete
ਜਹਾਜ਼,ship
ਖੇਤਰ ਦੇ,area
ਅੱਧੇ,half
ਚੱਟਾਨ,rock
ਕ੍ਰਮ,order
ਨੂੰ ਅੱਗ,fire
ਦੱਖਣ,south
ਸਮੱਸਿਆ ਦਾ,problem
ਟੁਕੜੇ,piece
ਨੂੰ ਦੱਸਿਆ ਕਿ,told
ਪਤਾ ਸੀ,knew
ਪਾਸ,pass
ਦੇ ਬਾਅਦ,since
ਚੋਟੀ ਦੇ,top
ਸਾਰੀ,whole
ਰਾਜੇ ਨੇ,king
ਗਲੀ ’,street
ਇੰਚ,inch
ਗੁਣਾ,multiply
ਕੁਝ ਵੀ,nothing
ਦਾ ਕੋਰਸ,course
ਰਹਿਣ,stay
ਚੱਕਰ,wheel
ਪੂਰੇ,full
ਫੋਰਸ,force
ਨੀਲਾ,blue
ਇਕਾਈ,object
ਇਹ ਫੈਸਲਾ,decide
ਸਤਹ,surface
ਡੂੰਘੇ,deep
ਚੰਦ,moon
ਟਾਪੂ ’,island
ਪੈਰ,foot
ਸਿਸਟਮ ਨੂੰ,system
ਵਿਅਸਤ,busy
ਦਾ ਟੈਸਟ,test
ਦਾ ਰਿਕਾਰਡ,record
ਕਿਸ਼ਤੀ,boat
ਆਮ,common
ਸੋਨੇ ਦਾ,gold
ਸੰਭਵ ਹੋ ਸਕੇ,possible
ਜਹਾਜ਼,plane
ਬੈਠ,stead
ਖੁਸ਼ਕ,dry
ਹੈਰਾਨ,wonder
ਹੱਸ,laugh
ਹਜ਼ਾਰ,thousand
ਸਾਲ,ago
ਭੱਜ,ran
ਚੈੱਕ ਕਰੋ,check
ਖੇਡ ਹੈ,game
ਸ਼ਕਲ,shape
ਜ਼ਿੱਲਤ,equate
ਗਰਮ,hot
ਮਿਸ,miss
ਲੈ ਆਏ,brought
ਗਰਮੀ ਦੇ,heat
ਬਰਫ ਦੀ,snow
ਟਾਇਰ,tire
ਲਿਆਉਣ,bring
ਜੀ,yes
ਦੂਰ,distant
ਨੂੰ ਭਰਨ,fill
ਪੂਰਬ,east
ਚਿੱਤਰਕਾਰੀ,paint
ਭਾਸ਼ਾ ਦੀ,language
ਆਪਸ ਵਿੱਚ,among
ਯੂਨਿਟ ਨੂੰ,unit
ਬਿਜਲੀ ਦੀ,power
ਕਸਬੇ,town
ਜੁਰਮਾਨਾ,fine
ਕੁਝ ਖਾਸ,certain
ਉੱਡਦੀ,fly
ਡਿੱਗ,fall
ਦੀ ਅਗਵਾਈ,lead
ਪੁਕਾਰ,cry
ਹਨੇਰੇ,dark
ਮਸ਼ੀਨ ਨੂੰ,machine
ਨੋਟ,note
ਉਡੀਕ ਕਰੋ,wait
ਯੋਜਨਾ ਨੂੰ,plan
ਇਹ ਅੰਕੜਾ,figure
ਸਿਤਾਰਾ,star
ਬਾਕਸ ਨੂੰ,box
ਨਾਮ,noun
ਖੇਤਰ,field
ਬਾਕੀ ਦੇ,rest
ਨੂੰ ਸਹੀ,correct
ਯੋਗ,able
ਸੇਰ,pound
ਸਮਾਪਤ,done
ਸੁੰਦਰਤਾ,beauty
ਡਰਾਈਵ ਨੂੰ,drive
ਖੜ੍ਹੇ ਸਨ,stood
ਸ਼ਾਮਿਲ ਹਨ,contain
ਸਾਹਮਣੇ,front
ਨੂੰ ਸਿੱਖਿਆ,teach
ਹਫ਼ਤੇ ਦੇ,week
ਫਾਈਨਲ,final
ਦੇ ਦਿੱਤੀ ਹੈ,gave
ਹਰੇ,green
ਓਹੁ,oh
ਤੇਜ਼,quick
ਦਾ ਵਿਕਾਸ,develop
ਸਮੁੰਦਰ,ocean
ਨਿੱਘਾ,warm
ਮੁਫ਼ਤ,free
ਮਿੰਟ,minute
ਮਜ਼ਬੂਤ,strong
ਵਿਸ਼ੇਸ਼,special
ਮਨ,mind
ਪਿੱਛੇ,behind
ਆਸਮਾਨ ਸਾਫ,clear
ਪੂਛ,tail
ਉਤਪਾਦਨ,produce
ਅਸਲ ’,fact
ਸਪੇਸ,space
ਸੁਣਿਆ,heard
ਵਧੀਆ,best
ਘੰਟੇ,hour
ਬਿਹਤਰ,better
|ਸੱਚ ਹੈ,|,true
ਦੇ ਦੌਰਾਨ,during
ਸੌ,hundred
ਪੰਜ,five
ਯਾਦ ਹੈ,remember
ਕਦਮ ਹੈ,step
ਦੇ ਸ਼ੁਰੂ,early
ਕੇ ਰੱਖੋ,hold
ਪੱਛਮ,west
ਜ਼ਮੀਨ,ground
ਵਿਆਜ,interest
ਤੱਕ ਪਹੁੰਚਣ,reach
ਫਾਸਟ,fast
ਕ੍ਰਿਆ,verb
ਦਾ ਗਾਇਨ,sing
ਗੱਲ ਸੁਣੋ,listen
ਛੇ,six
ਸਾਰਣੀ ਵਿੱਚ,table
ਯਾਤਰਾ,travel
ਘੱਟ,less
ਸਵੇਰ ਦੇ,morning
ਦਸ,ten
ਸਧਾਰਨ,simple
ਕਈ ਕਈ,several
ਸ੍ਵਰ,vowel
ਵੱਲ,toward
ਜੰਗ ਦੇ,war
ਰੱਖਣਗੇ,lay
ਦੇ ਖਿਲਾਫ,against
ਪੈਟਰਨ,pattern
ਹੌਲੀ,slow
ਕਦਰ,center
ਪਿਆਰ ਦੀ,love
ਵਿਅਕਤੀ ਨੂੰ,person
ਪੈਸੇ ਨੂੰ,money
ਦੀ ਸੇਵਾ,serve
ਵਿਖਾਈ,appear
ਸੜਕ ’,road
|ਨਕਸ਼ਾ,|,map
|, ਮੈਸਿਡੋਨਿਆ,|,rain
ਨਿਯਮ ਦੇ,rule
ਰਾਜ,govern
ਖਿੱਚੋ,pull
ਠੰਡੇ,cold
ਨੂੰ ਨੋਟਿਸ,notice
ਦੀ ਆਵਾਜ਼,voice
ਊਰਜਾ,energy
ਸ਼ਿਕਾਰ,hunt
ਸੰਭਵ,probable
ਮੰਜੇ,bed
ਭਰਾ ਨੂੰ,brother
ਅੰਡੇ,egg
ਸਫ਼ਰ,ride
ਸੈੱਲ,cell
ਤੇ ਵਿਸ਼ਵਾਸ,believe
ਸ਼ਾਇਦ,perhaps
ਚੁੱਕਣ,pick
ਅਚਾਨਕ,sudden
ਗਿਣੋ,count
ਵਰਗ,square
ਇਸ ਦਾ ਕਾਰਨ,reason
ਲੰਬਾਈ,length
ਦੀ ਨੁਮਾਇੰਦਗੀ,represent
ਕਲਾ,art
ਵਿਸ਼ੇ,subject
ਇਸ ਖੇਤਰ,region
ਦਾ ਆਕਾਰ,size
ਵੱਖ ਵੱਖ,vary
ਵਸਣ,settle
ਗੱਲ ਕਰੋ,speak
ਦਾ ਭਾਰ,weight
ਆਮ ਤੌਰ ’ਤੇ,general
ਆਈਸ,ice
ਇਸ ਮਾਮਲੇ,matter
ਚੱਕਰ,circle
ਜੋੜਾ,pair
ਸ਼ਾਮਲ ਹਨ,include
ਪਾੜਾ,divide
ਿਸਹਾਰੀ,syllable
ਮਹਿਸੂਸ ਕੀਤਾ,felt
ਸ਼ਾਨਦਾਰ,grand
ਬਾਲ,ball
ਹਾਲੇ ਤੱਕ,yet
ਲਹਿਰ,wave
ਡ੍ਰੌਪ,drop
ਦਿਲ ਦੇ,heart
am,am
ਮੌਜੂਦ,present
ਭਾਰੀ,heavy
ਨਾਚ,dance
ਇੰਜਣ ਨੂੰ,engine
ਸਥਿਤੀ,position
ਆਰਮ,arm
ਚੌੜਾ,wide
ਜਹਾਜ਼,sail
ਸਮੱਗਰੀ,material
|ਬਾਗ,|,fraction
ਜੰਗਲ,forest
ਬੈਠ,sit
ਦੀ ਦੌੜ,race
ਵਿੰਡੋ ਨੂੰ,window
ਸਟੋਰ,store
ਗਰਮੀ ਦੇ,summer
ਰੇਲ ਗੱਡੀ,train
ਨ ਦ,sleep
ਸਾਬਤ,prove
ਇਕੋ,lone
ਲੱਤ,leg
ਕਸਰਤ,exercise
ਕੰਧ,wall
ਕੈਚ,catch
ਮਾਊਟ,mount
|ਚਾਹੁੰਦੇ ਹੋ,|,wish
ਅਸਮਾਨ,sky
ਬੋਰਡ,board
ਦੀ ਖ਼ੁਸ਼ੀ,joy
ਸਰਦੀ,winter
ਨੂੰ ਸਤਿ,sat
ਲਿਖਿਆ,written
ਜੰਗਲੀ,wild
ਸਾਧਨ,instrument
ਰੱਖਿਆ,kept
ਗਲਾਸ,glass
ਘਾਹ,grass
ਗਊ,cow
ਦੀ ਨੌਕਰੀ,job
ਕਿਨਾਰੇ,edge
ਨਿਸ਼ਾਨ ਨੂੰ,sign
ਦੌਰੇ ਨੂੰ,visit
ਪਿਛਲੇ,past
ਸਾਫਟ,soft
ਮਜ਼ੇਦਾਰ,fun
ਚਮਕਦਾਰ,bright
ਗੈਸ,gas
ਮੌਸਮ ’,weather
ਮਹੀਨੇ ਦੇ,month
ਲੱਖ,million
ਰੱਖਣਾ,bear
ਤੇ ਮੁਕੰਮਲ,finish
ਖੁਸ਼,happy
ਆਸ ਹੈ,hope
ਫੁੱਲ,flower
ਸਜਾਵੇਗਾ,clothe
ਅਜੀਬ,strange
ਚੁੱਕਾ,gone
ਵਪਾਰ,trade
ਭਜਨ,melody
ਦਾ ਦੌਰਾ,trip
ਦੇ ਦਫ਼ਤਰ,office
ਪ੍ਰਾਪਤ,receive
ਕਤਾਰ,row
ਦੇ ਮੂੰਹ,mouth
ਸਹੀ,exact
ਪ੍ਰਤੀਕ,symbol
ਮਰ,die
ਘੱਟ,least
ਸਮੱਸਿਆ ਹੈ,trouble
ਦੇਵੇਤੇ,shout
ਨੂੰ ਛੱਡ ਕੇ,except
ਨੇ ਲਿਖਿਆ,wrote
ਬੀਜ,seed
ਟੋਨ,tone
ਵਿੱਚ ਸ਼ਾਮਲ,join
ਸੁਝਾਅ,suggest
ਨੂੰ ਸਾਫ਼,clean
ਬ੍ਰੇਕ,break
ਔਰਤ,lady
ਯਾਰਡ,yard
ਵਧ,rise
ਬੁਰਾ,bad
ਉੱਡਿਆ,blow
ਤੇਲ ਦੀ,oil
ਖੂਨ ਦੇ,blood
ਨੂੰ ਛੂਹ,touch
ਦਾ ਵਾਧਾ ਹੋਇਆ,grew
ਫੀਸਦੀ,cent
ਮਿਕਸ,mix
ਦੀ ਟੀਮ,team
ਤਾਰ,wire
ਲਾਗਤ,cost
ਹਾਰ ਦਾ,lost
ਭੂਰਾ,brown
ਪਹਿਨਣ,wear
ਬਾਗ,garden
ਬਰਾਬਰ,equal
ਨੂੰ ਭੇਜਿਆ,sent
ਦੀ ਚੋਣ,choose
ਡਿੱਗ,fell
ਫਿੱਟ,fit
ਵਹਿਣਾ,flow
ਮੇਲਾ,fair
ਬਕ,bank
ਇਕੱਠਾ ਕਰਦੇ,collect
ਨੂੰ ਬਚਾ,save
ਦਾ ਕੰਟਰੋਲ,control
ਦਸ਼ਮਲਵ,decimal
ਕੰਨ,ear
ਕਿਸੇ ਹੋਰ ਨੂੰ,else
ਕਾਫ਼ੀ,quite
ਤੋੜ,broke
ਕੇਸ ਦੀ,case
ਮੱਧ,middle
ਨੂੰ ਮਾਰਨ,kill
ਪੁੱਤਰ ਨੂੰ,son
ਝੀਲ,lake
ਪਲ,moment
ਪੈਮਾਨੇ,scale
ਉੱਚੀ,loud
ਬਸੰਤ,spring
ਦੀ ਪਾਲਣਾ,observe
ਬੱਚੇ ਨੂੰ,child
ਸਿੱਧਾ,straight
ਅੱਖਰ ਦੇ,consonant
ਕੌਮ ਨੂੰ,nation
ਕੋਸ਼,dictionary
ਦੁੱਧ,milk
ਦੀ ਗਤੀ,speed
ਢੰਗ ਹੈ,method
ਅੰਗ,organ
ਦਾ ਭੁਗਤਾਨ,pay
ਉਮਰ ਦੇ,age
ਅਨੁਭਾਗ,section
ਪਹਿਰਾਵਾ,dress
ਦੇ ਬੱਦਲ,cloud
ਹੈਰਾਨੀ,surprise
ਚੁੱਪ,quiet
ਪੱਥਰ ਨੂੰ,stone
ਛੋਟੇ,tiny
ਚੜ੍ਹਨਾ,climb
ਠੰਡਾ,cool
ਡਿਜ਼ਾਇਨ,design
ਗਰੀਬ,poor
ਬਹੁਤ ਕੁਝ,lot
ਤਜਰਬੇ,experiment
ਤਲ,bottom
ਕੁੰਜੀ ਨੂੰ,key
ਲੋਹੇ,iron
ਇੱਕਲੇ,single
ਸਟਿੱਕ,stick
ਫਲੈਟ,flat
ਵੀਹ,twenty
ਚਮੜੀ ਨੂੰ,skin
ਮੁਸਕਾਨ,smile
ਕ੍ਰੀਜ਼,crease
ਮੋਰੀ,hole
ਛਾਲ,jump
ਬੱਚੇ ਨੂੰ,baby
ਅੱਠ,eight
ਪਿੰਡ ਦੇ,village
ਮਿਲਦੇ ਹਨ,meet
ਰੂਟ,root
ਖਰੀਦਣ,buy
ਚੁੱਕਣ,raise
ਨੂੰ ਹੱਲ,solve
ਮੈਟਲ,metal
ਕੀ,whether
ਧੱਕਾ,push
ਸੱਤ,seven
ਪੈਰਾ,paragraph
|ਤੀਜਾ,|,third
ਦੇਣਗੇ,shall
ਚਾਰ,held
ਵਾਲ,hair
ਦਾ ਵਰਣਨ,describe
ਕੁੱਕ,cook
ਮੰਜ਼ਿਲ,floor
ਕੋਈ,either
ਨਤੀਜਾ,result
ਨੂੰ ਸਾੜ,burn
ਪਹਾੜੀ,hill
ਸੁਰੱਖਿਅਤ,safe
ਬਿੱਲੀ,cat
ਸਦੀ,century
ਤੇ ਵਿਚਾਰ,consider
ਦੀ ਕਿਸਮ,type
ਕਾਨੂੰਨ ਨੂੰ,law
ਬਿੱਟ,bit
ਤਟ,coast
ਕਾਪੀ,copy
ਵਾਕੰਸ਼,phrase
ਚੁੱਪ,silent
ਲੰਬਾ,tall
ਰੇਤ,sand
ਮਿੱਟੀ,soil
ਰੋਲ,roll
ਤਾਪਮਾਨ ਦਾ,temperature
ਫਿੰਗਰ,finger
ਉਦਯੋਗ ਨੂੰ,industry
ਮੁੱਲ ਨੂੰ,value
ਲੜਾਈ,fight
ਝੂਠ,lie
ਹਰਾਇਆ,beat
ਉਤਸਾਹਿਤ,excite
ਕੁਦਰਤੀ,natural
ਝਲਕ,view
ਭਾਵਨਾ,sense
ਦੀ ਰਾਜਧਾਨੀ,capital
ਨਾ ਕਰੇਗਾ,won’t
ਕੁਰਸੀ,chair
ਖ਼ਤਰਾ,danger
ਫਲ ਨੂੰ,fruit
ਅਮੀਰ,rich
ਮੋਟੀ,thick
ਸਿਪਾਹੀ,soldier
ਕਾਰਜ ਨੂੰ,process
ਨੂੰ ਸੰਚਲਿਤ,operate
ਅਭਿਆਸ,practice
ਵੱਖਰੇ,separate
ਮੁਸ਼ਕਲ ਹੈ,difficult
ਡਾਕਟਰ ਨੂੰ,doctor
ਕ੍ਰਿਪਾ,please
ਦੀ ਰੱਖਿਆ,protect
ਦੁਪਹਿਰ,noon
ਦੀ ਫਸਲ,crop
ਆਧੁਨਿਕ,modern
ਤੱਤ,element
ਹਿੱਟ,hit
ਵਿਦਿਆਰਥੀ ਦੀ,student
ਕੋਨੇ,corner
ਪਾਰਟੀ ਦੇ,party
ਦੀ ਸਪਲਾਈ,supply
ਜਿਸ ਦੇ,whose
ਲੱਭਣ,locate
ਰਿੰਗ,ring
ਅੱਖਰ ਨੂੰ,character
ਕੀੜੇ,insect
ਫੜਿਆ,caught
ਦੀ ਮਿਆਦ,period
ਪਤਾ ਲੱਗਦਾ ਹੈ,indicate
ਰੇਡੀਓ,radio
ਗੱਲ,spoke
ਐਟਮ,atom
ਮਨੁੱਖੀ,human
ਇਤਿਹਾਸ ਨੂੰ,history
ਪ੍ਰਭਾਵ ਨੂੰ,effect
ਬਿਜਲੀ ਦੇ,electric
ਉਮੀਦ ਹੈ,expect
ਹੱਡੀ,bone
ਰੇਲ,rail
ਕਲਪਨਾ ਕਰੋ,imagine
ਮੁਹੱਈਆ,provide
ਸਹਿਮਤ,agree
ਇਸ ਪ੍ਰਕਾਰ,thus
ਕੋਮਲ,gentle
ਔਰਤ ਨੂੰ,woman
ਕਪਤਾਨ,captain
guess,guess
ਦੀ ਲੋੜ,necessary
ਤਿੱਖੀ,sharp
ਵਿੰਗ,wing
ਨੂੰ ਬਣਾਉਣ,create
ਨੇੜਲਾ,neighbor
ਧੋਣ,wash
ਬੱਲੇਬਾਜ਼ੀ,bat
ਨਾ ਕਿ,rather
ਭੀੜ,crowd
ਮਕਈ,corn
ਦੀ ਤੁਲਨਾ ਕਰੋ,compare
ਕਵਿਤਾ,poem
ਸਤਰ,string
ਘੰਟੀ,bell
ਨਿਰਭਰ,depend
ਮੀਟ,meat
ਰੱਬ ਦੀ,rub
ਟਿਊਬ,tube
ਮਸ਼ਹੂਰ,famous
ਡਾਲਰ ਦੇ,dollar
ਸਟਰੀਮ,stream
ਡਰ ਹੈ,fear
ਨਜ਼ਰ,sight
ਪਤਲੇ,thin
ਤਿਕੋਣ,triangle
ਗ੍ਰਹਿ,planet
ਛੇਤੀ ਖਿਝ,hurry
ਦੇ ਮੁਖੀ,chief
ਬਸਤੀ,colony
ਘੜੀ ਦੀ,clock
ਮੇਰੇ ਲਈ,mine
ਟਾਈ,tie
