kao,as
rekao,told
znao,knew
prolaze,pass
s obzirom,since
Top,top
cijeli,whole
kralj,king
Street,street
inča,inch
pomnožite,multiply
ništa,nothing
Naravno,course
ostati,stay
kotača,wheel
punu,full
snagu,force
blue,blue
objekta,object
odlučiti,decide
površinu,surface
duboko,deep
moon,moon
otok,island
stopala,foot
sustav,system
zauzet,busy
test,test
zapis,record
boat,boat
zajedničke,common
zlato,gold
moguć,possible
avion,plane
Stead,stead
suho,dry
Pitam,wonder
laugh,laugh
hiljada,thousand
prije,ago
Ran,ran
provjeriti,check
igra,game
oblik,shape
izjednačavaju,equate
hot,hot
promašaj,miss
donio,brought
toplota,heat
snijeg,snow
gume,tire
donijeti,bring
da,yes
udaljene,distant
popuniti,fill
East,east
bojiti,paint
jezik,language
među,among
jedinica,unit
snaga,power
grad,town
u redu,fine
određene,certain
fly,fly
pasti,fall
vodi,lead
Cry,cry
dark,dark
mašina,machine
note,note
čekati,wait
plan,plan
Slika,figure
star,star
box,box
imenica,noun
terenu,field
ostalo,rest
ispravan,correct
u stanju,able
pound,pound
Gotovo,done
ljepote,beauty
pogon,drive
stajao,stood
sadrže,contain
prednji,front
naučiti,teach
sedmica,week
konačne,final
dao,gave
zelena,green
oh,oh
brzo,quick
razvijaju,develop
Ocean,ocean
toplo,warm
free,free
minute,minute
jaka,strong
posebnim,special
uma,mind
iza,behind
jasno,clear
rep,tail
proizvode,produce
činjenica,fact
prostora,space
čuo,heard
najbolji,best
sata,hour
bolje,better
istina,true
vrijeme,during
stotinu,hundred
pet,five
zapamtite,remember
korak,step
rano,early
držite,hold
West,west
terenu,ground
interesa,interest
dostići,reach
brzo,fast
glagol,verb
pjevati,sing
slušati,listen
šest,six
stol,table
putovanja,travel
manje,less
jutro,morning
deset,ten
jednostavna,simple
nekoliko,several
samoglasnik,vowel
ka,toward
rat,war
ležala,lay
protiv,against
obrazac,pattern
spor,slow
centar,center
love,love
osoba,person
novac,money
služe,serve
pojavljuju,appear
putu,road
Karta,map
kiše,rain
pravilo,rule
upravljaju,govern
povući,pull
hladno,cold
najave,notice
glas,voice
energije,energy
Hunt,hunt
vjerojatno,probable
krevet,bed
brata,brother
jaje,egg
Ride,ride
cell,cell
vjeruju,believe
Možda,perhaps
pick,pick
naglo,sudden
računati,count
trg,square
razlog,reason
dužina,length
predstavljaju,represent
art,art
predmet,subject
regija,region
veličina,size
variraju,vary
izmirenje,settle
govori,speak
težina,weight
General,general
ice,ice
pitanje,matter
krug,circle
par,pair
uključuju,include
divide,divide
slog,syllable
osećao,felt
Grand,grand
lopta,ball
Još,yet
wave,wave
drop,drop
srce,heart
am,am
prisutni,present
Heavy,heavy
ples,dance
motor,engine
položaj,position
ruku,arm
širok,wide
Sail,sail
materijala,material
frakcija,fraction
Forest,forest
sjediti,sit
rase,race
prozor,window
Store,store
ljeto,summer
voz,train
spavanje,sleep
dokazati,prove
Lone,lone
nogu,leg
vježbe,exercise
zid,wall
Catch,catch
Mount,mount
žele,wish
Sky,sky
board,board
Joy,joy
zime,winter
Sat,sat
pisani,written
Wild,wild
instrument,instrument
čuva,kept
staklo,glass
trave,grass
krava,cow
posao,job
edge,edge
znak,sign
Posjeti,visit
prošlost,past
soft,soft
zabava,fun
svijetle,bright
gas,gas
Vrijeme,weather
mjesec,month
milijuna,million
snositi,bear
Završi,finish
sretan,happy
nadam se da,hope
Flower,flower
odijevanje,clothe
čudno,strange
gone,gone
trgovinu,trade
melody,melody
putovanje,trip
ured,office
primaju,receive
red,row
usta,mouth
tačan,exact
simbol,symbol
umrijeti,die
najmanje,least
nevolje,trouble
Shout,shout
osim,except
napisao,wrote
sjemena,seed
ton,tone
pristupiti,join
ukazuju,suggest
clean,clean
break,break
Lady,lady
dvorište,yard
rasti,rise
loše,bad
udarac,blow
ulja,oil
krvi,blood
dodirnite,touch
rastao,grew
cent,cent
mix,mix
team,team
žice,wire
troškova,cost
izgubio,lost
smeđe,brown
nose,wear
vrt,garden
jednake,equal
poslao,sent
odaberite,choose
pao,fell
odgovarati,fit
protok,flow
Fair,fair
banke,bank
prikuplja,collect
spasiti,save
kontrole,control
decimalni,decimal
uho,ear
ostalo,else
sasvim,quite
slomio,broke
slučaju,case
srednji,middle
ubiti,kill
sina,son
jezera,lake
trenutak,moment
skale,scale
glasno,loud
proljeće,spring
poštuju,observe
dijete,child
straight,straight
suglasnik,consonant
nacije,nation
rječnik,dictionary
mlijeka,milk
brzina,speed
metoda,method
organ,organ
platiti,pay
Starost,age
odjeljku,section
dress,dress
Cloud,cloud
iznenađenje,surprise
mirna,quiet
kamena,stone
maleni,tiny
penjanje,climb
Cool,cool
dizajn,design
loše,poor
mnogo,lot
eksperiment,experiment
dnu,bottom
ključ,key
željeza,iron
jedan,single
stick,stick
stan,flat
dvadeset,twenty
kože,skin
smile,smile
gužvanja,crease
rupa,hole
skočiti,jump
baby,baby
osam,eight
sela,village
Meet,meet
root,root
kupiti,buy
podizanje,raise
riješiti,solve
metala,metal
da li je,whether
push,push
sedam,seven
stava,paragraph
treći,third
će,shall
held,held
kosu,hair
opisuju,describe
kuvarica,cook
kat,floor
bilo,either
rezultat,result
burn,burn
Hill,hill
sigurno,safe
cat,cat
stoljeća,century
razmotriti,consider
Tip,type
Zakon,law
bit,bit
obale,coast
kopija,copy
frazu,phrase
Silent,silent
visok,tall
pijesak,sand
zemljišta,soil
Roll,roll
temperature,temperature
prst,finger
industriju,industry
vrijednost,value
borba,fight
laž,lie
tukli,beat
uzbuditi,excite
prirodni,natural
Pogledaj,view
smislu,sense
kapitala,capital
neće,won’t
stolica,chair
opasnosti,danger
voća,fruit
bogata,rich
debljine,thick
vojnik,soldier
proces,process
rade,operate
praksi,practice
odvojena,separate
težak,difficult
doktor,doctor
molim,please
štite,protect
podne,noon
Crop,crop
moderne,modern
element,element
hit,hit
student,student
kutak,corner
stranka,party
napajanja,supply
čije,whose
locirati,locate
Ring,ring
karakter,character
insekata,insect
uhvaćen,caught
periodu,period
ukazuju,indicate
radio,radio
krakova,spoke
atom,atom
ljudskih,human
Istorija,history
učinak,effect
električni,electric
očekujem,expect
kosti,bone
rail,rail
zamislite,imagine
pružaju,provide
slažu,agree
na taj način,thus
blagim,gentle
žena,woman
kapetan,captain
Valjda,guess
potrebno,necessary
oštre,sharp
krilo,wing
stvoriti,create
susjed,neighbor
pranje,wash
šišmiš,bat
radije,rather
publika,crowd
kukuruz,corn
usporediti,compare
pesma,poem
string,string
Bell,bell
zavisi,depend
meso,meat
rub,rub
tube,tube
poznati,famous
dolara,dollar
stream,stream
straha,fear
vida,sight
tanka,thin
trokut,triangle
planet,planet
požuri,hurry
glavni,chief
kolonija,colony
sat,clock
mine,mine
tie,tie
ući,enter
glavni,major
svježe,fresh
Pretraga,search
pošalji,send
žut,yellow
pištolj,gun
omogućiti,allow
print,print
mrtav,dead
mjesto,spot
pustinja,desert
odijelo,suit
struja,current
lift,lift
ruža,rose
doći,arrive
master,master
track,track
roditelj,parent
shore,shore
Division,division
list,sheet
supstance,substance
favorizuje,favor
povezivanje,connect
post,post
potrošiti,spend
akord,chord
mast,fat
zadovoljan,glad
original,original
Share,share
stanice,station
Tata,dad
kruh,bread
napunite,charge
pravi,proper
bar,bar
ponuda,offer
Segment,segment
slave,slave
Duck,duck
Instant,instant
tržište,market
stupanj,degree
naseliti,populate
Chick,chick
drag,dear
neprijatelj,enemy
odgovori,reply
piće,drink
doći,occur
podrška,support
govora,speech
prirode,nature
Raspon,range
pare,steam
Motion,motion
put,path
tekućina,liquid
log,log
značilo,meant
kvocijent,quotient
zubi,teeth
Shell,shell
vrat,neck
kisika,oxygen
šećera,sugar
smrt,death
prilično,pretty
vještina,skill
žene,women
sezona,season
rješenje,solution
magnet,magnet
srebro,silver
thank,thank
ogranak,branch
meč,match
sufiks,suffix
posebno,especially
smokva,fig
strah,afraid
ogromna,huge
sestra,sister
čelika,steel
razgovarati,discuss
naprijed,forward
slično,similar
guide,guide
iskustvo,experience
rezultat,score
Apple,apple
kupio,bought
na čelu,led
pitch,pitch
kaput,coat
mase,mass
karticu,card
band,band
rope,rope
Slip,slip
win,win
sanjati,dream
večer,evening
stanje,condition
hraniti,feed
alat,tool
ukupno,total
Osnovni,basic
miris,smell
dolina,valley
ni,nor
Double,double
sjedište,seat
nastavljaju,continue
blok,block
grafikon,chart
šešir,hat
prodati,sell
uspjeh,success
društva,company
oduzmite,subtract
događaja,event
posebno,particular
dogovor,deal
Swim,swim
termin,term
suprotno,opposite
supruga,wife
cipela,shoe
ramena,shoulder
namaz,spread
organizirati,arrange
kamp,camp
izmišljati,invent
pamuk,cotton
Born,born
odredi,determine
Quart,quart
devet,nine
kamion,truck
buke,noise
nivo,level
šanse,chance
okupljaju,gather
shop,shop
stretch,stretch
baciti,throw
sjaj,shine
imovinu,property
kolonu,column
molekula,molecule
odaberite,select
u redu,wrong
siva,gray
ponavljanja,repeat
zahtijevaju,require
široko,broad
pripremi,prepare
soli,salt
nos,nose
množini,plural
bes,anger
tvrdnja,claim
kontinenta,continent
