عنوان,as
کشور,country
یافت,found
پاسخ,answer
مدرسه,school
رشد,grow
مطالعه,study
هنوز,still
یادگیری,learn
کارخانه,plant
پوشش,cover
مواد غذایی,food
آفتاب,sun
چهار,four
بین,between
دولت,state
نگه داشتن,keep
چشم,eye
هرگز,never
آخرین,last
اجازه,let
فکر,thought
شهرستان,city
درخت,tree
صلیب,cross
مزرعه,farm
سخت,hard
شروع,start
زور,might
داستان,story
اره,saw
بسیار,far
دریا,sea
قرعه کشی,draw
سمت چپ,left
اواخر,late
اجرا,run
نکن,don’t
در حالی که,while
مطبوعات,press
نزدیک,close
شب,night
واقعی,real
زندگی,life
کم,few
شمال,north
کتاب,book
حمل,carry
در زمان,took
علم,science
خوردن,eat
اتاق,room
دوستان,friend
آغاز شد,began
ایده,idea
ماهی,fish
کوه,mountain
توقف,stop
یک بار,once
پایه,base
گوش,hear
اسب,horse
برش,cut
مطمئن,sure
تماشای,watch
رنگ,color
صورت,face
چوب,wood
اصلی,main
باز,open
به نظر می رسد,seem
با هم,together
بعدی,next
سفید,white
کودکان,children
شروع,begin
رو,got
راه رفتن,walk
مثال,example
آسان,ease
مقاله,paper
گروه,group
همیشه,always
موسیقی,music
آن,those
هر دو,both
علامت,mark
غالبا,often
نامه,letter
تا زمانی که,until
مایل,mile
رودخانه,river
اتومبیل,car
پا,feet
مراقبت,care
دوم,second
کافی,enough
ساده,plain
دختر,girl
معمول,usual
جوان,young
اماده,ready
بالا,above
همیشه,ever
قرمز,red
لیست,list
هر چند,though
احساس,feel
بحث,talk
پرنده,bird
بزودی,soon
بدن,body
سگ,dog
خانواده,family
مستقیم,direct
مطرح,pose
ترک,leave
آهنگ,song
اندازه گیری,measure
درب,door
محصول,product
سیاه و سفید,black
کوتاه,short
بر اساس اعداد,numeral
کلاس,class
باد,wind
سوال,question
اتفاق می افتد,happen
کامل,complete
کشتی,ship
منطقه,area
نیم,half
سنگ,rock
منظور,order
آتش,fire
جنوب,south
مشکل,problem
قطعه,piece
گفت,told
می دانستم که,knew
عبور,pass
از سال,since
بالا,top
تمام,whole
پادشاه,king
خیابان,street
اینچ,inch
ضرب,multiply
هیچ,nothing
البته,course
اقامت,stay
چرخ,wheel
کامل,full
نیروی,force
آبی,blue
شی,object
تصمیم گی,decide
سطح,surface
عمیق,deep
ماه,moon
جزیره,island
پا,foot
سیستم,system
مشغول,busy
آزمون,test
رکورد,record
قایق,boat
مشترک,common
طلا,gold
ممکن,possible
هواپیما,plane
جا,stead
خشک,dry
جای تعجب,wonder
خنده,laugh
هزار,thousand
پیش,ago
فرار,ran
بررسی,check
بازی,game
شکل,shape
برابر,equate
داغ,hot
دست,miss
آورده,brought
حرارت,heat
برف,snow
لاستیک,tire
را,bring
بله,yes
دور,distant
پر,fill
شرق,east
رنگ,paint
زبان,language
در میان,among
واحد,unit
قدرت,power
شهر,town
خوب,fine
معین,certain
پرواز,fly
سقوط,fall
شود,lead
فریاد,cry
تاریک,dark
ماشین,machine
یادداشت,note
صبر,wait
برنامه,plan
شکل,figure
ستاره,star
جعبه,box
اسم,noun
حوزه,field
بقیه,rest
درست,correct
قادر,able
پوند,pound
انجام,done
زیبایی,beauty
درایو,drive
ایستاده بود,stood
شامل,contain
جلو,front
آموزش,teach
هفته,week
نهایی,final
به,gave
سبز,green
آه,oh
سریع,quick
توسعه,develop
اقیانوس,ocean
گرم,warm
رایگان,free
دقیقه,minute
قوی,strong
ویژه,special
ذهن,mind
پشت سر,behind
روشن,clear
دم,tail
محصول,produce
واقع,fact
فضا,space
شنیده,heard
بهترین,best
ساعت,hour
بهتر,better
درست است,true
در,during
صد,hundred
پنج,five
به یاد داش,remember
گام,step
اوایل,early
نگه داشتن,hold
غرب,west
زمین,ground
علاقه,interest
رسیدن به,reach
سریع,fast
فعل,verb
آواز خواندن,sing
گوش دادن,listen
شش,six
جدول,table
سفر,travel
کمتر,less
صبح,morning
ده,ten
ساده,simple
چند,several
واکه,vowel
به سمت,toward
جنگ,war
ذخیره کردن,lay
در برابر,against
الگوی,pattern
کند,slow
مرکز,center
دوست دارم,love
فرد,person
پول,money
خدمت,serve
به نظر می رسد,appear
جاده,road
نقشه,map
باران,rain
قانون,rule
حکومت,govern
کشیدن,pull
سرد,cold
اطلاع,notice
صدای,voice
انرژی,energy
شکار,hunt
احتمالی,probable
تخت,bed
برادر,brother
تخم مرغ,egg
سوار,ride
سلول,cell
باور,believe
شاید,perhaps
انتخاب کنید,pick
ناگهانی,sudden
شمار,count
مربع,square
دلیل,reason
طول,length
نمایندگی,represent
هنر,art
موضوع,subject
منطقه,region
اندازه,size
متفاوت ا,vary
حل و فصل,settle
کنند,speak
وزن,weight
عمومی,general
یخ,ice
موضوع,matter
دایره,circle
جفت,pair
عبارتند از,include
تقسیم,divide
هجا,syllable
نمد,felt
بزرگ,grand
توپ,ball
هنوز,yet
موج,wave
رها کردن,drop
قلب,heart
ساعت,am
حاضر,present
سنگین,heavy
رقص,dance
موتور,engine
موقعیت,position
دست,arm
گسترده,wide
بادبان,sail
ماده,material
بخش,fraction
جنگل,forest
نشستن,sit
مسابقه,race
پنجره,window
فروشگاه,store
تابستان,summer
قطار,train
خواب,sleep
ثابت,prove
تنها,lone
پا,leg
ورزش,exercise
دیوار,wall
گرفتن,catch
کوه,mount
آرزو,wish
آسمان,sky
هیئت مدیره,board
لذت,joy
زمستان,winter
شنبه,sat
نوشته شده,written
وحشی,wild
ابزار,instrument
نگه داشته,kept
شیشه ای,glass
چمن,grass
گاو,cow
کار,job
لبه,edge
علامت,sign
بازدید,visit
گذشته,past
نرم,soft
سرگرم,fun
روشن,bright
گاز,gas
آب و هوا,weather
ماه,month
میلیون,million
تحمل,bear
پایان,finish
شاد,happy
امیدوارم,hope
گل,flower
پوشاندن,clothe
عجیب و غر,strange
رفته,gone
تجارت,trade
ملودی,melody
سفر,trip
دفتر,office
دریافت,receive
ردیف,row
دهان,mouth
دقیق,exact
نماد,symbol
مرگ,die
کمترین,least
مشکل,trouble
فریاد,shout
جز,except
نوشت,wrote
دانه,seed
تن,tone
عضویت,join
نشان می دهد,suggest
تمیز,clean
استراحت,break
خانم,lady
حیاط,yard
افزایش,rise
بد,bad
ضربه,blow
نفت,oil
خون,blood
دستزدن,touch
رشد,grew
در صد,cent
مخلوط,mix
تیم,team
سیم,wire
هزینه,cost
از دست داده,lost
قهوه ای,brown
لباس,wear
باغ,garden
برابر,equal
ارسال,sent
کنید,choose
سقوط,fell
مناسب,fit
جریان,flow
عادلانه,fair
بانک,bank
جمع آوری,collect
ذخیره,save
کنترل,control
اعشاری,decimal
گوش,ear
دیگر,else
کاملا,quite
شکست,broke
مورد,case
متوسط,middle
کشتن,kill
پسر,son
دریاچه,lake
لحظه ای,moment
مقیاس,scale
با صدا,loud
بهار,spring
مشاهده,observe
کودک,child
مستقیم,straight
همخوان,consonant
کشور,nation
فرهنگ لغت,dictionary
شیر,milk
سرعت,speed
روش,method
عضو,organ
پرداخت,pay
سن,age
بخش,section
لباس,dress
ابر,cloud
تعجب,surprise
آرام,quiet
سنگ,stone
کوچک,tiny
صعود,climb
سرد,cool
طراحی,design
ضعیف,poor
زیادی,lot
تجربه,experiment
پایین,bottom
کلید,key
اهن,iron
تک,single
چوب,stick
تخت,flat
بیست,twenty
پوست,skin
لبخند,smile
چین,crease
سوراخ,hole
پرش به,jump
کودک,baby
هشت,eight
روستای,village
ملاقات,meet
ریشه,root
خرید,buy
بالا بردن,raise
حل,solve
فلز,metal
چه,whether
فشار,push
هفت,seven
بند,paragraph
سوم,third
باید,shall
برگزار شد,held
مو,hair
توصیف,describe
آشپز,cook
طبقه,floor
یا,either
نتیجه,result
رایت,burn
تپه,hill
امن,safe
گربه,cat
قرن,century
در نظر,consider
نوع,type
قانون,law
بیت,bit
ساحل,coast
کپی,copy
عبارت,phrase
خاموش,silent
بلند,tall
شن,sand
خاک,soil
رول,roll
درجه حرارت,temperature
انگشت,finger
صنعت,industry
ارزش,value
مبارزه,fight
دروغ,lie
ضرب و شتم,beat
تحریک,excite
طبیعی,natural
نظر,view
احساس,sense
سرمایه,capital
نه,won’t
صندلی,chair
خطر,danger
میوه,fruit
غنی,rich
ضخامت,thick
سرباز,soldier
روند,process
کار,operate
عمل,practice
جداگانه,separate
دشوار,difficult
دکتر,doctor
لطفا,please
محافظت,protect
ظهر,noon
محصول,crop
مدرن,modern
عنصر,element
ضربه,hit
دانش آموز,student
گوشه,corner
حزب,party
عرضه,supply
که,whose
قرار,locate
حلقه,ring
شخصیت,character
حشرات,insect
گرفتار,caught
دوره,period
نشان می دهد,indicate
رادیو,radio
صحبت,spoke
اتم,atom
انسانی,human
تاریخ,history
اثر,effect
برق,electric
انتظار,expect
استخوان,bone
نرده,rail
تصور کنید,imagine
ارائه,provide
توافق,agree
بنابر این,thus
ملایم,gentle
زن,woman
کاپیتان,captain
حدس می زنم,guess
لازم,necessary
تیز,sharp
بال,wing
ایجاد,create
همسایه,neighbor
شستشو,wash
خفاش,bat
نه,rather
جمعیت,crowd
ذرت,corn
مقایسه,compare
شعر,poem
رشته,string
زنگ,bell
بستگی دارد,depend
گوشت,meat
مالیدن,rub
لوله,tube
معروف,famous
دلار,dollar
جریان,stream
ترس,fear
نظر,sight
نازک,thin
مثلث,triangle
سیاره,planet
عجله ب,hurry
رئیس,chief
مستعمره,colony
ساعت,clock
معدن,mine
کراوات,tie
وارد شدن,enter
اصلی,major
تازه,fresh
جستجو,search
ارسال,send
زرد,yellow
اسلحه,gun
اجازه,allow
چاپ,print
مرده,dead
نقطه,spot
بیابان,desert
کت و ش,suit
جریان,current
آسانسور,lift
افزایش,rose
رسیدن,arrive
کارشناس,master
آهنگ,track
پدر و مادر,parent
ساحل,shore
بخش,division
ورق,sheet
ماده,substance
به نفع,favor
اتصال,connect
پست,post
خرج کردن,spend
وتر,chord
چربی,fat
خوشحالم,glad
اصلی,original
سهم,share
ایستگاه,station
پدر,dad
نان,bread
شارژ,charge
مناسب,proper
بار,bar
پیشنهاد,offer
بخش,segment
برده,slave
اردک,duck
فوری,instant
بازار,market
درجه,degree
جمعیت,populate
جوجه,chick
عزیز,dear
دشمن,enemy
پاسخ,reply
نوشابه,drink
رخ می دهد,occur
پشتیبانی,support
سخنرانی,speech
طبیعت,nature
دامنه,range
بخار,steam
حرکت,motion
راه,path
مایع,liquid
ورود به,log
به معنای,meant
خارج قسمت,quotient
دندانها,teeth
پوسته,shell
گردن,neck
اکسیژن,oxygen
قند,sugar
مرگ,death
خوب,pretty
مهارت,skill
زنان,women
فصل,season
راه حل,solution
مغناطیس,magnet
نقره ای,silver
تشکر,thank
شاخه,branch
مسابقه,match
پسوند,suffix
ویژه,especially
انجیر,fig
ترس,afraid
بزرگ,huge
خواهر,sister
فولاد,steel
بحث,discuss
به جلو,forward
مشابه,similar
راهنمایی,guide
تجربه,experience
نمره,score
سیب,apple
خریداری,bought
رهبری,led
زمین,pitch
کت,coat
جرم,mass
کارت,card
گروه,band
طناب,rope
لغزش,slip
برنده,win
رویا,dream
شب,evening
شرایط,condition
خوراک,feed
ابزار,tool
کل,total
اساسی,basic
بوی,smell
دره,valley
و نه,nor
دو,double
صندلی,seat
ادامه,continue
بلوک,block
نمودار,chart
کلاه,hat
فروش,sell
موفقیت,success
شرکت,company
تفریق,subtract
رویداد,event
خاص,particular
معامله,deal
شنا,swim
مدت,term
در مقابل,opposite
همسر,wife
کفش,shoe
شانه,shoulder
گسترش,spread
ترتیب,arrange
اردوگاه,camp
اختراع,invent
پنبه,cotton
متولد,born
تعیین,determine
کوارت,quart
نه,nine
کامیون,truck
سر و صدا,noise
سطح,level
شانس,chance
جمع کردن,gather
فروشگاه,shop
کشش,stretch
پرتاب,throw
درخشش,shine
خاصیت,property
ستون,column
مولکول,molecule
ب کنید,select
اشتباه,wrong
خاکستری,gray
تکرار,repeat
نیاز,require
پهن,broad
آماده,prepare
نمک,salt
بینی,nose
جمع,plural
خشم,anger
ادعا,claim
قاره,continent
