جيئن,as
اڃا,still
معلوم ٿئي ٿو,learn
ٻوٽو,plant
ڪپڙا,cover
کاڌو,food
سج,sun
چار,four
جي وچ ۾,between
رياست,state
رکيو,keep
اک,eye
ڪڏهن به,never
آخري,last
آڻي,let
فڪر,thought
شهر,city
وڻ,tree
صليب,cross
کيت,farm
سخت,hard
شروع,start
شايد,might
ڪهاڻي,story
کين,saw
پري,far
سمنڊ,sea
ڪڍو,draw
کاٻو,left
شهيد,late
هلائي,run
نه ڪندا,don’t
جڏهن ته,while
پريس,press
بند,close
رات,night
حقيقي,real
زندگي,life
چند,few
اتر,north
ڪتاب,book
کڻڻ,carry
ورتو,took
سائنس,science
کائڻ,eat
ڪمري ۾,room
دوست,friend
شروع,began
خيال,idea
مڇي,fish
جبل,mountain
بند,stop
هڪ دفعو,once
بنيادي طور,base
ٻڌي,hear
گهوڙي,horse
پٽي,cut
پڪ,sure
واچ,watch
رنگ,color
منهن,face
ڪاٺ,wood
مکيه,main
کليل,open
لڳي,seem
گڏ,together
ايندڙ,next
اڇو,white
ٻارن,children
شروع,begin
وغيره وغيره,got
سير,walk
مثال,example
آسانيء,ease
پيپر,paper
گروپ,group
هميشه,always
موسيقي,music
سي,those
ٻنهي,both
نشان,mark
اڪثر,often
خط,letter
ايتري قدر,until
ميل,mile
سنڌوء,river
ڪار,car
پير,feet
خيال,care
ٻيون,second
ڪافي,enough
انهيء,plain
ڇوڪري,girl
ويچارا,usual
جوان,young
تيار,ready
مٿي,above
هونئن به,ever
ڳاڙهو,red
فهرست,list
جيتوڻيڪ,though
لڳي,feel
ڳالهائي,talk
پکي,bird
جلد,soon
جسم,body
ڪتو,dog
خاندان,family
سڌو,direct
وقت,pose
ڇڏي,leave
گيت,song
ماڻ,measure
در,door
پراڊڪٽ,product
ڪارو,black
مختصر,short
ڏونائي,numeral
طبقاتي,class
واء,wind
سوال,question
ايڏو وڏو,happen
مڪمل,complete
ٻيڙي,ship
علائقي,area
اڌ,half
پٿريلي,rock
حڪم,order
باهه,fire
ڏکڻ,south
مسئلو,problem
ٽڪرو,piece
ٻڌايو,told
ڄاڻن,knew
لڪ,pass
کان,since
مٿي,top
سڄي,whole
بادشاهه,king
گلي,street
انچ,inch
ضرب,multiply
ڪجھ به نه,nothing
البته,course
رهو,stay
ڦيٿي,wheel
مڪمل,full
قوت,force
نيرو,blue
اعتراض,object
فيصلو,decide
مٿاڇري,surface
رڙيون,deep
چنڊ,moon
ٻيٽ,island
دامن,foot
نظام,system
مصروف,busy
امتحان,test
رڪارڊ,record
ٻيڙيء,boat
عام,common
هونء به,gold
ممڪن,possible
جهاز,plane
ڪا,stead
سڪي,dry
عجب,wonder
کلڻ,laugh
هزار,thousand
اڳ,ago
ورهين,ran
چيڪ,check
شڪار,game
شڪل,shape
مائر,equate
گرم,hot
آهين,miss
حاضر,brought
گرمي,heat
برف,snow
ٽائر,tire
آڻيو,bring
ها,yes
جي فاصلي تي,distant
ڀريندا,fill
اوڀر,east
رنگ,paint
ٻولي,language
مان,among
يونٽ,unit
قدرت,power
ڳوٺ,town
ٺيڪ,fine
ڪجهه,certain
مک,fly
گر,fall
ڏس,lead
رڙ,cry
سڪو,dark
مشين,machine
نوٽ,note
انتظار,wait
رٿ,plan
شخصيت,figure
تارو,star
باڪس,box
اچار,noun
ميدان ۾,field
باقي,rest
صحيح,correct
وس,able
جئر,pound
مڪمل ٿيو,done
حسن,beauty
بيوس,drive
بيٺو,stood
تي مشتمل,contain
مئٽرڪ,front
هڪٻئي کي,teach
هفتو,week
آخري,final
ڏنوسون,gave
سائو,green
آه,oh
تڪڙا,quick
ترقيء,develop
سامونڊي,ocean
گرم,warm
واندو,free
منٽ,minute
مضبوط,strong
خاص,special
من,mind
پويان,behind
واضح,clear
پڇ,tail
پيدا,produce
حقيقت اها آهي ته,fact
خلا,space
ٻڌو,heard
بهترين,best
ڪلاڪ,hour
ڀلي,better
سچ,true
دوران,during
سو,hundred
پنج,five
ياد,remember
قدم,step
جي شروعات,early
ڏسجي,hold
اولهه,west
زمين,ground
فائدي,interest
پهچي,reach
روزو,fast
فعل,verb
روهتاس,sing
سن,listen
ڇهه,six
ميز,table
سفر,travel
گهٽ,less
صبح,morning
ڏهه,ten
سادي,simple
ڪيترن ئي,several
اسمن,vowel
رخ,toward
جنگ,war
رکون,lay
خلاف,against
طرز,pattern
آهستي,slow
مرڪز,center
عشق,love
ماڻهو,person
رقم,money
جي عبادت ڪريو,serve
ظاهر,appear
رستي ۾,road
نقشي,map
مينهن,rain
راڄ,rule
حڪومت,govern
پل,pull
ڀڌ,cold
نوٽيس,notice
آواز,voice
توانائي,energy
تلاش,hunt
امڪان,probable
پلنگ,bed
ڀاءُ,brother
آنا,egg
سواري,ride
سيل,cell
ايمان,believe
مان,perhaps
کڻو,pick
اوچتو,sudden
شمار,count
چورس,square
سبب,reason
ڊيگهه,length
جي نمائندگي,represent
فن,art
موضوع,subject
علائقي,region
ڪرائون سائيز واري,size
ناهيون,vary
آباد,settle
ڳالهائڻ,speak
وزن,weight
عام,general
برف,ice
ڪم,matter
جو دائرو,circle
جوڙو,pair
شامل,include
جدا,divide
پدن,syllable
محسوس,felt
پوٽي,grand
طالب المولي,ball
موجود,yet
موج,wave
بوند,drop
دل,heart
آهيان,am
هاڻوڪي,present
بهار,heavy
ناچ,dance
انجڻ,engine
پوزيشن,position
بجا,arm
وڏين,wide
ترنديون,sail
مواد,material
تعريف,fraction
ٻيلو,forest
ويھ,sit
ڄامشورو,race
دري,window
اسٽور,store
اونهاري,summer
سکيا,train
ننڊ,sleep
ثابت,prove
لون,lone
پيئي,leg
ج,exercise
ڀت,wall
پڪڙي,catch
(جبل),mount
خواهش,wish
آسمان,sky
بورڊ,board
خوشي,joy
سياري ۾,winter
ڇنڇر,sat
لکيو,written
جهنگلي,wild
آلي,instrument
رکي,kept
گلاس,glass
گاهه,grass
ڍڳي,cow
نوڪري,job
پاسيري,edge
سائين,sign
دوري,visit
گذريل,past
نرم,soft
لطف,fun
روشن,bright
گئس,gas
موسم,weather
مهينو,month
لک,million
کڻندو,bear
ختم ڪر,finish
خوش,happy
اميد,hope
گلن,flower
ملائيندا,clothe
عجيب,strange
ٿي چڪي,gone
واپار,trade
ڪيترا سريلا,melody
سفر,trip
آفيس,office
ملي,receive
قطار,row
وات,mouth
ٺيڪ ٺاڪ,exact
نشان,symbol
مرڻ,die
گهٽ,least
ڏکي,trouble
ھڪل,shout
کان سواء,except
لکيو,wrote
ٻج,seed
سر,tone
شامل,join
صلاح,suggest
صاف,clean
وقفو,break
لکيا,lady
لينڊ يارڊ,yard
جنم,rise
خراب,bad
لڳڻ,blow
تيل,oil
رت,blood
رابطو,touch
پوک,grew
سيڪڙو,cent
گڏيو,mix
ٽيم,team
تار,wire
خرچ,cost
گم,lost
ناسي,brown
پائڻ,wear
باغ,garden
برابر,equal
موڪليو,sent
چونڊي,choose
ور,fell
مناسب,fit
وهڪري,flow
چڱو,fair
ڪناري تي,bank
گڏ,collect
محفوظ,save
ڪنٽرول,control
اعشاري,decimal
ڪن,ear
هم عصر,else
ڪافي,quite
ڀڃي,broke
صورت,case
وچ,middle
قتل,kill
پُٽ,son
ڍنڍ,lake
پل پل,moment
پيماني تي,scale
بلند,loud
بهار جي,spring
مشاهدو,observe
ٻار,child
سڌي,straight
ٻيڙي,consonant
قوم,nation
لغت,dictionary
کير,milk
رفتار,speed
جو طريقو,method
عضوو,organ
ادا,pay
عمر,age
سيڪشن,section
لباس,dress
ڪڪر,cloud
تعجب,surprise
پهر,quiet
پٿر,stone
ٺهي,tiny
چڙهڻ,climb
عمده,cool
خاڪي,design
غريب,poor
پلاٽ,lot
تجربو,experiment
تري ۾,bottom
اهم,key
لوھ,iron
واحد,single
لٺ,stick
لوڻ,flat
ويهه,twenty
جلد ئي,skin
مرڪ,smile
crease,crease
سوراخ,hole
ٽپو ڏئي,jump
بيبي,baby
اٺ,eight
ڳوٺ,village
ملن ٿا,meet
پاڙ,root
خريد,buy
اٿي,raise
حل ڪرڻ,solve
ڌاتو,metal
ت,whether
لوڏا,push
ست,seven
پيراگراف,paragraph
ٽيون,third
ملندو,shall
منعقد,held
وار,hair
بيان,describe
پچائڻ,cook
منزل,floor
يا,either
نتيجي ۾,result
ساڙيو,burn
ٽڪريء,hill
محفوظ,safe
بلي,cat
صدي عيسويء,century
غور,consider
قسم,type
قانون,law
سا,bit
سامونڊي ڪناري,coast
ڪاپي,copy
جملي,phrase
خاموش,silent
قد,tall
واريء,sand
ڌرتيء,soil
رول,roll
گرمي پد,temperature
آڱر,finger
صنعت,industry
قدر,value
جنگ,fight
ڪوڙ,lie
نزاڪت,beat
وجھي,excite
قدرتي,natural
ڏسڻ,view
احساس,sense
گاديء جو,capital
نه ڪندو,won’t
شخصيتن,chair
خطرو,danger
ڦر,fruit
امير,rich
دلدار,thick
سپاهي,soldier
عمل,process
هلائڻ,operate
رواج,practice
جدا جدا,separate
مشڪل,difficult
ڊاڪٽر,doctor
مهرباني ڪري,please
جي حفاظت,protect
منجھند,noon
فصل,crop
جديد,modern
هدايت,element
اچي ويو,hit
شاگرد,student
ڪنڊ,corner
پارٽي,party
جي سامان جو,supply
جن جي,whose
لڳائڻ,locate
منڊي,ring
ڪردار,character
مقطع,insect
پڪڙجي,caught
دور ۾,period
صاف ظاهر آهي,indicate
ريڊيو,radio
ارن,spoke
جوهر,atom
انساني,human
تاريخ,history
اثر,effect
بجليء,electric
اميد,expect
بون,bone
ريل,rail
تصور,imagine
مهيا ڪرڻ,provide
متفق,agree
اهڙيء طرح,thus
مهربان,gentle
عورت,woman
ڪئپٽن,captain
گمان,guess
ضروري آهي,necessary
تکي,sharp
ونگ,wing
پيدا,create
پاڙيسري,neighbor
ڌوئڻ,wash
بيٽ,bat
بلڪه,rather
ميڙ,crowd
کارن,corn
صورت,compare
نظم,poem
اهو جملو,string
بيل,bell
ڀاڙي,depend
گوشت,meat
ڪينسل,rub
ٽيوب,tube
مشهور,famous
ڊالر,dollar
وهڪرو,stream
خوف,fear
اکيون,sight
پتلي,thin
تكون,triangle
سيارو,planet
جلدي,hurry
چيف,chief
ڪالوني,colony
گھڙي,clock
منهنجو,mine
ڳنڍ,tie
داخل,enter
اهم,major
تازو,fresh
ڳولا,search
موڪليو,send
پيلو,yellow
گن,gun
جي اجازت,allow
پرنٽ,print
مري,dead
جاء,spot
ٿر,desert
مناسبت,suit
موجوده,current
لفٽ,lift
گلاب,rose
پهچڻ,arrive
رکن ٿا,master
ڪچي,track
والدين,parent
اڇليوسون,shore
جدائي,division
ورق,sheet
مال,substance
احسان,favor
سان ڳنڍڻ,connect
پوسٽ,post
خرچ,spend
راگ گري,chord
وسا,fat
خوشخبري,glad
اصل,original
حصو,share
اسٽيشن,station
داد,dad
ماني,bread
چارج,charge
مناسب,proper
بار,bar
آڇ,offer
ڀاڱي,segment
غلام,slave
بدڪ,duck
تڪڙي,instant
مارڪيٽ,market
وڏا,degree
ڀري,populate
نوت,chick
پيارا,dear
دشمن,enemy
جواب,reply
پيو,drink
نمودار,occur
حمايت,support
تقرير,speech
فطرت,nature
حد,range
ٻاڦ,steam
تحرڪ,motion
واٽ,path
سيال,liquid
لاگ ان,log
مطلب,meant
انس,quotient
ڏند,teeth
شيل,shell
ڳچيء ۾,neck
آڪسيجن,oxygen
کنڊ,sugar
موت,death
پيارو,pretty
ڪاريگر,skill
عورتن,women
موسم,season
حل,solution
مقناطيسي,magnet
چاندي,silver
آنو,thank
شاخ,branch
ميچ,match
وهڪرو,suffix
خاص طور تي,especially
انجير,fig
ڊڄو,afraid
وڏي,huge
ڀيڻ,sister
اسٽيل,steel
بحث,discuss
اڳتي,forward
ساڳي,similar
ھدايت ڪرڻ وارو,guide
تجربو,experience
ايڊليڊ:,score
صوف,apple
خريد,bought
ٿياسون,led
گندرف,pitch
ڪوٽ,coat
ڪاميٽي,mass
ڪارڊ,card
موڪلايو,band
رسي,rope
پرچي,slip
ورتي,win
خواب,dream
شام,evening
حالت,condition
فيڊ,feed
اوزار,tool
ڪل,total
بنيادي,basic
عضوا,smell
واديء,valley
۽ نڪي,nor
ڊبل,double
مسند,seat
جاري,continue
بلاڪ,block
چارٽ,chart
ٽوپي,hat
وڪرو,sell
ڪاميابي,success
ڪمپني,company
ڪٽ,subtract
واقعي,event
خاص,particular
ڊيل,deal
ترڻ,swim
مدت,term
سامهون,opposite
زال,wife
بوٽن,shoe
ڪلهي,shoulder
وڇائي,spread
بندوبست,arrange
ڪيمپ,camp
ٺاھ ٺاھيندا,invent
ڪپهه,cotton
ڄائو,born
اهو طئي,determine
سير کي سوا سير,quart
نو,nine
ٽرڪ,truck
شور,noise
سطح,level
اتفاق,chance
گڏ,gather
جو دڪان,shop
البت,stretch
ڌوڙ,throw
روشن,shine
مال,property
ڪالمن,column
آنو,molecule
منتخب ڪريو,select
ظلم,wrong
ڀورو,gray
ورجائي,repeat
جي ضرورت آهي,require
وسيع,broad
تيار,prepare
لوڻ,salt
نڪ,nose
جمع,plural
ڪاوڙ,anger
دعوي,claim
سنسڪرت,continent
