minangka,as
kuping,ear
liya,else
cukup,quite
nyuwil,broke
cilik,case
tengah,middle
matèni,kill
son,son
lake,lake
wayahe,moment
ukuran,scale
sora,loud
spring,spring
mirsani,observe
anak,child
sakcara,straight
consonant,consonant
bangsa,nation
kamus,dictionary
susu,milk
kacepetan,speed
cara,method
organ,organ
mbayar,pay
umur,age
bagean,section
sugih,dress
maya,cloud
surprise,surprise
sepi,quiet
watu,stone
cilik,tiny
menek,climb
kelangan,cool
desain,design
miskin,poor
kathah,lot
eksprimen,experiment
ngisor,bottom
tombol,key
wesi,iron
single,single
kelet,stick
flat,flat
puluh,twenty
kulit,skin
eseman,smile
crease,crease
bolongan,hole
mlumpat,jump
baby,baby
wolung,eight
desa,village
ketemu,meet
oyod,root
tuku,buy
mundhakaken,raise
ngatasi,solve
logam,metal
apa,whether
push,push
pitung,seven
paragraf,paragraph
katelu,third
badhe,shall
ngawontenaken,held
rambute,hair
njlèntrèhaké,describe
cook,cook
lantai,floor
salah siji,either
asil,result
diobong,burn
gunung,hill
aman,safe
cat,cat
abad,century
nimbang,consider
Tipe,type
hukum,law
dicokot,bit
pesisir,coast
salinan,copy
tembung,phrase
bisu,silent
dhuwur,tall
wedhi,sand
lemah,soil
muter,roll
suhu,temperature
driji,finger
industri,industry
Nilai,value
perang,fight
ngapusi,lie
ngalahake,beat
nyenengake,excite
alam,natural
tampilan,view
raos,sense
ibukutha,capital
bakal ora,won’t
dhingklik,chair
bebaya,danger
woh,fruit
sugih,rich
nglukis,thick
prajurit,soldier
proses,process
operate,operate
laku,practice
kapisah,separate
angel,difficult
dhokter,doctor
please,please
nglindhungi,protect
noon,noon
potong,crop
modern,modern
unsur,element
mejet,hit
mahasiswa,student
sudhut,corner
katelu,party
sumber,supply
kang,whose
nemokake,locate
ring,ring
karakter,character
serangga,insect
kejiret,caught
periode,period
nunjukaké,indicate
radio,radio
ngandika,spoke
atom,atom
manungsa,human
Sajarah,history
efek,effect
elektrik,electric
nyana,expect
balung,bone
ril,rail
mbayangno,imagine
nyedhiyani,provide
setuju,agree
mangkono,thus
lanang,gentle
wadon,woman
kapten,captain
guess,guess
perlu,necessary
cetha,sharp
swiwi,wing
nggawe,create
pepadhamu,neighbor
wisuh,wash
bat,bat
mandan,rather
akeh,crowd
jagung,corn
mbandhingaké,compare
geguritan,poem
senar,string
lonceng,bell
gumantung,depend
meat,meat
samubarang kang angel,rub
tabung,tube
misuwur,famous
dollar,dollar
stream,stream
wedi,fear
ngarsane,sight
lancip,thin
triangle,triangle
planet,planet
cepet-cepet,hurry
pangareping,chief
koloni,colony
jam,clock
mine,mine
dasi,tie
ketik,enter
utama,major
seger,fresh
search,search
ngirim,send
kuning,yellow
gun,gun
ngidini,allow
print,print
mati,dead
titik,spot
ara-ara samun,desert
miturut,suit
saiki,current
angkat,lift
wungu,rose
teka,arrive
master,master
trek,track
tiyang sepah,parent
Shore,shore
divisi,division
sheet,sheet
inti,substance
sih,favor
nyambung,connect
post,post
nglampahi,spend
penghubung,chord
lemak,fat
bungah,glad
asli,original
nuduhake,share
stasiun,station
bapak,dad
roti,bread
ngisi daya,charge
suwene,proper
bar,bar
nawarake,offer
babagan,segment
budhak,slave
bebek,duck
cepet,instant
pasar,market
sarjana,degree
populate,populate
cah ayu,chick
dear,dear
mungsuh,enemy
reply,reply
ngombe,drink
kedaden,occur
support,support
wicara,speech
alam,nature
sawetara,range
uap,steam
gerakan,motion
path,path
Cairan,liquid
log,log
temenan,meant
Quotient,quotient
untu,teeth
Nihan,shell
gulu,neck
oksigen,oxygen
gula,sugar
pati,death
cantik,pretty
skill sing,skill
wanita,women
mangsa,season
solusi,solution
magnet,magnet
salaka,silver
thank,thank
cabang,branch
match,match
seselan,suffix
utamané,especially
anjir,fig
wedi,afraid
ageng,huge
adhine,sister
baja,steel
ngrembag,discuss
maju,forward
padha,similar
Pandhuan,guide
pengalaman,experience
skor,score
apel,apple
tuku,bought
mimpin,led
Jarak,pitch
jas,coat
massa,mass
kertu,card
band,band
tali,rope
mlebukake,slip
menang,win
ngimpi,dream
sore,evening
kawontenan,condition
feed,feed
alat,tool
gunggung,total
dhasar,basic
mambu,smell
lembah,valley
utawa,nor
pindho,double
jog,seat
terus,continue
pemblokiran,block
grafik,chart
kupluk,hat
ngedol,sell
sukses,success
perusahaan,company
nyuda,subtract
acara,event
tartamtu,particular
menehi hasil,deal
nglangi,swim
term,term
ngelawan,opposite
bojo,wife
spatu,shoe
Pundhak,shoulder
panyebaran,spread
ngatur,arrange
camp,camp
makna,invent
katun,cotton
Mijil,born
nemtokake,determine
quart,quart
sangang,nine
truk,truck
gangguan,noise
tingkat,level
kasempatan,chance
klumpukne,gather
toko,shop
babagan,stretch
uncalan,throw
jenenge sing kawentar,shine
property,property
asli,column
molekul,molecule
pilih,select
salah,wrong
werna abu-abu,gray
baleni,repeat
mbutuhake,require
godhongé amba,broad
nyiapake,prepare
uyah,salt
irung,nose
jamak,plural
nesu,anger
pratelan,claim
bawana,continent
