रूप,as
मुस्कान,smile
क्रीज,crease
प्वाल,hole
हामफाल्नु,jump
बच्चा,baby
आठ,eight
गाउँमा,village
बैठक,meet
मूल,root
किन्न,buy
हुर्काउन,raise
समाधान,solve
धातु,metal
कि,whether
धक्का,push
सात,seven
अनुच्छेद,paragraph
तेस्रो,third
गर्छु,shall
धान,held
कपाल,hair
वर्णन,describe
कुक,cook
तल्ला,floor
या त,either
परिणाम,result
बाल्न,burn
पहाडी,hill
सुरक्षित,safe
बिरालो,cat
शताब्दीमा,century
विचार,consider
प्रकार,type
व्यवस्था,law
बिट,bit
तट,coast
प्रतिलिपि,copy
वाक्यांश,phrase
मौन,silent
अग्लो,tall
बालुवा,sand
माटो,soil
रोल,roll
तापमान,temperature
औंला,finger
उद्योग,industry
मूल्य,value
लडाई,fight
झूट,lie
पिटे,beat
उत्तेजित,excite
प्राकृतिक,natural
दृष्टिकोण,view
अर्थ,sense
राजधानी,capital
नहीं हुनेछ,won’t
कुर्सी,chair
खतरा,danger
फल,fruit
धनी,rich
बाक्लो,thick
सिपाही,soldier
प्रक्रिया,process
सञ्चालन,operate
अभ्यास,practice
अलग,separate
कठिन,difficult
डाक्टर,doctor
कृपया,please
सुरक्षा,protect
दिउसो,noon
बाली,crop
आधुनिक,modern
तत्व,element
मारा,hit
विद्यार्थीको,student
कुना,corner
पार्टी,party
आपूर्ति,supply
जसको,whose
तोक्न,locate
औंठी,ring
चरित्र,character
कीरा,insect
समातिए,caught
अवधिमा,period
सङ्केत,indicate
रेडियो,radio
कुरा,spoke
अणु,atom
मानव,human
इतिहास,history
प्रभाव,effect
बिजुली,electric
आशा,expect
हड्डी,bone
रेल,rail
कल्पना,imagine
प्रदान,provide
सहमत,agree
यसरी,thus
कोमल,gentle
महिला,woman
कप्तान,captain
अनुमान,guess
आवश्यक,necessary
धारिलो,sharp
भाग,wing
सिर्जना,create
छिमेकीलाई,neighbor
धुनु,wash
bat,bat
बरु,rather
भीड,crowd
मकै,corn
तुलना गर्नुहोस्,compare
कविता,poem
स्ट्रिङ,string
घन्टी,bell
निर्भर,depend
मासु,meat
दल्नु,rub
ट्यूब,tube
प्रसिद्ध,famous
डलर,dollar
प्रवाह,stream
डर,fear
दृष्टि,sight
पातलो,thin
त्रिकोण,triangle
ग्रह,planet
हतार,hurry
प्रमुख,chief
उपनिवेश,colony
घडी,clock
मेरो,mine
टाई,tie
प्रवेश,enter
प्रमुख,major
ताजा,fresh
खोज,search
पठाउन,send
पहेंलो,yellow
बन्दूक,gun
अनुमति,allow
मुद्रण,print
मृत्यु,dead
स्थान,spot
मरुभूमि,desert
सूट,suit
वर्तमान,current
लिफ्ट,lift
गुलाब,rose
आइपुग्छन्,arrive
मालिक,master
ट्रयाक,track
आमा,parent
किनारमा,shore
विभाजन,division
पाना,sheet
पदार्थ,substance
कृपा,favor
जडान,connect
पोस्ट,post
खर्च,spend
तार,chord
बोसो,fat
खुसी,glad
मूल,original
शेयर,share
स्टेशन,station
पिताजी,dad
रोटी,bread
शुल्क,charge
उचित,proper
बार,bar
प्रस्ताव,offer
भाग,segment
दास,slave
धुनमा,duck
तत्काल,instant
बजार,market
तह,degree
आबाद,populate
केटी,chick
प्रिय,dear
शत्रु,enemy
जवाफ,reply
पिउने पानी,drink
हुन,occur
सहयोग,support
बोली,speech
प्रकृति,nature
सीमा,range
भाप,steam
गति,motion
बाटो,path
तरल,liquid
लग,log
अर्थ,meant
भागफल,quotient
दाँत,teeth
खोल,shell
घाँटी,neck
अक्सिजन,oxygen
चिनी,sugar
मृत्यु,death
धेरै,pretty
सीप,skill
महिला,women
मौसम,season
समाधान,solution
चुम्बक,magnet
चाँदी,silver
धन्यवाद,thank
शाखा,branch
म्याच,match
प्रत्यय,suffix
विशेष गरी,especially
नेभाराको,fig
डर,afraid
विशाल,huge
बहिनी,sister
स्टील,steel
छलफल,discuss
अगाडी,forward
यस्तै,similar
डोऱ्याउन,guide
अनुभव,experience
स्कोर,score
स्याउ,apple
किनेको,bought
नेतृत्व,led
पिच,pitch
कोट,coat
सामूहिक,mass
कार्ड,card
दल,band
डोरी,rope
पर्ची,slip
जीत,win
सपना,dream
साँझ,evening
अवस्था,condition
फिड,feed
उपकरण,tool
कुल,total
आधारभूत,basic
बास्ना,smell
उपत्यकामा,valley
न त,nor
डबल,double
सीट,seat
जारी,continue
ब्लक,block
चार्ट,chart
टोपी,hat
बेचन,sell
सफलता,success
कम्पनी,company
घटाउनुहोस्,subtract
घटना,event
विशेष,particular
सम्झौता,deal
पौडी,swim
अवधि,term
विपरीत,opposite
पत्नी,wife
जूता,shoe
काँध,shoulder
फैलियो,spread
व्यवस्था,arrange
शिविरमा,camp
आविष्कार,invent
कपास,cotton
जन्म,born
निर्धारित,determine
रमा,quart
नौ,nine
ट्रक,truck
शोर,noise
स्तर,level
मौका,chance
भेला,gather
पसल,shop
तान्नु,stretch
बिसाउन,throw
घाम लागोस्,shine
सम्पत्ति,property
स्तम्भ,column
अणु,molecule
चयन,select
गलत,wrong
ग्रे,gray
फेरि,repeat
आवश्यकता,require
व्यापक,broad
तयार,prepare
नुन,salt
नाक,nose
बहुवचन,plural
रिस,anger
दाबी,claim
महादेशमा,continent
