كما,as
بحر,sea
رسم,draw
غادر,left
متأخر,late
تشغيل,run
لا,don’t
في حين,while
الصحافة,press
قريب,close
الليل,night
حقيقية,real
حياة,life
قليل,few
شمال,north
كتاب,book
حمل,carry
استغرق,took
علم,science
أكل,eat
غرفة,room
صديق,friend
بدأ,began
فكرة,idea
سمك,fish
الجبل,mountain
توقف,stop
مرة واحدة,once
قاعدة,base
سمع,hear
الحصان,horse
قطع,cut
بالتأكيد,sure
راقب,watch
لون,color
وجه,face
الخشب,wood
رئيسي,main
مفتوحة,open
يبدو,seem
معا,together
المقبل,next
أبيض,white
الأطفال,children
بدأ,begin
حصلت,got
سير,walk
مثال,example
سهولة,ease
ورق,paper
مجموعة,group
دائما,always
الموسيقى,music
تلك,those
كلا,both
علامة,mark
غالبا,often
الرسالة,letter
حتى,until
ميل,mile
النهر,river
سيارة,car
قدم,feet
الرعاية,care
ثان,second
بما فيه الكفاية,enough
سهل,plain
فتاة,girl
معتاد,usual
الشباب,young
جاهزة,ready
فوق,above
أبدا,ever
أحمر,red
قائمة,list
على الرغم من,though
إحساس,feel
الحديث,talk
طائر,bird
قريبا,soon
هيئة,body
الكلب,dog
عائلة,family
مباشر,direct
أربك,pose
ترك,leave
أغنية,song
قياس,measure
باب,door
نتاج,product
أسود,black
قصير,short
الأرقام,numeral
الفئة,class
الرياح,wind
السؤال,question
يحدث,happen
كاملة,complete
سفينة,ship
منطقة,area
نصف,half
صخرة,rock
النظام,order
النار,fire
الجنوب,south
مشكلة,problem
قطعة,piece
قال,told
عرف,knew
تمر,pass
منذ,since
أعلى,top
ككل,whole
ملك,king
شارع,street
بوصة,inch
مضاعفة,multiply
لا شيء,nothing
بالطبع,course
إقامة,stay
عجلة,wheel
كامل,full
قوة,force
الأزرق,blue
موضوع,object
تقرر,decide
سطح,surface
عميق,deep
ضوء القمر,moon
الجزيرة,island
القدم,foot
نظام,system
مشغول,busy
اختبار,test
سجل,record
قارب,boat
مشترك,common
الذهب,gold
ممكن,possible
طائرة,plane
بدلا,stead
جاف,dry
عجب,wonder
الضحك,laugh
ألف,thousand
منذ,ago
ركض,ran
تحقق,check
لعبة,game
شكل,shape
مساواة,equate
حار,hot
ملكة جمال,miss
جلبت,brought
حرارة,heat
ثلج,snow
إطار العجلة,tire
جلب,bring
نعم,yes
بعيد,distant
شغل,fill
الشرق,east
الطلاء,paint
اللغة,language
بين,among
وحدة,unit
قوة,power
مدينة,town
غرامة,fine
معين,certain
يطير,fly
سقط,fall
قيادة,lead
صرخة,cry
مظلم,dark
آلة,machine
مذكرة,note
انتظر,wait
خطة,plan
الرقم,figure
نجمة,star
صندوق,box
إسم,noun
الحقل,field
بقية,rest
صحيح,correct
قادرة,able
الجنيه,pound
منجز,done
الجمال,beauty
محرك,drive
وقفت,stood
تحتوي على,contain
الجبهة,front
تعليم,teach
أسبوع,week
نهائي,final
أعطى,gave
الأخضر,green
يا,oh
سريع,quick
تطوير,develop
المحيط,ocean
الحارة,warm
حر,free
دقيقة,minute
قوي,strong
خاص,special
عقل,mind
خلف,behind
واضح,clear
ذيل,tail
إنتاج,produce
حقيقة,fact
الفضاء,space
سمعت,heard
أفضل,best
ساعة,hour
أفضل,better
صحيح,true
خلال,during
مائة,hundred
خمسة,five
تذكر,remember
خطوة,step
في وقت مبكر,early
عقد,hold
غرب,west
أرض,ground
مصلحة,interest
الوصول,reach
بسرعة,fast
الفعل,verb
الغناء,sing
استمع,listen
ستة,six
الجدول,table
السفر,travel
أقل,less
الصباح,morning
عشرة,ten
بسيطة,simple
عدة,several
حرف لين,vowel
نحو,toward
حرب,war
وضع,lay
ضد,against
نمط,pattern
بطيئة,slow
مركز,center
الحب,love
شخص,person
المال,money
خدمة,serve
تظهر,appear
طريق,road
خريطة,map
مطر,rain
حكم,rule
الحكم,govern
سحب,pull
بارد,cold
إشعار,notice
صوت,voice
الطاقة,energy
مطاردة,hunt
محتمل,probable
قاع,bed
شقيق,brother
البيض,egg
ركوب,ride
خلية,cell
اعتقد,believe
ربما,perhaps
اختيار,pick
مفاجئ,sudden
عد,count
مربع,square
سبب,reason
طول,length
تمثيل,represent
فن,art
الموضوع,subject
منطقة,region
حجم,size
تختلف,vary
حل,settle
الكلام,speak
الوزن,weight
عام,general
الجليد,ice
مسألة,matter
دائرة,circle
زوج,pair
تضمن,include
الفجوة,divide
مقطع لفظي,syllable
شعر,felt
الكبرى,grand
كرة,ball
بعد,yet
موجة,wave
إسقاط,drop
قلب,heart
صباحا,am
الحاضر,present
ثقيلة,heavy
رقص,dance
محرك,engine
موقف,position
الذراع,arm
واسع,wide
الشراع,sail
مادة,material
جزء,fraction
الغابات,forest
الجلوس,sit
سباق,race
نافذة,window
متجر,store
الصيف,summer
قطار,train
نوم,sleep
إثبات,prove
وحيد,lone
الساق,leg
ممارسة,exercise
جدار,wall
مزلاج,catch
جبل,mount
رغب,wish
سماء,sky
مجلس الإدارة,board
الفرح,joy
شتاء,winter
السبت,sat
مكتوبة,written
بري,wild
أداة,instrument
أبقى,kept
زجاج,glass
العشب,grass
بقرة,cow
العمل,job
حافة,edge
علامة,sign
زيارة,visit
الماضي,past
لينة,soft
مرح,fun
مشرق,bright
الغاز,gas
الطقس,weather
شهر,month
مليون,million
تحمل,bear
نهاية,finish
سعيدة,happy
نأمل,hope
زهرة,flower
كسا,clothe
غريب,strange
ذهب,gone
تجارة,trade
لحن,melody
رحلة,trip
مكتب,office
تلقي,receive
الصف,row
فم,mouth
بالضبط,exact
رمز,symbol
مات,die
الأقل,least
مشكلة,trouble
صيحة,shout
إلا,except
كتب,wrote
بذرة,seed
نغمة,tone
انضمام,join
اقترح,suggest
نظيف,clean
استراحة,break
سيدة,lady
ساحة,yard
الارتفاع,rise
سيئة,bad
ضربة,blow
زيت,oil
الدم,blood
لمس,touch
نما,grew
المائة,cent
مزيج,mix
فريق,team
سلك,wire
التكلفة,cost
فقدت,lost
أسمر,brown
ارتداء,wear
حديقة,garden
متساو,equal
أرسلت,sent
اختيار,choose
سقط,fell
تناسب,fit
تدفق,flow
عادل,fair
البنك,bank
جمع,collect
حفظ,save
السيطرة,control
العشري,decimal
إذن,ear
آخر,else
تماما,quite
حطم,broke
حالة,case
وسط,middle
قتل,kill
ابن,son
بحيرة,lake
لحظة,moment
على نطاق و,scale
بصوت عال,loud
الربيع,spring
رصد,observe
طفل,child
مباشرة,straight
متوافق,consonant
الأمة,nation
قاموس,dictionary
حليب,milk
السرعة,speed
طريقة,method
عضو,organ
دفع,pay
العمر,age
القسم,section
فستان,dress
سحابة,cloud
مفاجأة,surprise
هادئ,quiet
حجر,stone
صغير,tiny
تسلق,climb
بارد,cool
تصميم,design
فقير,poor
الكثير,lot
تجربة,experiment
أسفل,bottom
مفتاح,key
حديد,iron
احد,single
عصا,stick
شقة,flat
عشرون,twenty
الجلد,skin
الابتسامة,smile
تجعد,crease
حفرة,hole
القفزة,jump
طفل,baby
ثمانية,eight
قرية,village
تلبية,meet
الجذر,root
شراء,buy
رفع,raise
حل,solve
المعادن,metal
سواء,whether
دفع,push
سبعة,seven
فقرة,paragraph
الثالث,third
يجب,shall
عقدت,held
الشعر,hair
وصف,describe
طبخ,cook
الطابق,floor
كل,either
نتيجة,result
حرق,burn
التل,hill
آمنة,safe
القط,cat
القرن,century
النظر,consider
نوع,type
القانون,law
لقمة,bit
الساحل,coast
نسخة,copy
العبارة,phrase
الصمت,silent
طويل,tall
رمل,sand
التربة,soil
لفة,roll
درجة الحرارة,temperature
إصبع,finger
صناعة,industry
قيمة,value
المعركة,fight
كذبة,lie
فوز,beat
أثار,excite
طبيعي,natural
رأي,view
المعنى,sense
العاصمة,capital
سوف لا,won’t
كرسي,chair
خطر,danger
الفاكهة,fruit
غني,rich
سميك,thick
جندي,soldier
عملية,process
العمل,operate
ممارسة,practice
منفصلة,separate
الصعب,difficult
الطبيب,doctor
الرجاء,please
حماية,protect
ظهرا,noon
محصول,crop
الحديث,modern
عنصر,element
ضرب,hit
طالب,student
ركن,corner
حزب,party
تزويد,supply
الذي,whose
حدد,locate
عصابة,ring
حرف,character
الحشرة,insect
اشتعلت,caught
فترة,period
تشير,indicate
راديو,radio
وتحدث,spoke
ذرة,atom
بشري,human
التاريخ,history
تأثير,effect
كهربائي,electric
توقع,expect
العظام,bone
سكة حديدية,rail
تخيل,imagine
توفير,provide
توافق,agree
وبالتالي,thus
لطيف,gentle
امرأة,woman
نقيب,captain
تخمين,guess
الضرورة,necessary
حاد,sharp
جناح,wing
خلق,create
الجيران,neighbor
غسل,wash
خفاش,bat
بالأحرى,rather
الحشد,crowd
الذرة,corn
مقارنة,compare
قصيدة,poem
سلسلة,string
جرس,bell
تعتمد,depend
اللحوم,meat
فرك,rub
أنبوب,tube
الشهيرة,famous
الدولار,dollar
تيار,stream
خوف,fear
مشهد,sight
رقيق,thin
مثلث,triangle
كوكب,planet
عجل,hurry
رئيس,chief
مستعمرة,colony
على مدار الساعة,clock
منجم,mine
ربطة عنق,tie
دخول,enter
الرئيسية,major
جديدة,fresh
البحث,search
إرسال,send
الأصفر,yellow
بندقية,gun
السماح,allow
طباعة,print
ميت,dead
بقعة,spot
صحراء,desert
دعوى,suit
التيار,current
رفع,lift
ارتفع,rose
وصول,arrive
سيد,master
المسار,track
الأم,parent
الشاطئ,shore
تقسيم,division
ورقة,sheet
مادة,substance
صالح,favor
اتصال,connect
آخر,post
أنفق,spend
وتر,chord
دهن,fat
سعيد,glad
الأصلي,original
حصة,share
محطة,station
أب,dad
الخبز,bread
تهمة,charge
السليم,proper
شريط,bar
العرض,offer
قطاع,segment
الرقيق,slave
بط,duck
لحظة,instant
سوق,market
درجة,degree
أهل,populate
كتكوت,chick
عزيزتي,dear
العدو,enemy
الرد,reply
شراب,drink
تحدث,occur
دعم,support
خطاب,speech
الطبيعة,nature
مجموعة,range
البخار,steam
الحركة,motion
مسار,path
السائل,liquid
تسجيل,log
مقصود,meant
حاصل,quotient
أسنان,teeth
قذيفة,shell
الرقبة,neck
الأكسجين,oxygen
السكر,sugar
الموت,death
جميل,pretty
مهارة,skill
النساء,women
الموسم,season
حل,solution
مغناطيس,magnet
فضة,silver
شكرا,thank
فرع,branch
مباراة,match
لاحقة,suffix
خاصة,especially
تين,fig
خائف,afraid
ضخم,huge
شقيقة,sister
الصلب,steel
بحث,discuss
إلى الأمام,forward
مماثل,similar
توجيه,guide
التجربة,experience
النتيجة,score
تفاحة,apple
اشترى,bought
أدى,led
رمية,pitch
معطف,coat
كتلة,mass
بطاقة,card
فرقة,band
حبل,rope
انزلاق,slip
الفوز,win
حلم,dream
مساء,evening
حالة,condition
علف,feed
أداة,tool
الكل,total
الأساسية,basic
رائحة,smell
الوادي,valley
ولا,nor
ضعف,double
مقعد,seat
تواصل,continue
كتلة,block
جدول,chart
قبعة,hat
بيع,sell
نجاح,success
شركة,company
طرح,subtract
حدث,event
خاصة,particular
صفقة,deal
السباحة,swim
مصطلح,term
العكس,opposite
زوجة,wife
حذاء,shoe
الكتف,shoulder
انتشار,spread
رتب,arrange
مخيم,camp
اختراع,invent
قطن,cotton
الولادة,born
حدد,determine
رابعا,quart
تسعة,nine
شاحنة,truck
الضوضاء,noise
مستوى,level
فرصة,chance
جمع,gather
متجر,shop
امتداد,stretch
رمي,throw
تألق,shine
الملكية,property
عمود,column
جزيء,molecule
اختر,select
خاطئ,wrong
رمادي,gray
كرر,repeat
تتطلب,require
واسع,broad
إعداد,prepare
ملح,salt
الأنف,nose
الجمع,plural
غضب,anger
مطالبة,claim
القارة,continent
