గా,as
వేగం,speed
పద్ధతి,method
అవయవ,organ
చెల్లించటానికి,pay
వయస్సు,age
విభాగం,section
దుస్తుల,dress
క్లౌడ్,cloud
ఆశ్చర్యం,surprise
నిశ్శబ్ద,quiet
రాయి,stone
చిన్న,tiny
ఆరోహణను,climb
చల్లని,cool
డిజైన్,design
పేద,poor
చాలా,lot
ప్రయోగం,experiment
దిగువ,bottom
కీ,key
ఇనుము,iron
ఒకే,single
స్టిక్,stick
ఫ్లాట్,flat
ఇరవై,twenty
చర్మం,skin
చిరునవ్వు,smile
క్రీజ్,crease
రంధ్రం,hole
జంప్,jump
బేబీ,baby
ఎనిమిది,eight
గ్రామం,village
మీట్,meet
రూట్,root
కొనుగోలు,buy
పెంచడానికి,raise
పరిష్కరించడానికి,solve
మెటల్,metal
లేదో,whether
పుష్,push
ఏడు,seven
పేరా,paragraph
మూడో,third
వలెను,shall
ఒక్కొక,held
జుట్టు,hair
వర్ణించేందుకు,describe
కుక్,cook
ఫ్లోర్,floor
గాని,either
ఫలితంగా,result
బర్న్,burn
కొండ,hill
సురక్షితంగా,safe
పిల్లి,cat
శతాబ్దం,century
పరిగణలోకి,consider
రకం,type
చట్టం,law
బిట్,bit
తీరం,coast
ప్రతిని,copy
పదబంధం,phrase
నిశ్శబ్ద,silent
పొడవైన,tall
ఇసుక,sand
మట్టి,soil
రోల్,roll
ఉష్ణోగ్రత,temperature
వేలు,finger
పరిశ్రమ,industry
విలువ,value
పోరాటం,fight
అబద్ధం,lie
ఓడించింది,beat
ఉత్సుకతను,excite
సహజ,natural
వీక్షణ,view
భావం,sense
రాజధాని,capital
రెడీ,won’t
కుర్చీ,chair
ప్రమాదం,danger
పండు,fruit
రిచ్,rich
మందపాటి,thick
సైనికుడు,soldier
ప్రక్రియ,process
పనిచేస్తాయి,operate
ఆచరణలో,practice
ప్రత్యేక,separate
కష్టం,difficult
డాక్టర్,doctor
దయచేసి,please
రక్షించేందుకు,protect
మధ్యాహ్నం,noon
పంట,crop
ఆధునిక,modern
మూలకం,element
హిట్,hit
విద్యార్థి,student
మూలలో,corner
పార్టీ,party
సరఫరా,supply
దీని,whose
గుర్తించడం,locate
రింగ్,ring
పాత్ర,character
క్రిమి,insect
క్యాచ్,caught
కాలం,period
సూచిస్తున్నాయి,indicate
రేడియో,radio
మాట్లాడారు,spoke
అణువు,atom
మానవ,human
చరిత్ర,history
ప్రభావం,effect
విద్యుత్,electric
ఆశించే,expect
ఎముక,bone
రైలు,rail
ఊహించే,imagine
అందించేందుకు,provide
అంగీకరిస్తున్నారు,agree
అందువలన,thus
సున్నితమైన,gentle
మహిళ,woman
కెప్టెన్,captain
అంచనా,guess
అవసరం,necessary
పదునైన,sharp
వింగ్,wing
సృష్టించడానికి,create
పొరుగు,neighbor
వాష్,wash
బ్యాట్,bat
కాకుండా,rather
గుంపు,crowd
మొక్కజొన్న,corn
సరిపోల్చండి,compare
పద్యం,poem
స్ట్రింగ్,string
బెల్,bell
ఆధారపడి,depend
మాంసం,meat
రబ్,rub
ట్యూబ్,tube
ప్రసిద్ధ,famous
డాలర్,dollar
స్ట్రీమ్,stream
భయము,fear
దృష్టి,sight
సన్నని,thin
త్రిభుజం,triangle
గ్రహం,planet
అత్యవసరము,hurry
చీఫ్,chief
కాలనీ,colony
గడియారం,clock
మైన్,mine
టై,tie
నమోదు,enter
ప్రధాన,major
తాజా,fresh
శోధన,search
పంపండి,send
పసుపు,yellow
తుపాకీ,gun
అనుమతిస్తాయి,allow
ముద్రణ,print
చనిపోయిన,dead
స్పాట్,spot
ఎడారి,desert
దావా,suit
ప్రస్తుత,current
లిఫ్ట్,lift
గులాబీ,rose
చేరు,arrive
మాస్టర్,master
ట్రాక్,track
పేరెంట్,parent
తీరం,shore
విభజన,division
షీట్,sheet
పదార్ధం,substance
మొగ్గుచూపుతున్నారు,favor
కనెక్ట్,connect
పోస్ట్,post
ఖర్చు,spend
తీగ,chord
కొవ్వు,fat
ఆనందంగా,glad
అసలు,original
వాటా,share
స్టేషన్,station
తండ్రి,dad
బ్రెడ్,bread
వసూలు,charge
సరైన,proper
బార్,bar
ఆఫర్,offer
సెగ్మెంట్,segment
బానిస,slave
డక్,duck
తక్షణ,instant
మార్కెట్,market
డిగ్రీ,degree
జనసాంద్రత,populate
చిక్,chick
ప్రియమైన,dear
శత్రువు,enemy
ప్రత్యుత్తరం,reply
పానీయం,drink
సంభవించవచ్చు,occur
మద్దతు,support
ప్రసంగం,speech
ప్రకృతి,nature
పరిధి,range
ఆవిరి,steam
చలన,motion
మార్గం,path
ద్రవ,liquid
లాగిన్,log
అర్థం,meant
కోశంట్,quotient
పళ్ళు,teeth
షెల్,shell
మెడ,neck
ఆక్సిజన్,oxygen
చక్కెర,sugar
మరణం,death
అందంగా,pretty
నైపుణ్యం,skill
మహిళలు,women
సీజన్,season
పరిష్కారం,solution
అయస్కాంతం,magnet
వెండి,silver
ధన్యవాదాలు,thank
శాఖ,branch
మ్యాచ్,match
ప్రత్యయం,suffix
ముఖ్యంగా,especially
అత్తి,fig
భయపడ్డారు,afraid
భారీ,huge
సోదరి,sister
స్టీల్,steel
చర్చించడానికి,discuss
ముందుకు,forward
ఇదే,similar
మార్గనిర్దేశం,guide
అనుభవం,experience
స్కోరు,score
ఆపిల్,apple
కొనుగోలు,bought
దారితీసింది,led
పిచ్,pitch
కోటు,coat
మాస్,mass
కార్డ్,card
బ్యాండ్,band
తాడు,rope
స్లిప్,slip
విజయం,win
కావాలని,dream
సాయంత్రం,evening
పరిస్థితి,condition
ఫీడ్,feed
సాధనం,tool
మొత్తం,total
ప్రాథమిక,basic
వాసన,smell
లోయలో,valley
లేదా,nor
డబుల్,double
సీటు,seat
కొనసాగుతుంది,continue
బ్లాక్,block
చార్ట్,chart
టోపీ,hat
అమ్మే,sell
విజయం,success
సంస్థ,company
వ్యవకలనం,subtract
ఈవెంట్,event
ప్రత్యేక,particular
ఒప్పందం,deal
ఈత,swim
పదం,term
వ్యతిరేక,opposite
భార్య,wife
షూ,shoe
భుజం,shoulder
స్ప్రెడ్,spread
ఏర్పాట్లు,arrange
శిబిరం,camp
కనుగొనడమే,invent
పత్తి,cotton
పుట్టినప్పటి,born
గుర్తించడానికి,determine
కొలత గల పాత్ర,quart
తొమ్మిది,nine
ట్రక్,truck
శబ్దం,noise
స్థాయి,level
క్రీడల్లో అవకాశాలు,chance
సేకరించడానికి,gather
షాప్,shop
సాగిన,stretch
త్రో,throw
బాగా చేయు,shine
ఆస్తి,property
కాలమ్,column
అణువు,molecule
ఎంచుకోండి,select
తప్పు,wrong
బూడిద,gray
రిపీట్,repeat
అవసరం,require
విస్తృత,broad
సిద్ధం,prepare
ఉప్పు,salt
ముక్కు,nose
బహువచనం,plural
కోపం,anger
దావా,claim
ఖండం,continent
